#K-Path(1/A)         Spin-Up(eV)   Spin-down(eV)
# NKPTS & NBANDS: 120 128
# Band-Index    1
   0.00000    -21.676106    -21.676147
   0.06544    -21.663342    -21.663382
   0.13087    -21.625145    -21.625186
   0.19631    -21.561378    -21.561418
   0.26175    -21.472168    -21.472208
   0.32718    -21.357586    -21.357626
   0.39262    -21.217767    -21.217807
   0.45806    -21.052750    -21.052790
   0.52349    -20.862703    -20.862742
   0.58893    -20.647854    -20.647893
   0.65437    -20.408404    -20.408442
   0.71980    -20.144614    -20.144652
   0.78524    -19.856843    -19.856880
   0.85068    -19.545483    -19.545519
   0.91611    -19.211141    -19.211177
   0.98155    -18.854217    -18.854252
   1.04699    -18.475592    -18.475626
   1.11242    -18.076235    -18.076268
   1.17786    -17.657443    -17.657475
   1.24330    -17.220705    -17.220735
   1.24330    -17.220705    -17.220735
   1.27163    -17.330064    -17.330094
   1.29997    -17.435542    -17.435573
   1.32830    -17.537047    -17.537078
   1.35664    -17.634494    -17.634525
   1.38497    -17.727809    -17.727841
   1.41330    -17.816932    -17.816964
   1.44164    -17.901777    -17.901809
   1.46997    -17.982378    -17.982410
   1.49831    -18.058618    -18.058651
   1.52664    -18.130437    -18.130470
   1.55498    -18.197846    -18.197879
   1.58331    -18.260870    -18.260903
   1.61165    -18.319436    -18.319469
   1.63998    -18.373517    -18.373550
   1.66832    -18.423094    -18.423127
   1.69665    -18.468150    -18.468183
   1.72499    -18.508669    -18.508703
   1.75332    -18.544637    -18.544670
   1.78166    -18.576041    -18.576075
   1.78166    -18.576041    -18.576075
   1.86666    -18.642772    -18.642806
   1.95167    -18.668101    -18.668135
   2.03667    -18.651970    -18.652004
   2.12168    -18.594277    -18.594311
   2.20668    -18.495065    -18.495099
   2.29169    -18.354438    -18.354471
   2.37669    -18.634898    -18.634932
   2.46170    -19.110413    -19.110449
   2.54670    -19.548759    -19.548795
   2.63170    -19.948217    -19.948255
   2.71671    -20.307790    -20.307828
   2.80171    -20.626552    -20.626591
   2.88672    -20.903837    -20.903876
   2.97172    -21.139189    -21.139228
   3.05673    -21.332195    -21.332235
   3.14173    -21.482531    -21.482571
   3.22674    -21.590081    -21.590122
   3.31174    -21.654581    -21.654622
   3.39675    -21.676106    -21.676147
   3.39675    -21.676106    -21.676147
   3.47689    -21.657002    -21.657043
   3.55703    -21.599592    -21.599632
   3.63718    -21.504064    -21.504104
   3.71732    -21.370366    -21.370406
   3.79746    -21.198749    -21.198789
   3.87761    -20.989414    -20.989453
   3.95775    -20.742736    -20.742775
   4.03789    -20.459079    -20.459117
   4.11803    -20.138974    -20.139011
   4.19818    -19.783187    -19.783224
   4.27832    -19.392544    -19.392580
   4.35846    -18.968561    -18.968596
   4.43861    -18.513302    -18.513336
   4.51875    -18.030159    -18.030192
   4.59889    -17.525133    -17.525163
   4.67904    -17.010168    -17.010196
   4.75918    -16.511992    -16.512017
   4.83932    -16.098540    -16.098561
   4.91947    -15.920559    -15.920578
   4.91947    -15.920559    -15.920578
   4.95218    -15.940953    -15.940972
   4.98490    -15.999589    -15.999609
   5.01762    -16.089942    -16.089963
   5.05034    -16.204229    -16.204252
   5.08306    -16.335169    -16.335192
   5.11578    -16.477001    -16.477025
   5.14849    -16.625384    -16.625410
   5.18121    -16.777139    -16.777166
   5.21393    -16.930018    -16.930046
   5.24665    -17.082345    -17.082374
   5.27937    -17.232895    -17.232924
   5.31209    -17.380760    -17.380790
   5.34480    -17.525229    -17.525260
   5.37752    -17.665816    -17.665848
   5.41024    -17.802088    -17.802120
   5.44296    -17.933717    -17.933749
   5.47568    -18.060442    -18.060475
   5.50840    -18.182052    -18.182085
   5.54111    -18.298384    -18.298417
   5.54111    -18.298384    -18.298417
   5.57383    -18.295346    -18.295379
   5.60655    -18.286240    -18.286273
   5.63927    -18.271085    -18.271119
   5.67199    -18.249878    -18.249911
   5.70471    -18.222626    -18.222659
   5.73742    -18.189332    -18.189365
   5.77014    -18.150026    -18.150059
   5.80286    -18.104729    -18.104762
   5.83558    -18.053457    -18.053489
   5.86830    -17.996308    -17.996341
   5.90102    -17.933166    -17.933199
   5.93373    -17.864140    -17.864173
   5.96645    -17.789300    -17.789332
   5.99917    -17.708637    -17.708668
   6.03189    -17.622234    -17.622265
   6.06461    -17.530158    -17.530189
   6.09733    -17.432484    -17.432515
   6.13004    -17.329300    -17.329331
   6.16276    -17.220705    -17.220735
 
# Band-Index    2
   6.16276    -17.220705    -17.220735
   6.13004    -17.329300    -17.329331
   6.09733    -17.432484    -17.432515
   6.06461    -17.530158    -17.530189
   6.03189    -17.622234    -17.622265
   5.99917    -17.708637    -17.708668
   5.96645    -17.789300    -17.789332
   5.93373    -17.864140    -17.864173
   5.90102    -17.933166    -17.933199
   5.86830    -17.996308    -17.996341
   5.83558    -18.053457    -18.053489
   5.80286    -18.104729    -18.104762
