#K-Path          Energy     s     py     pz     px    dxy    dyz    dz2    dxz  x2-y2    tot
# NKPTS & NBANDS: 120 128
# Band-Index    1
   0.00000    -21.676147  0.552  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.552
   0.06544    -21.663382  0.552  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.552
   0.13087    -21.625186  0.552  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.552
   0.19631    -21.561418  0.552  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.552
   0.26175    -21.472208  0.544  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.552
   0.32718    -21.357626  0.544  0.000  0.008  0.008  0.000  0.000  0.000  0.000  0.000  0.552
   0.39262    -21.217807  0.544  0.000  0.008  0.008  0.000  0.000  0.000  0.000  0.000  0.552
   0.45806    -21.052790  0.536  0.000  0.008  0.008  0.000  0.000  0.000  0.000  0.000  0.560
   0.52349    -20.862742  0.536  0.000  0.008  0.008  0.000  0.000  0.000  0.000  0.000  0.560
   0.58893    -20.647893  0.536  0.000  0.016  0.016  0.000  0.000  0.000  0.000  0.000  0.560
   0.65437    -20.408442  0.528  0.000  0.016  0.016  0.000  0.000  0.000  0.000  0.000  0.560
   0.71980    -20.144652  0.528  0.000  0.016  0.016  0.000  0.000  0.000  0.000  0.000  0.568
   0.78524    -19.856880  0.520  0.000  0.024  0.024  0.000  0.000  0.000  0.000  0.000  0.568
   0.85068    -19.545519  0.520  0.000  0.024  0.024  0.000  0.000  0.000  0.000  0.000  0.568
   0.91611    -19.211177  0.512  0.000  0.032  0.032  0.000  0.000  0.000  0.000  0.000  0.576
   0.98155    -18.854252  0.504  0.000  0.032  0.032  0.000  0.000  0.000  0.000  0.000  0.576
   1.04699    -18.475626  0.504  0.000  0.040  0.040  0.000  0.000  0.000  0.000  0.000  0.584
   1.11242    -18.076268  0.496  0.000  0.040  0.040  0.000  0.000  0.000  0.000  0.000  0.584
   1.17786    -17.657475  0.496  0.000  0.048  0.048  0.000  0.000  0.000  0.000  0.000  0.592
   1.24330    -17.220735  0.490  0.003  0.050  0.050  0.000  0.000  0.000  0.000  0.000  0.597
   1.24330    -17.220735  0.490  0.002  0.051  0.051  0.000  0.000  0.000  0.000  0.000  0.597
   1.27163    -17.330094  0.488  0.000  0.048  0.048  0.000  0.000  0.000  0.000  0.000  0.592
   1.29997    -17.435573  0.488  0.000  0.048  0.048  0.000  0.000  0.000  0.000  0.000  0.592
   1.32830    -17.537078  0.496  0.000  0.048  0.048  0.000  0.000  0.000  0.000  0.000  0.592
   1.35664    -17.634525  0.496  0.000  0.048  0.048  0.000  0.000  0.000  0.000  0.000  0.592
   1.38497    -17.727841  0.496  0.000  0.048  0.048  0.000  0.000  0.000  0.000  0.000  0.592
   1.41330    -17.816964  0.496  0.000  0.048  0.048  0.000  0.000  0.000  0.000  0.000  0.592
   1.44164    -17.901809  0.496  0.000  0.048  0.048  0.000  0.000  0.000  0.000  0.000  0.592
   1.46997    -17.982410  0.496  0.000  0.040  0.040  0.000  0.000  0.000  0.000  0.000  0.584
   1.49831    -18.058651  0.496  0.000  0.040  0.040  0.000  0.000  0.000  0.000  0.000  0.584
   1.52664    -18.130470  0.496  0.008  0.040  0.040  0.000  0.000  0.000  0.000  0.000  0.584
   1.55498    -18.197879  0.504  0.008  0.040  0.040  0.000  0.000  0.000  0.000  0.000  0.584
   1.58331    -18.260903  0.504  0.008  0.040  0.040  0.000  0.000  0.000  0.000  0.000  0.584
   1.61165    -18.319469  0.504  0.008  0.040  0.040  0.000  0.000  0.000  0.000  0.000  0.584
   1.63998    -18.373550  0.504  0.008  0.040  0.040  0.000  0.000  0.000  0.000  0.000  0.584
   1.66832    -18.423127  0.504  0.008  0.032  0.032  0.000  0.000  0.000  0.000  0.000  0.584
   1.69665    -18.468183  0.504  0.008  0.032  0.032  0.000  0.000  0.000  0.000  0.000  0.584
   1.72499    -18.508703  0.504  0.008  0.032  0.032  0.000  0.000  0.000  0.000  0.000  0.584
   1.75332    -18.544670  0.504  0.016  0.032  0.032  0.000  0.000  0.000  0.000  0.000  0.584
   1.78166    -18.576075  0.504  0.016  0.032  0.032  0.000  0.000  0.000  0.000  0.000  0.584
   1.78166    -18.576075  0.504  0.032  0.016  0.032  0.000  0.000  0.000  0.000  0.000  0.584
   1.86666    -18.642806  0.504  0.024  0.016  0.024  0.000  0.000  0.000  0.000  0.000  0.584
   1.95167    -18.668135  0.512  0.024  0.024  0.024  0.000  0.000  0.000  0.000  0.000  0.584
   2.03667    -18.652004  0.504  0.024  0.032  0.024  0.000  0.000  0.000  0.000  0.000  0.584
   2.12168    -18.594311  0.504  0.016  0.040  0.016  0.000  0.000  0.000  0.000  0.000  0.584
   2.20668    -18.495099  0.504  0.016  0.048  0.016  0.000  0.000  0.000  0.000  0.000  0.584
   2.29169    -18.354471  0.504  0.016  0.056  0.016  0.000  0.000  0.000  0.000  0.000  0.584
   2.37669    -18.634932  0.504  0.016  0.048  0.016  0.000  0.000  0.000  0.000  0.000  0.576
   2.46170    -19.110449  0.512  0.008  0.040  0.008  0.000  0.000  0.000  0.000  0.000  0.576
   2.54670    -19.548795  0.520  0.008  0.040  0.008  0.000  0.000  0.000  0.000  0.000  0.568
   2.63170    -19.948255  0.520  0.008  0.032  0.008  0.000  0.000  0.000  0.000  0.000  0.568
   2.71671    -20.307828  0.528  0.008  0.024  0.008  0.000  0.000  0.000  0.000  0.000  0.560
   2.80171    -20.626591  0.536  0.008  0.016  0.008  0.000  0.000  0.000  0.000  0.000  0.560
   2.88672    -20.903876  0.536  0.000  0.016  0.000  0.000  0.000  0.000  0.000  0.000  0.560
   2.97172    -21.139228  0.544  0.000  0.008  0.000  0.000  0.000  0.000  0.000  0.000  0.552
   3.05673    -21.332235  0.544  0.000  0.008  0.000  0.000  0.000  0.000  0.000  0.000  0.552
   3.14173    -21.482571  0.544  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.552
   3.22674    -21.590122  0.552  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.552
   3.31174    -21.654622  0.552  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.552
   3.39675    -21.676147  0.552  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.552
   3.39675    -21.676147  0.552  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.552
   3.47689    -21.657043  0.552  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.552
   3.55703    -21.599632  0.552  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.552
   3.63718    -21.504104  0.544  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.552
   3.71732    -21.370406  0.544  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.552
   3.79746    -21.198789  0.544  0.008  0.008  0.008  0.000  0.000  0.000  0.000  0.000  0.552
   3.87761    -20.989453  0.536  0.008  0.008  0.008  0.000  0.000  0.000  0.000  0.000  0.560
   3.95775    -20.742775  0.536  0.008  0.008  0.008  0.000  0.000  0.000  0.000  0.000  0.560
   4.03789    -20.459117  0.528  0.008  0.008  0.008  0.000  0.000  0.000  0.000  0.000  0.560
   4.11803    -20.139011  0.528  0.016  0.016  0.016  0.000  0.000  0.000  0.000  0.000  0.568
   4.19818    -19.783224  0.520  0.016  0.016  0.016  0.000  0.000  0.000  0.000  0.000  0.568
   4.27832    -19.392580  0.512  0.016  0.016  0.016  0.000  0.000  0.000  0.000  0.000  0.576
   4.35846    -18.968596  0.512  0.024  0.024  0.024  0.000  0.000  0.000  0.000  0.000  0.576
   4.43861    -18.513336  0.504  0.024  0.024  0.024  0.000  0.000  0.000  0.000  0.000  0.584
   4.51875    -18.030192  0.504  0.024  0.024  0.024  0.000  0.000  0.000  0.000  0.000  0.592
   4.59889    -17.525163  0.504  0.032  0.032  0.032  0.000  0.000  0.000  0.000  0.000  0.600
   4.67904    -17.010196  0.512  0.032  0.032  0.032  0.000  0.000  0.000  0.000  0.000  0.608
