#K-Path          Energy     s     py     pz     px    dxy    dyz    dz2    dxz  x2-y2    tot
# NKPTS & NBANDS: 120 128
# Band-Index    1
   0.00000    -21.676106  0.552  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.552
   0.06544    -21.663342  0.552  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.552
   0.13087    -21.625145  0.552  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.552
   0.19631    -21.561378  0.552  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.552
   0.26175    -21.472168  0.544  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.552
   0.32718    -21.357586  0.544  0.000  0.008  0.008  0.000  0.000  0.000  0.000  0.000  0.552
   0.39262    -21.217767  0.544  0.000  0.008  0.008  0.000  0.000  0.000  0.000  0.000  0.552
   0.45806    -21.052750  0.536  0.000  0.008  0.008  0.000  0.000  0.000  0.000  0.000  0.560
   0.52349    -20.862703  0.536  0.000  0.008  0.008  0.000  0.000  0.000  0.000  0.000  0.560
   0.58893    -20.647854  0.536  0.000  0.016  0.016  0.000  0.000  0.000  0.000  0.000  0.560
   0.65437    -20.408404  0.528  0.000  0.016  0.016  0.000  0.000  0.000  0.000  0.000  0.560
   0.71980    -20.144614  0.528  0.000  0.016  0.016  0.000  0.000  0.000  0.000  0.000  0.568
   0.78524    -19.856843  0.520  0.000  0.024  0.024  0.000  0.000  0.000  0.000  0.000  0.568
   0.85068    -19.545483  0.520  0.000  0.024  0.024  0.000  0.000  0.000  0.000  0.000  0.568
   0.91611    -19.211141  0.512  0.000  0.032  0.032  0.000  0.000  0.000  0.000  0.000  0.576
   0.98155    -18.854217  0.504  0.000  0.032  0.032  0.000  0.000  0.000  0.000  0.000  0.576
   1.04699    -18.475592  0.504  0.000  0.040  0.040  0.000  0.000  0.000  0.000  0.000  0.584
   1.11242    -18.076235  0.496  0.000  0.040  0.040  0.000  0.000  0.000  0.000  0.000  0.584
   1.17786    -17.657443  0.496  0.000  0.048  0.048  0.000  0.000  0.000  0.000  0.000  0.592
   1.24330    -17.220705  0.490  0.003  0.051  0.051  0.000  0.000  0.000  0.000  0.000  0.596
   1.24330    -17.220705  0.491  0.002  0.052  0.052  0.000  0.000  0.000  0.000  0.000  0.596
   1.27163    -17.330064  0.488  0.000  0.048  0.048  0.000  0.000  0.000  0.000  0.000  0.592
   1.29997    -17.435542  0.488  0.000  0.048  0.048  0.000  0.000  0.000  0.000  0.000  0.592
   1.32830    -17.537047  0.496  0.000  0.048  0.048  0.000  0.000  0.000  0.000  0.000  0.592
   1.35664    -17.634494  0.496  0.000  0.048  0.048  0.000  0.000  0.000  0.000  0.000  0.592
   1.38497    -17.727809  0.496  0.000  0.048  0.048  0.000  0.000  0.000  0.000  0.000  0.592
   1.41330    -17.816932  0.496  0.000  0.048  0.048  0.000  0.000  0.000  0.000  0.000  0.592
   1.44164    -17.901777  0.496  0.000  0.048  0.048  0.000  0.000  0.000  0.000  0.000  0.592
   1.46997    -17.982378  0.496  0.000  0.040  0.040  0.000  0.000  0.000  0.000  0.000  0.584
   1.49831    -18.058618  0.496  0.000  0.040  0.040  0.000  0.000  0.000  0.000  0.000  0.584
   1.52664    -18.130437  0.496  0.008  0.040  0.040  0.000  0.000  0.000  0.000  0.000  0.584
   1.55498    -18.197846  0.504  0.008  0.040  0.040  0.000  0.000  0.000  0.000  0.000  0.584
   1.58331    -18.260870  0.504  0.008  0.040  0.040  0.000  0.000  0.000  0.000  0.000  0.584
   1.61165    -18.319436  0.504  0.008  0.040  0.040  0.000  0.000  0.000  0.000  0.000  0.584
   1.63998    -18.373517  0.504  0.008  0.040  0.040  0.000  0.000  0.000  0.000  0.000  0.584
   1.66832    -18.423094  0.504  0.008  0.032  0.032  0.000  0.000  0.000  0.000  0.000  0.584
   1.69665    -18.468150  0.504  0.008  0.032  0.032  0.000  0.000  0.000  0.000  0.000  0.584
   1.72499    -18.508669  0.504  0.008  0.032  0.032  0.000  0.000  0.000  0.000  0.000  0.584
   1.75332    -18.544637  0.504  0.016  0.032  0.032  0.000  0.000  0.000  0.000  0.000  0.584
   1.78166    -18.576041  0.504  0.016  0.032  0.032  0.000  0.000  0.000  0.000  0.000  0.584
   1.78166    -18.576041  0.504  0.032  0.016  0.032  0.000  0.000  0.000  0.000  0.000  0.584
   1.86666    -18.642772  0.504  0.024  0.016  0.024  0.000  0.000  0.000  0.000  0.000  0.584
   1.95167    -18.668101  0.512  0.024  0.024  0.024  0.000  0.000  0.000  0.000  0.000  0.584
   2.03667    -18.651970  0.504  0.024  0.032  0.024  0.000  0.000  0.000  0.000  0.000  0.584
   2.12168    -18.594277  0.504  0.016  0.040  0.016  0.000  0.000  0.000  0.000  0.000  0.584
   2.20668    -18.495065  0.504  0.016  0.048  0.016  0.000  0.000  0.000  0.000  0.000  0.584
   2.29169    -18.354438  0.504  0.016  0.056  0.016  0.000  0.000  0.000  0.000  0.000  0.584
   2.37669    -18.634898  0.504  0.016  0.048  0.016  0.000  0.000  0.000  0.000  0.000  0.576
   2.46170    -19.110413  0.512  0.008  0.040  0.008  0.000  0.000  0.000  0.000  0.000  0.576
   2.54670    -19.548759  0.520  0.008  0.040  0.008  0.000  0.000  0.000  0.000  0.000  0.568
   2.63170    -19.948217  0.520  0.008  0.032  0.008  0.000  0.000  0.000  0.000  0.000  0.568
   2.71671    -20.307790  0.528  0.008  0.024  0.008  0.000  0.000  0.000  0.000  0.000  0.560
   2.80171    -20.626552  0.536  0.008  0.016  0.008  0.000  0.000  0.000  0.000  0.000  0.560
   2.88672    -20.903837  0.536  0.000  0.016  0.000  0.000  0.000  0.000  0.000  0.000  0.560
   2.97172    -21.139189  0.544  0.000  0.008  0.000  0.000  0.000  0.000  0.000  0.000  0.552
   3.05673    -21.332195  0.544  0.000  0.008  0.000  0.000  0.000  0.000  0.000  0.000  0.552
   3.14173    -21.482531  0.544  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.552
   3.22674    -21.590081  0.552  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.552
   3.31174    -21.654581  0.552  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.552
   3.39675    -21.676106  0.552  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.552
   3.39675    -21.676106  0.552  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.552
   3.47689    -21.657002  0.552  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.552
   3.55703    -21.599592  0.552  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.552
   3.63718    -21.504064  0.544  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.552
   3.71732    -21.370366  0.544  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.552
   3.79746    -21.198749  0.544  0.008  0.008  0.008  0.000  0.000  0.000  0.000  0.000  0.552
   3.87761    -20.989414  0.536  0.008  0.008  0.008  0.000  0.000  0.000  0.000  0.000  0.560
