#K-Path(1/A)         Spin-Up(eV)   Spin-down(eV)
# NKPTS & NBANDS: 120 128
# Band-Index    1
   0.00000    -10.845556    -10.845541
   0.03530    -10.844005    -10.843990
   0.07060    -10.839379    -10.839365
   0.10590    -10.831752    -10.831738
   0.14120    -10.821259    -10.821245
   0.17651    -10.808072    -10.808058
   0.21181    -10.792418    -10.792404
   0.24711    -10.774559    -10.774546
   0.28241    -10.754802    -10.754788
   0.31771    -10.733475    -10.733462
   0.35301    -10.710934    -10.710922
   0.38831    -10.687551    -10.687539
   0.42361    -10.663699    -10.663687
   0.45891    -10.639749    -10.639737
   0.49422    -10.616047    -10.616036
   0.52952    -10.592927    -10.592917
   0.56482    -10.570681    -10.570671
   0.60012    -10.549564    -10.549555
   0.63542    -10.529784    -10.529774
   0.67072    -10.511502    -10.511493
   0.67072    -10.511502    -10.511493
   0.68601    -10.515917    -10.515909
   0.70129    -10.520403    -10.520394
   0.71658    -10.524935    -10.524926
   0.73186    -10.529487    -10.529478
   0.74715    -10.534037    -10.534028
   0.76244    -10.538560    -10.538551
   0.77772    -10.543032    -10.543022
   0.79301    -10.547429    -10.547420
   0.80829    -10.551730    -10.551720
   0.82358    -10.555910    -10.555901
   0.83887    -10.559947    -10.559938
   0.85415    -10.563821    -10.563811
   0.86944    -10.567509    -10.567499
   0.88472    -10.570995    -10.570985
   0.90001    -10.574258    -10.574248
   0.91529    -10.577281    -10.577271
   0.93058    -10.580049    -10.580039
   0.94587    -10.582545    -10.582534
   0.96115    -10.584756    -10.584745
   0.96115    -10.584756    -10.584745
   1.00701    -10.589557    -10.589546
   1.05287    -10.591424    -10.591414
   1.09872    -10.590216    -10.590206
   1.14458    -10.585916    -10.585905
   1.19044    -10.578626    -10.578616
   1.23630    -10.568575    -10.568565
   1.28215    -10.582481    -10.582471
   1.32801    -10.610980    -10.610969
   1.37387    -10.640963    -10.640951
   1.41973    -10.671626    -10.671614
   1.46558    -10.702111    -10.702098
   1.51144    -10.731540    -10.731527
   1.55730    -10.759055    -10.759041
   1.60316    -10.783848    -10.783834
   1.64902    -10.805192    -10.805178
   1.69487    -10.822467    -10.822453
   1.74073    -10.835171    -10.835157
   1.78659    -10.842941    -10.842926
   1.83245    -10.845556    -10.845541
   1.83245    -10.845556    -10.845541
   1.87568    -10.843231    -10.843217
   1.91891    -10.836320    -10.836306
   1.96215    -10.825006    -10.824991
   2.00538    -10.809599    -10.809585
   2.04862    -10.790518    -10.790504
   2.09185    -10.768292    -10.768279
   2.13509    -10.743540    -10.743527
   2.17832    -10.716964    -10.716951
   2.22156    -10.689319    -10.689306
   2.26479    -10.661389    -10.661377
   2.30803    -10.633969    -10.633958
   2.35126    -10.607816    -10.607805
   2.39450    -10.583650    -10.583640
   2.43773    -10.562109    -10.562099
   2.48097    -10.543741    -10.543732
   2.52420    -10.529000    -10.528991
   2.56744    -10.518226    -10.518218
   2.61067    -10.511666    -10.511658
   2.65391    -10.509464    -10.509455
   2.65391    -10.509464    -10.509455
   2.67156    -10.509651    -10.509642
   2.68921    -10.510212    -10.510203
   2.70686    -10.511142    -10.511133
   2.72451    -10.512435    -10.512426
   2.74216    -10.514084    -10.514075
   2.75981    -10.516077    -10.516068
   2.77746    -10.518402    -10.518393
   2.79511    -10.521042    -10.521033
   2.81276    -10.523981    -10.523972
   2.83041    -10.527199    -10.527190
   2.84806    -10.530675    -10.530666
   2.86571    -10.534385    -10.534376
   2.88337    -10.538306    -10.538296
   2.90102    -10.542407    -10.542398
   2.91867    -10.546666    -10.546656
   2.93632    -10.551052    -10.551042
   2.95397    -10.555534    -10.555524
   2.97162    -10.560082    -10.560073
   2.98927    -10.564667    -10.564657
   2.98927    -10.564667    -10.564657
   3.00692    -10.564484    -10.564474
   3.02457    -10.563939    -10.563929
   3.04222    -10.563033    -10.563023
   3.05987    -10.561774    -10.561764
   3.07752    -10.560172    -10.560162
   3.09517    -10.558235    -10.558225
   3.11282    -10.555978    -10.555968
   3.13047    -10.553417    -10.553408
   3.14812    -10.550571    -10.550561
   3.16577    -10.547457    -10.547448
   3.18342    -10.544099    -10.544090
   3.20108    -10.540519    -10.540510
   3.21873    -10.536743    -10.536734
   3.23638    -10.532797    -10.532788
   3.25403    -10.528708    -10.528699
   3.27168    -10.524505    -10.524496
   3.28933    -10.520216    -10.520207
   3.30698    -10.515872    -10.515863
   3.32463    -10.511502    -10.511493
 
# Band-Index    2
   3.32463    -10.511502    -10.511493
   3.30698    -10.515872    -10.515863
   3.28933    -10.520216    -10.520207
   3.27168    -10.524505    -10.524496
   3.25403    -10.528708    -10.528699
   3.23638    -10.532797    -10.532788
   3.21873    -10.536743    -10.536734
   3.20108    -10.540519    -10.540510
   3.18342    -10.544099    -10.544090
   3.16577    -10.547457    -10.547448
   3.14812    -10.550571    -10.550561
   3.13047    -10.553417    -10.553408
   3.11282    -10.555978    -10.555968
   3.09517    -10.558235    -10.558225
   3.07752    -10.560172    -10.560162
   3.05987    -10.561774    -10.561764
   3.04222    -10.563033    -10.563023
   3.02457    -10.563939    -10.563929
   3.00692    -10.564484    -10.564474
   2.98927    -10.564667    -10.564657
   2.98927    -10.564667    -10.564657
   2.97162    -10.560082    -10.560073
   2.95397    -10.555534    -10.555524
   2.93632    -10.551052    -10.551042
   2.91867    -10.546666    -10.546656
   2.90102    -10.542407    -10.542398
   2.88337    -10.538306    -10.538296
   2.86571    -10.534385    -10.534376
   2.84806    -10.530675    -10.530666
   2.83041    -10.527199    -10.527190
   2.81276    -10.523981    -10.523972
   2.79511    -10.521042    -10.521033
   2.77746    -10.518402    -10.518393
   2.75981    -10.516077    -10.516068
   2.74216    -10.514084    -10.514075
   2.72451    -10.512435    -10.512426
   2.70686    -10.511142    -10.511133
   2.68921    -10.510212    -10.510203
   2.67156    -10.509651    -10.509642
   2.65391    -10.509464    -10.509455
   2.65391    -10.509464    -10.509455
   2.61067    -10.508786    -10.508777
   2.56744    -10.506766    -10.506758
   2.52420    -10.503459    -10.503451
   2.48097    -10.498948    -10.498940
   2.43773    -10.493348    -10.493340
   2.39450    -10.486805    -10.486797
   2.35126    -10.479490    -10.479482
   2.30803    -10.471597    -10.471590
   2.26479    -10.463339    -10.463331
   2.22156    -10.454936    -10.454929
   2.17832    -10.446621    -10.446614
   2.13509    -10.438623    -10.438616
