#K-Path          Energy     s     py     pz     px    dxy    dyz    dz2    dxz  x2-y2    tot
# NKPTS & NBANDS: 120 128
# Band-Index    1
   0.00000    -10.845556  0.056  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.056
   0.03530    -10.844005  0.056  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.056
   0.07060    -10.839379  0.052  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.056
   0.10590    -10.831752  0.052  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.056
   0.14120    -10.821259  0.052  0.000  0.000  0.000  0.004  0.004  0.000  0.000  0.000  0.056
   0.17651    -10.808072  0.052  0.000  0.000  0.000  0.004  0.004  0.000  0.000  0.000  0.060
   0.21181    -10.792418  0.048  0.000  0.000  0.000  0.004  0.004  0.000  0.000  0.000  0.060
   0.24711    -10.774559  0.048  0.000  0.000  0.000  0.008  0.008  0.000  0.000  0.000  0.064
   0.28241    -10.754802  0.044  0.000  0.000  0.000  0.008  0.008  0.000  0.000  0.000  0.068
   0.31771    -10.733475  0.044  0.000  0.000  0.000  0.012  0.012  0.000  0.000  0.000  0.068
   0.35301    -10.710934  0.040  0.000  0.000  0.000  0.012  0.012  0.000  0.004  0.000  0.072
   0.38831    -10.687551  0.036  0.000  0.000  0.000  0.016  0.016  0.000  0.004  0.000  0.076
   0.42361    -10.663699  0.036  0.000  0.004  0.004  0.020  0.020  0.000  0.004  0.000  0.080
   0.45891    -10.639749  0.032  0.000  0.004  0.004  0.020  0.020  0.000  0.008  0.000  0.088
   0.49422    -10.616047  0.028  0.000  0.004  0.004  0.024  0.024  0.000  0.012  0.000  0.092
   0.52952    -10.592927  0.024  0.000  0.004  0.004  0.024  0.024  0.000  0.012  0.000  0.096
   0.56482    -10.570681  0.024  0.000  0.004  0.004  0.028  0.028  0.000  0.016  0.000  0.104
   0.60012    -10.549564  0.020  0.000  0.004  0.004  0.028  0.028  0.000  0.024  0.000  0.108
   0.63542    -10.529784  0.016  0.004  0.004  0.004  0.032  0.032  0.000  0.028  0.000  0.112
   0.67072    -10.511502  0.015  0.002  0.003  0.003  0.031  0.031  0.000  0.033  0.000  0.119
   0.67072    -10.511502  0.015  0.003  0.003  0.003  0.031  0.031  0.000  0.032  0.000  0.117
   0.68601    -10.515917  0.016  0.004  0.004  0.004  0.032  0.032  0.000  0.032  0.000  0.116
   0.70129    -10.520403  0.016  0.004  0.004  0.004  0.032  0.032  0.000  0.028  0.000  0.116
   0.71658    -10.524935  0.016  0.004  0.004  0.004  0.032  0.032  0.000  0.028  0.000  0.116
   0.73186    -10.529487  0.016  0.004  0.004  0.004  0.032  0.032  0.000  0.028  0.000  0.112
   0.74715    -10.534037  0.016  0.004  0.004  0.004  0.032  0.032  0.000  0.024  0.000  0.112
   0.76244    -10.538560  0.020  0.004  0.004  0.004  0.028  0.028  0.000  0.024  0.000  0.112
   0.77772    -10.543032  0.020  0.000  0.004  0.004  0.028  0.028  0.000  0.024  0.000  0.108
   0.79301    -10.547429  0.020  0.000  0.004  0.004  0.028  0.028  0.000  0.024  0.000  0.108
   0.80829    -10.551730  0.020  0.000  0.004  0.004  0.028  0.028  0.000  0.020  0.000  0.108
   0.82358    -10.555910  0.020  0.000  0.004  0.004  0.028  0.028  0.000  0.020  0.000  0.108
   0.83887    -10.559947  0.020  0.000  0.004  0.004  0.028  0.028  0.000  0.020  0.000  0.104
   0.85415    -10.563821  0.020  0.000  0.004  0.004  0.028  0.028  0.000  0.020  0.000  0.104
   0.86944    -10.567509  0.024  0.000  0.004  0.004  0.028  0.028  0.000  0.020  0.000  0.104
   0.88472    -10.570995  0.024  0.000  0.004  0.004  0.028  0.028  0.000  0.020  0.000  0.104
   0.90001    -10.574258  0.024  0.000  0.004  0.004  0.028  0.028  0.000  0.020  0.000  0.100
   0.91529    -10.577281  0.024  0.000  0.004  0.004  0.028  0.028  0.000  0.020  0.000  0.100
   0.93058    -10.580049  0.024  0.000  0.004  0.004  0.024  0.024  0.000  0.020  0.000  0.100
   0.94587    -10.582545  0.024  0.000  0.004  0.004  0.024  0.024  0.000  0.020  0.000  0.100
   0.96115    -10.584756  0.024  0.000  0.004  0.004  0.024  0.024  0.000  0.020  0.000  0.100
   0.96115    -10.584756  0.024  0.004  0.000  0.004  0.020  0.024  0.000  0.024  0.000  0.100
   1.00701    -10.589557  0.024  0.004  0.000  0.004  0.020  0.024  0.000  0.024  0.000  0.100
   1.05287    -10.591424  0.024  0.004  0.004  0.004  0.020  0.024  0.000  0.024  0.000  0.096
   1.09872    -10.590216  0.024  0.000  0.004  0.000  0.024  0.020  0.000  0.020  0.000  0.100
   1.14458    -10.585916  0.024  0.000  0.004  0.000  0.028  0.020  0.000  0.020  0.000  0.100
   1.19044    -10.578626  0.024  0.000  0.004  0.000  0.036  0.016  0.000  0.016  0.000  0.100
   1.23630    -10.568575  0.024  0.000  0.004  0.000  0.040  0.016  0.000  0.016  0.000  0.104
   1.28215    -10.582481  0.024  0.000  0.004  0.000  0.040  0.012  0.000  0.012  0.000  0.100
   1.32801    -10.610980  0.028  0.000  0.004  0.000  0.036  0.012  0.000  0.012  0.000  0.092
   1.37387    -10.640963  0.032  0.000  0.004  0.000  0.032  0.008  0.000  0.008  0.000  0.088
   1.41973    -10.671626  0.036  0.000  0.004  0.000  0.024  0.008  0.000  0.008  0.000  0.080
   1.46558    -10.702111  0.040  0.000  0.004  0.000  0.020  0.004  0.000  0.004  0.000  0.076
   1.51144    -10.731540  0.044  0.000  0.000  0.000  0.016  0.004  0.000  0.004  0.000  0.068
   1.55730    -10.759055  0.044  0.000  0.000  0.000  0.012  0.004  0.000  0.004  0.000  0.064
   1.60316    -10.783848  0.048  0.000  0.000  0.000  0.008  0.004  0.000  0.004  0.000  0.064
   1.64902    -10.805192  0.052  0.000  0.000  0.000  0.004  0.000  0.000  0.000  0.000  0.060
   1.69487    -10.822467  0.052  0.000  0.000  0.000  0.004  0.000  0.000  0.000  0.000  0.056
   1.74073    -10.835171  0.052  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.056
   1.78659    -10.842941  0.056  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.056
   1.83245    -10.845556  0.056  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.056
   1.83245    -10.845556  0.056  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.056
   1.87568    -10.843231  0.056  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.056
   1.91891    -10.836320  0.052  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.056
   1.96215    -10.825006  0.052  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.056
   2.00538    -10.809599  0.052  0.000  0.000  0.000  0.004  0.004  0.000  0.004  0.000  0.060
   2.04862    -10.790518  0.048  0.000  0.000  0.000  0.004  0.004  0.000  0.004  0.000  0.060
   2.09185    -10.768292  0.048  0.000  0.000  0.000  0.004  0.004  0.000  0.004  0.000  0.064
   2.13509    -10.743540  0.044  0.000  0.000  0.000  0.008  0.008  0.000  0.008  0.000  0.068
   2.17832    -10.716964  0.040  0.000  0.000  0.000  0.008  0.008  0.000  0.008  0.000  0.072
   2.22156    -10.689319  0.036  0.000  0.000  0.000  0.012  0.012  0.000  0.012  0.000  0.076
   2.26479    -10.661389  0.036  0.000  0.000  0.000  0.016  0.016  0.000  0.016  0.000  0.084
   2.30803    -10.633969  0.032  0.000  0.000  0.000  0.016  0.016  0.000  0.016  0.000  0.088
   2.35126    -10.607816  0.028  0.000  0.000  0.000  0.020  0.020  0.000  0.020  0.000  0.096
   2.39450    -10.583650  0.024  0.004  0.004  0.004  0.024  0.024  0.000  0.024  0.000  0.100
   2.43773    -10.562109  0.020  0.004  0.004  0.004  0.024  0.024  0.000  0.024  0.000  0.104
   2.48097    -10.543741  0.020  0.004  0.004  0.004  0.028  0.028  0.000  0.028  0.000  0.112
   2.52420    -10.529000  0.016  0.004  0.004  0.004  0.028  0.028  0.000  0.028  0.000  0.116
   2.56744    -10.518226  0.016  0.004  0.004  0.004  0.032  0.032  0.000  0.032  0.000  0.116
   2.61067    -10.511666  0.016  0.004  0.004  0.004  0.032  0.032  0.000  0.032  0.000  0.120
   2.65391    -10.509464  0.015  0.003  0.003  0.003  0.033  0.033  0.000  0.033  0.000  0.120
   2.65391    -10.509464  0.015  0.003  0.003  0.003  0.032  0.032  0.000  0.032  0.000  0.121
   2.67156    -10.509651  0.014  0.002  0.002  0.002  0.032  0.032  0.000  0.032  0.000  0.120
   2.68921    -10.510212  0.014  0.004  0.004  0.004  0.032  0.032  0.000  0.032  0.000  0.120
   2.70686    -10.511142  0.014  0.002  0.002  0.002  0.032  0.034  0.000  0.032  0.000  0.120
   2.72451    -10.512435  0.016  0.002  0.002  0.002  0.032  0.034  0.000  0.032  0.000  0.120
   2.74216    -10.514084  0.014  0.002  0.002  0.002  0.032  0.034  0.000  0.032  0.000  0.118
