#K-Path          Energy     s     py     pz     px    dxy    dyz    dz2    dxz  x2-y2    tot
# NKPTS & NBANDS: 120 128
# Band-Index    1
   0.00000    -10.845541  0.576  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.576
   0.03530    -10.843990  0.576  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.576
   0.07060    -10.839365  0.576  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.576
   0.10590    -10.831738  0.576  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.576
   0.14120    -10.821245  0.580  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.580
   0.17651    -10.808058  0.580  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.580
   0.21181    -10.792404  0.580  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.580
   0.24711    -10.774546  0.580  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.580
   0.28241    -10.754788  0.580  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.580
   0.31771    -10.733462  0.580  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.580
   0.35301    -10.710922  0.580  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.580
   0.38831    -10.687539  0.580  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.584
   0.42361    -10.663687  0.584  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.584
   0.45891    -10.639737  0.584  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.584
   0.49422    -10.616036  0.584  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.584
   0.52952    -10.592917  0.584  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.584
   0.56482    -10.570671  0.580  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.580
   0.60012    -10.549555  0.580  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.580
   0.63542    -10.529774  0.580  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.580
   0.67072    -10.511493  0.580  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.580
   0.67072    -10.511493  0.580  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.581
   0.68601    -10.515909  0.580  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.580
   0.70129    -10.520394  0.580  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.580
   0.71658    -10.524926  0.580  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.580
   0.73186    -10.529478  0.580  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.580
   0.74715    -10.534028  0.580  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.580
