#K-Path(1/A)         Spin-Up(eV)   Spin-down(eV)
# NKPTS & NBANDS: 120 128
# Band-Index    1
   0.00000     -9.215452     -9.243527
   0.06778     -9.196181     -9.224197
   0.13557     -9.138533     -9.166355
   0.20335     -9.042944     -9.070370
   0.27113     -8.910193     -8.936914
   0.33891     -8.741402     -8.766947
   0.40670     -8.538022     -8.561679
   0.47448     -8.301931     -8.322660
   0.54226     -8.035455     -8.051767
   0.61004     -7.741459     -7.751250
   0.67783     -7.423430     -7.423787
   0.74561     -7.085621     -7.072536
   0.81339     -6.733240     -6.701336
   0.88117     -6.372516     -6.314652
   0.94896     -6.010890     -5.917827
   1.01674     -5.657007     -5.517211
   1.08452     -5.320464     -5.120192
   1.15230     -5.011279     -4.735216
   1.22009     -4.739008     -4.371541
   1.28787     -4.511718     -4.038725
   1.28787     -4.511718     -4.038725
   1.31722     -4.567734     -4.119379
   1.34657     -4.633080     -4.203521
   1.37592     -4.705546     -4.290138
   1.40527     -4.783006     -4.378263
   1.43462     -4.863594     -4.466991
   1.46397     -4.945754     -4.555494
   1.49332     -5.028208     -4.643017
   1.52268     -5.109917     -4.728887
   1.55203     -5.190026     -4.812501
   1.58138     -5.267823     -4.893314
   1.61073     -5.342715     -4.970851
   1.64008     -5.414207     -5.044698
   1.66943     -5.481870     -5.114473
   1.69878     -5.545341     -5.179852
   1.72813     -5.604310     -5.240547
   1.75748     -5.658512     -5.296312
   1.78683     -5.707717     -5.346921
   1.81618     -5.751733     -5.392192
   1.84553     -5.790400     -5.431967
   1.84553     -5.790400     -5.431967
   1.93359     -5.873129     -5.517128
   2.02164     -5.904617     -5.549608
   2.10969     -5.884909     -5.529152
   2.19774     -5.816374     -5.457525
   2.28579     -5.704264     -5.338805
   2.37385     -5.557863     -5.180118
   2.46190     -5.695971     -5.409562
   2.54995     -6.045611     -5.875263
   2.63800     -6.449597     -6.358351
   2.72606     -6.879638     -6.838227
   2.81411     -7.309742     -7.298356
   2.90216     -7.719798     -7.726030
   2.99021     -8.095284     -8.111642
   3.07826     -8.425909     -8.447959
   3.16632     -8.704391     -8.729554
   3.25437     -8.925578     -8.952379
   3.34242     -9.085885     -9.113499
   3.43047     -9.182951     -9.210925
   3.51853     -9.215452     -9.243527
   3.51853     -9.215452     -9.243527
   3.60154     -9.186556     -9.214540
   3.68456     -9.100237     -9.127903
   3.76757     -8.957584     -8.984535
   3.85059     -8.760532     -8.786038
   3.93361     -8.512088     -8.534839
   4.01662     -8.216629     -8.234310
   4.09964     -7.880475     -7.889048
   4.18266     -7.512763     -7.505305
   4.26567     -7.126729     -7.091583
   4.34869     -6.741099     -6.659441
   4.43171     -6.380505     -6.224541
   4.51472     -6.071747     -5.807054
   4.59774     -5.834229     -5.430345
   4.68075     -5.670652     -5.115958
   4.76377     -5.568438     -4.876038
   4.84679     -5.509499     -4.709097
   4.92980     -5.478054     -4.603852
   5.01282     -5.463233     -4.547062
   5.09584     -5.458940     -4.529243
   5.09584     -5.458940     -4.529243
   5.12973     -5.458330     -4.530000
   5.16362     -5.456523     -4.532311
