#K-Path          Energy     s     py     pz     px    dxy    dyz    dz2    dxz  x2-y2    tot
# NKPTS & NBANDS: 120 128
# Band-Index    1
   0.00000     -9.243527  0.772  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.772
   0.06778     -9.224197  0.772  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.772
   0.13557     -9.166355  0.768  0.000  0.004  0.004  0.000  0.000  0.000  0.000  0.000  0.772
   0.20335     -9.070370  0.760  0.000  0.008  0.008  0.000  0.000  0.000  0.000  0.000  0.772
   0.27113     -8.936914  0.752  0.000  0.012  0.012  0.000  0.000  0.000  0.000  0.000  0.772
   0.33891     -8.766947  0.740  0.000  0.016  0.016  0.000  0.000  0.000  0.000  0.000  0.772
   0.40670     -8.561679  0.724  0.000  0.024  0.024  0.000  0.000  0.000  0.000  0.000  0.776
   0.47448     -8.322660  0.704  0.000  0.032  0.032  0.000  0.000  0.000  0.004  0.000  0.776
   0.54226     -8.051767  0.684  0.000  0.040  0.040  0.000  0.000  0.000  0.008  0.000  0.776
   0.61004     -7.751250  0.660  0.000  0.052  0.052  0.000  0.000  0.000  0.008  0.000  0.776
   0.67783     -7.423787  0.636  0.000  0.060  0.060  0.000  0.000  0.000  0.016  0.004  0.776
   0.74561     -7.072536  0.608  0.000  0.072  0.072  0.000  0.000  0.000  0.024  0.004  0.780
   0.81339     -6.701336  0.576  0.000  0.084  0.084  0.000  0.000  0.000  0.032  0.004  0.780
   0.88117     -6.314652  0.540  0.000  0.092  0.092  0.000  0.000  0.004  0.048  0.008  0.784
   0.94896     -5.917827  0.504  0.000  0.104  0.104  0.000  0.000  0.004  0.064  0.012  0.788
   1.01674     -5.517211  0.464  0.000  0.112  0.112  0.000  0.000  0.004  0.088  0.016  0.792
   1.08452     -5.120192  0.420  0.000  0.120  0.120  0.000  0.000  0.008  0.116  0.020  0.800
   1.15230     -4.735216  0.372  0.000  0.124  0.124  0.000  0.000  0.008  0.152  0.024  0.804
   1.22009     -4.371541  0.324  0.000  0.128  0.128  0.000  0.000  0.008  0.196  0.028  0.816
   1.28787     -4.038725  0.277  0.000  0.127  0.127  0.000  0.000  0.010  0.250  0.033  0.826
   1.28787     -4.038725  0.277  0.000  0.127  0.127  0.000  0.000  0.011  0.251  0.033  0.827
   1.31722     -4.119379  0.288  0.000  0.128  0.128  0.000  0.000  0.012  0.236  0.032  0.824
   1.34657     -4.203521  0.300  0.000  0.124  0.124  0.004  0.004  0.008  0.224  0.028  0.820
   1.37592     -4.290138  0.312  0.000  0.124  0.124  0.008  0.008  0.008  0.212  0.028  0.820
   1.40527     -4.378263  0.320  0.000  0.120  0.120  0.008  0.008  0.008  0.200  0.028  0.820
   1.43462     -4.466991  0.332  0.000  0.120  0.120  0.016  0.016  0.008  0.188  0.024  0.820
   1.46397     -4.555494  0.340  0.000  0.116  0.116  0.020  0.020  0.008  0.176  0.024  0.816
   1.49332     -4.643017  0.352  0.000  0.112  0.112  0.024  0.024  0.008  0.168  0.020  0.816
   1.52268     -4.728887  0.360  0.000  0.108  0.108  0.028  0.028  0.008  0.160  0.020  0.816
   1.55203     -4.812501  0.368  0.000  0.104  0.104  0.032  0.032  0.004  0.152  0.016  0.816
   1.58138     -4.893314  0.376  0.004  0.100  0.100  0.036  0.036  0.004  0.144  0.016  0.816
