#K-Path          Energy     s     py     pz     px    dxy    dyz    dz2    dxz  x2-y2    tot
# NKPTS & NBANDS: 120 128
# Band-Index    1
   0.00000     -9.215452  0.772  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.772
   0.06778     -9.196181  0.772  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.772
   0.13557     -9.138533  0.768  0.000  0.004  0.004  0.000  0.000  0.000  0.000  0.000  0.772
   0.20335     -9.042944  0.760  0.000  0.008  0.008  0.000  0.000  0.000  0.000  0.000  0.772
   0.27113     -8.910193  0.748  0.000  0.012  0.012  0.000  0.000  0.000  0.000  0.000  0.772
   0.33891     -8.741402  0.736  0.000  0.016  0.016  0.000  0.000  0.000  0.000  0.000  0.772
   0.40670     -8.538022  0.724  0.000  0.024  0.024  0.000  0.000  0.000  0.004  0.000  0.772
   0.47448     -8.301931  0.704  0.000  0.032  0.032  0.000  0.000  0.000  0.004  0.000  0.772
   0.54226     -8.035455  0.684  0.000  0.040  0.040  0.000  0.000  0.000  0.008  0.000  0.776
   0.61004     -7.741459  0.660  0.000  0.052  0.052  0.000  0.000  0.000  0.016  0.004  0.776
   0.67783     -7.423430  0.632  0.000  0.060  0.060  0.000  0.000  0.000  0.024  0.004  0.780
   0.74561     -7.085621  0.600  0.000  0.068  0.068  0.000  0.000  0.000  0.032  0.004  0.780
   0.81339     -6.733240  0.568  0.000  0.080  0.080  0.000  0.000  0.004  0.052  0.008  0.784
   0.88117     -6.372516  0.528  0.000  0.088  0.088  0.000  0.000  0.004  0.072  0.012  0.788
   0.94896     -6.010890  0.484  0.000  0.096  0.096  0.000  0.000  0.004  0.100  0.012  0.796
   1.01674     -5.657007  0.440  0.000  0.100  0.100  0.000  0.000  0.004  0.140  0.016  0.804
   1.08452     -5.320464  0.388  0.000  0.104  0.104  0.000  0.000  0.008  0.188  0.020  0.816
   1.15230     -5.011279  0.336  0.000  0.104  0.104  0.000  0.000  0.008  0.248  0.024  0.828
   1.22009     -4.739008  0.284  0.000  0.104  0.104  0.000  0.000  0.008  0.324  0.024  0.840
   1.28787     -4.511718  0.234  0.000  0.096  0.096  0.000  0.000  0.007  0.406  0.020  0.859
   1.28787     -4.511718  0.235  0.000  0.095  0.095  0.000  0.000  0.007  0.405  0.019  0.857
   1.31722     -4.567734  0.244  0.000  0.096  0.096  0.004  0.004  0.008  0.384  0.020  0.856
   1.34657     -4.633080  0.256  0.000  0.096  0.096  0.008  0.008  0.008  0.356  0.020  0.852
   1.37592     -4.705546  0.264  0.000  0.096  0.096  0.020  0.020  0.008  0.332  0.020  0.852
   1.40527     -4.783006  0.272  0.000  0.092  0.092  0.028  0.028  0.008  0.308  0.020  0.848
   1.43462     -4.863594  0.280  0.000  0.088  0.088  0.040  0.040  0.008  0.288  0.020  0.848
   1.46397     -4.945754  0.288  0.000  0.088  0.088  0.048  0.048  0.004  0.268  0.016  0.848
   1.49332     -5.028208  0.296  0.000  0.084  0.084  0.056  0.056  0.004  0.252  0.016  0.848
   1.52268     -5.109917  0.304  0.000  0.080  0.080  0.064  0.064  0.004  0.236  0.016  0.848
   1.55203     -5.190026  0.312  0.000  0.076  0.076  0.072  0.072  0.004  0.224  0.012  0.848
   1.58138     -5.267823  0.316  0.000  0.072  0.072  0.080  0.080  0.004  0.212  0.012  0.848
   1.61073     -5.342715  0.324  0.000  0.072  0.072  0.084  0.084  0.004  0.200  0.012  0.848
   1.64008     -5.414207  0.332  0.000  0.068  0.068  0.088  0.088  0.004  0.188  0.008  0.848
   1.66943     -5.481870  0.336  0.000  0.064  0.064  0.096  0.096  0.004  0.180  0.008  0.848
   1.69878     -5.545341  0.340  0.004  0.060  0.060  0.100  0.100  0.004  0.172  0.008  0.848
   1.72813     -5.604310  0.348  0.004  0.060  0.060  0.104  0.104  0.004  0.168  0.008  0.848
   1.75748     -5.658512  0.352  0.004  0.056  0.056  0.108  0.108  0.000  0.160  0.004  0.848
   1.78683     -5.707717  0.356  0.008  0.052  0.052  0.112  0.112  0.000  0.156  0.004  0.848
   1.81618     -5.751733  0.360  0.008  0.048  0.048  0.112  0.112  0.000  0.148  0.004  0.848
   1.84553     -5.790400  0.364  0.012  0.048  0.048  0.116  0.116  0.000  0.144  0.004  0.848
   1.84553     -5.790400  0.364  0.048  0.012  0.048  0.144  0.116  0.004  0.116  0.000  0.848
   1.93359     -5.873129  0.372  0.040  0.020  0.040  0.132  0.120  0.000  0.120  0.000  0.848
   2.02164     -5.904617  0.372  0.032  0.032  0.032  0.128  0.124  0.000  0.124  0.000  0.848
   2.10969     -5.884909  0.372  0.028  0.044  0.028  0.124  0.128  0.000  0.128  0.000  0.848
