#K-Path(1/A)         Spin-Up(eV)   Spin-down(eV)
# NKPTS & NBANDS: 120 128
# Band-Index    1
   0.00000     -9.081308     -8.892761
   0.10392     -9.035052     -8.846321
   0.20784     -8.897285     -8.707914
   0.31177     -8.670978     -8.480217
   0.41569     -8.361105     -8.167692
   0.51961     -7.974740     -7.776594
   0.62353     -7.521234     -7.315016
   0.72745     -7.012472     -6.793082
   0.83138     -6.463272     -6.223138
   0.93530     -5.891908     -5.620315
   1.03922     -5.320408     -5.003007
   1.14314     -4.774306     -4.393457
   1.24706     -4.280996     -3.817640
   1.35098     -3.965072     -3.303856
   1.45491     -4.005990     -2.879267
   1.55883     -3.976836     -2.851524
   1.66275     -3.888956     -2.773485
   1.76667     -3.757950     -2.654766
   1.87059     -3.603551     -2.518379
   1.97452     -3.449130     -2.391682
   1.97452     -3.449130     -2.391682
   2.05937     -3.552652     -2.473376
   2.14422     -3.655410     -2.560655
   2.22907     -3.755760     -2.654448
   2.31392     -3.852810     -2.756038
   2.39878     -3.946486     -2.866949
   2.48363     -4.037548     -2.988574
   2.56848     -4.127515     -3.121705
   2.65333     -4.218387     -3.266023
   2.73818     -4.312114     -3.419748
   2.82303     -4.409866     -3.579623
   2.90789     -4.511386     -3.741185
   2.99274     -4.614719     -3.899288
   3.07759     -4.716452     -4.048605
   3.16244     -4.812315     -4.184069
   3.24729     -4.897856     -4.301183
   3.33215     -4.968975     -4.396183
   3.41700     -5.022286     -4.466135
   3.50185     -5.055286     -4.508940
   3.58670     -5.066447     -4.523325
   3.58670     -5.066447     -4.523325
   3.64670     -5.291315     -4.830191
   3.70670     -5.549409     -5.155734
   3.76670     -5.832680     -5.492453
   3.82670     -6.132578     -5.833478
   3.88670     -6.440917     -6.172773
   3.94670     -6.750384     -6.505155
   4.00670     -7.054712     -6.826233
   4.06670     -7.348678     -7.132327
   4.12670     -7.627950     -7.420285
   4.18670     -7.889002     -7.687505
   4.24669     -8.128940     -7.931781
   4.30669     -8.345401     -8.151258
   4.36669     -8.536452     -8.344379
   4.42669     -8.700533     -8.509866
   4.48669     -8.836367     -8.646617
   4.54669     -8.942987     -8.753824
   4.60669     -9.019658     -8.830860
   4.66669     -9.065870     -8.877264
   4.72669     -9.081308     -8.892761
   4.72669     -9.081308     -8.892761
   4.77865     -9.069728     -8.881137
   4.83061     -9.035052     -8.846321
   4.88257     -8.977465     -8.788481
   4.93453     -8.897285     -8.707914
   4.98649     -8.794950     -8.605006
   5.03845     -8.670978     -8.480217
   5.09042     -8.526087     -8.334203
   5.14238     -8.361105     -8.167692
   5.19434     -8.176954     -7.981502
   5.24630     -7.974740     -7.776594
   5.29826     -7.755704     -7.554040
   5.35022     -7.521234     -7.315016
   5.40218     -7.272909     -7.060880
   5.45414     -7.012472     -6.793082
   5.50610     -6.741871     -6.513233
   5.55806     -6.463272     -6.223138
   5.61003     -6.179070     -5.924767
   5.66199     -5.891908     -5.620315
   5.71395     -5.604649     -5.312174
   5.71395     -5.604649     -5.312174
   5.81344     -5.691364     -5.395849
   5.91294     -5.757346     -5.439551
   6.01244     -5.796775     -5.441476
   6.11194     -5.803993     -5.400089
   6.21144     -5.774675     -5.314530
   6.31093     -5.706370     -5.184918
   6.41043     -5.598662     -5.012663
   6.50993     -5.453189     -4.800756
   6.60943     -5.273589     -4.554023
   6.70892     -5.065444     -4.279324
   6.80842     -4.836170     -3.985686
   6.90792     -4.594819     -3.684198
   7.00742     -4.351783     -3.387761
   7.10691     -4.157641     -3.110321
   7.20641     -3.997292     -2.910041
   7.30591     -3.847258     -2.752262
   7.40541     -3.709075     -2.613155
   7.50490     -3.578314     -2.495114
   7.60440     -3.449130     -2.391682
   7.60440     -5.604649     -5.312174
   7.65636     -5.697375     -5.409933
   7.70832     -5.781839     -5.495453
   7.76029     -5.854533     -5.566600
   7.81225     -5.912906     -5.621745
   7.86421     -5.955210     -5.659718
   7.91617     -5.980358     -5.679723
   7.96813     -5.987825     -5.681355
   8.02009     -5.977587     -5.664544
   8.07205     -5.950049     -5.629530
   8.12401     -5.906026     -5.576844
   8.17597     -5.846718     -5.507305
   8.22793     -5.773704     -5.422018
   8.27989     -5.688891     -5.322330
   8.33186     -5.594491     -5.209830
   8.38382     -5.492958     -5.086327
   8.43578     -5.386882     -4.953806
   8.48774     -5.278858     -4.814369
   8.53970     -5.171337     -4.670172
   8.59166     -5.066447     -4.523325
 
# Band-Index    2
   8.59166     -5.066447     -4.523325
   8.53970     -4.965892     -4.375899
   8.48774     -4.870769     -4.229623
   8.43578     -4.781633     -4.086010
   8.38382     -4.698484     -3.946191
   8.33186     -4.620879     -3.810906
   8.27989     -4.548058     -3.680517
   8.22793     -4.479077     -3.555044
   8.17597     -4.412935     -3.434245
   8.12401     -4.348672     -3.317694
   8.07205     -4.285466     -3.204896
   8.02009     -4.222700     -3.095373
   7.96813     -4.160032     -2.988778
   7.91617     -4.097472     -2.884989
   7.86421     -4.036405     -2.784275
   7.81225     -4.021498     -2.687510
   7.76029     -3.993253     -2.596634
   7.70832     -3.951484     -2.523146
   7.65636     -3.896080     -2.484437
   7.60440     -3.826984     -2.431412
   7.60440     -3.449130     -2.391682
   7.50490     -3.545101     -2.461367
   7.40541     -3.613959     -2.519705
   7.30591     -3.725339     -2.666010
   7.20641     -3.905910     -2.865705
   7.10691     -4.118327     -3.077264
   7.00742     -4.320423     -3.242115
   6.90792     -4.474822     -3.392857
   6.80842     -4.610176     -3.519096
   6.70892     -4.717422     -3.612296
   6.60943     -4.789589     -3.665980
   6.50993     -4.821877     -3.675763
   6.41043     -4.811603     -3.639316
   6.31093     -4.758153     -3.556384
   6.21144     -4.662958     -3.428792
   6.11194     -4.529629     -3.260617
   6.01244     -4.364331     -3.058597
   5.91294     -4.176945     -2.833343
   5.81344     -3.984928     -2.604429
   5.71395     -3.826984     -2.431412
   5.71395     -3.826984     -2.431412
   5.66199     -3.934166     -2.515752
   5.61003     -4.044929     -2.606852
   5.55806     -4.157769     -2.703104
   5.50610     -4.271229     -2.802829
   5.45414     -4.383908     -2.904339
   5.40218     -4.494492     -3.006006
   5.35022     -4.601746     -3.106268
   5.29826     -4.704528     -3.203676
   5.24630     -4.801794     -3.296899
   5.19434     -4.892597     -3.384732
   5.14238     -4.976087     -3.466105
   5.09042     -5.051504     -3.540062
   5.03845     -5.118187     -3.605780
   4.98649     -5.175566     -3.662554
   4.93453     -5.223161     -3.709794
   4.88257     -5.260581     -3.747025
   4.83061     -5.287524     -3.773877
   4.77865     -5.303777     -3.790100
   4.72669     -5.309209     -3.795522
   4.72669     -5.309209     -3.795522
   4.66669     -5.302177     -3.789016
   4.60669     -5.281114     -3.769798
   4.54669     -5.246130     -3.738737
   4.48669     -5.197401     -3.697303
   4.42669     -5.135179     -3.647588
   4.36669     -5.063785     -3.592338
   4.30669     -4.986694     -3.534994
   4.24669     -4.905510     -3.479708
   4.18670     -4.823712     -3.431377
   4.12670     -4.745343     -3.395606
   4.06670     -4.675030     -3.378609
   4.00670     -4.617992     -3.386970
   3.94670     -4.579995     -3.427211
   3.88670     -4.567203     -3.505152
   3.82670     -4.585873     -3.625100
   3.76670     -4.641793     -3.789057
   3.70670     -4.739480     -3.996208
   3.64670     -4.881249     -4.242933
   3.58670     -5.066447     -4.523325
   3.58670     -5.066447     -4.523325
   3.50185     -5.055286     -4.508940
   3.41700     -5.022286     -4.466135
   3.33215     -4.968975     -4.396183
   3.24729     -4.897856     -4.301183
   3.16244     -4.812315     -4.184069
   3.07759     -4.716452     -4.048605
   2.99274     -4.614719     -3.899288
   2.90789     -4.511386     -3.741185
   2.82303     -4.409866     -3.579623
   2.73818     -4.312114     -3.419748
   2.65333     -4.218387     -3.266023
   2.56848     -4.127515     -3.121705
   2.48363     -4.037548     -2.988574
   2.39878     -3.946486     -2.866949
   2.31392     -3.852810     -2.756038
   2.22907     -3.755760     -2.654448
   2.14422     -3.655410     -2.560655
   2.05937     -3.552652     -2.473376
   1.97452     -3.449130     -2.391682
   1.97452     -3.449130     -2.391682
   1.87059     -3.518524     -2.440795
   1.76667     -3.575723     -2.472641
   1.66275     -3.614310     -2.482569
   1.55883     -3.629447     -2.564695
   1.45491     -3.617902     -2.870755
   1.35098     -3.866419     -2.817930
   1.24706     -3.846936     -2.684465
   1.14314     -3.648532     -2.466174
   1.03922     -3.724895     -2.355291
   0.93530     -3.934166     -2.515752
   0.83138     -4.157769     -2.703104
   0.72745     -4.383908     -2.904339
   0.62353     -4.601746     -3.106268
   0.51961     -4.801794     -3.296899
   0.41569     -4.976087     -3.466105
   0.31177     -5.118187     -3.605780
   0.20784     -5.223161     -3.709794
   0.10392     -5.287524     -3.773877
   0.00000     -5.309209     -3.795522
 
# Band-Index    3
   0.00000     -5.309209     -3.795522
   0.10392     -5.287524     -3.773877
   0.20784     -5.223161     -3.709794
   0.31177     -5.118187     -3.605780
   0.41569     -4.976087     -3.466105
   0.51961     -4.801794     -3.296899
   0.62353     -4.601746     -3.106268
   0.72745     -4.383908     -2.904339
   0.83138     -4.157769     -2.703104
   0.93530     -3.934166     -2.515752
   1.03922     -3.724895     -2.355291
   1.14314     -3.541863     -2.232320
   1.24706     -3.509998     -2.252540
   1.35098     -3.578070     -2.352157
   1.45491     -3.617902     -2.423893
   1.55883     -3.629447     -2.467077
   1.66275     -3.614310     -2.482569
   1.76667     -3.575723     -2.472641
   1.87059     -3.518524     -2.440795
   1.97452     -3.449130     -2.391682
   1.97452     -3.449130     -2.391682
   2.05937     -3.453288     -2.392177
   2.14422     -3.465201     -2.393297
   2.22907     -3.483265     -2.393987
   2.31392     -3.505079     -2.392616
   2.39878     -3.527765     -2.387164
   2.48363     -3.548287     -2.375389
   2.56848     -3.563742     -2.355035
   2.65333     -3.571576     -2.323999
   2.73818     -3.569742     -2.280469
   2.82303     -3.556805     -2.223037
   2.90789     -3.532036     -2.150810
   2.99274     -3.495505     -2.063492
   3.07759     -3.448213     -1.961546
   3.16244     -3.392281     -1.846430
   3.24729     -3.331238     -1.721094
   3.33215     -3.270366     -1.591083
   3.41700     -3.216914     -1.467045
   3.50185     -3.179523     -1.369519
   3.58670     -3.165970     -1.330467
   3.58670     -3.165970     -1.330467
   3.64670     -3.348826     -1.544536
   3.70670     -3.529507     -1.755323
   3.76670     -3.706766     -1.961428
   3.82670     -3.879401     -2.161510
   3.88670     -4.046270     -2.354310
   3.94670     -4.206297     -2.538661
   4.00670     -4.358474     -2.713485
   4.06670     -4.501868     -2.877793
   4.12670     -4.635623     -3.030690
   4.18670     -4.758956     -3.171367
   4.24669     -4.871166     -3.299103
   4.30669     -4.971626     -3.413263
   4.36669     -5.059788     -3.513293
   4.42669     -5.133837     -3.598719
   4.48669     -5.194402     -3.669145
   4.54669     -5.243512     -3.724250
   4.60669     -5.279656     -3.763785
   4.66669     -5.301768     -3.787580
   4.72669     -5.309209     -3.795522
   4.72669     -5.309209     -3.795522
   4.77865     -5.303777     -3.790100
   4.83061     -5.287524     -3.773877
   4.88257     -5.260581     -3.747025
   4.93453     -5.223161     -3.709794
   4.98649     -5.175566     -3.662554
   5.03845     -5.118187     -3.605780
   5.09042     -5.051504     -3.540062
   5.14238     -4.976087     -3.466105
   5.19434     -4.892597     -3.384732
   5.24630     -4.801794     -3.296899
   5.29826     -4.704528     -3.203676
   5.35022     -4.601746     -3.106268
   5.40218     -4.494492     -3.006006
   5.45414     -4.383908     -2.904339
   5.50610     -4.271229     -2.802829
   5.55806     -4.157769     -2.703104
   5.61003     -4.044929     -2.606852
   5.66199     -3.934166     -2.515752
   5.71395     -3.826984     -2.431412
   5.71395     -3.826984     -2.431412
   5.81344     -3.763357     -2.373717
   5.91294     -3.667980     -2.281963
   6.01244     -3.544041     -2.159727
   6.11194     -3.396070     -2.012443
   6.21144     -3.240934     -1.908428
   6.31093     -3.274553     -1.944916
   6.41043     -3.319578     -1.995696
   6.50993     -3.373725     -2.058940
   6.60943     -3.433625     -2.131480
   6.70892     -3.495178     -2.209175
   6.80842     -3.553932     -2.287307
   6.90792     -3.605370     -2.360917
   7.00742     -3.645144     -2.425122
   7.10691     -3.669213     -2.475309
   7.20641     -3.673977     -2.507298
   7.30591     -3.656368     -2.517471
   7.40541     -3.585697     -2.502882
   7.50490     -3.493078     -2.429729
   7.60440     -3.449130     -2.391682
   7.60440     -3.826984     -2.431412
   7.65636     -3.836748     -2.454048
   7.70832     -3.870714     -2.515757
   7.76029     -3.919093     -2.547539
   7.81225     -3.975319     -2.557667
   7.86421     -4.035512     -2.553661
   7.91617     -4.038218     -2.535703
   7.96813     -4.027259     -2.504055
   8.02009     -4.003926     -2.459060
   8.07205     -3.968713     -2.401151
   8.12401     -3.922203     -2.330857
   8.17597     -3.865088     -2.248825
   8.22793     -3.798187     -2.155836
   8.27989     -3.722464     -2.052851
   8.33186     -3.639055     -1.941053
   8.38382     -3.549315     -1.821954
   8.43578     -3.454878     -1.697579
   8.48774     -3.357745     -1.570811
   8.53970     -3.260404     -1.446059
   8.59166     -3.165970     -1.330467
 
# Band-Index    4
   8.59166     -3.165970     -1.330467
   8.53970     -3.078307     -1.235444
   8.48774     -3.001905     -1.175271
   8.43578     -2.941318     -1.157889
   8.38382     -2.899896     -1.176568
   8.33186     -2.878405     -1.217615
   8.27989     -2.874721     -1.270174
   8.22793     -2.884947     -1.327790
   8.17597     -2.904935     -1.386888
   8.12401     -2.931185     -1.445480
   8.07205     -2.961085     -1.502434
   8.02009     -2.992812     -1.557118
   7.96813     -3.025147     -1.609199
   7.91617     -3.057306     -1.658534
   7.86421     -3.088812     -1.705111
   7.81225     -3.119408     -1.749012
   7.76029     -3.148992     -1.796183
   7.70832     -3.177568     -1.840214
   7.65636     -3.205584     -1.892328
   7.60440     -3.232051     -1.980957
   7.60440     -3.449130     -2.391682
   7.50490     -3.449505     -2.392502
   7.40541     -3.482637     -2.412148
   7.30591     -3.530390     -2.430727
   7.20641     -3.572653     -2.434734
   7.10691     -3.593701     -2.416513
   7.00742     -3.584489     -2.371478
   6.90792     -3.540843     -2.296790
   6.80842     -3.461671     -2.191342
   6.70892     -3.348596     -2.056385
   6.60943     -3.206718     -1.896700
   6.50993     -3.046517     -1.722573
   6.41043     -2.887218     -1.552878
   6.31093     -3.053768     -1.676279
   6.21144     -3.230093     -1.847807
   6.11194     -3.219640     -1.886503
   6.01244     -3.210156     -1.877828
   5.91294     -3.210748     -1.879772
   5.81344     -3.218922     -1.888847
   5.71395     -3.232051     -1.980957
   5.71395     -3.232051     -1.980957
   5.66199     -3.162570     -1.818756
   5.61003     -3.090356     -1.734206
   5.55806     -3.016424     -1.648728
   5.50610     -2.941859     -1.563457
   5.45414     -2.867802     -1.479561
   5.40218     -2.795417     -1.398198
   5.35022     -2.725848     -1.320476
   5.29826     -2.660173     -1.247409
   5.24630     -2.599334     -1.179848
   5.19434     -2.544101     -1.118473
   5.14238     -2.495019     -1.063757
   5.09042     -2.452388     -1.015954
   5.03845     -2.416272     -0.975137
   4.98649     -2.386537     -0.941209
   4.93453     -2.362901     -0.913962
   4.88257     -2.345025     -0.893156
   4.83061     -2.332561     -0.878521
   4.77865     -2.325211     -0.869838
   4.72669     -2.322783     -0.866960
   4.72669     -2.322783     -0.866960
   4.66669     -2.323084     -0.867702
   4.60669     -2.323909     -0.869833
   4.54669     -2.325024     -0.873080
   4.48669     -2.326057     -0.876991
   4.42669     -2.326489     -0.880955
   4.36669     -2.325680     -0.884214
   4.30669     -2.322911     -0.885920
   4.24669     -2.317374     -0.885118
   4.18670     -2.308214     -0.880799
   4.12670     -2.294546     -0.871923
   4.06670     -2.275482     -0.857445
   4.00670     -2.250147     -0.836333
   3.94670     -2.217713     -0.807615
   3.88670     -2.265249     -0.770364
   3.82670     -2.439130     -0.723741
   3.76670     -2.617481     -0.683913
   3.70670     -2.798967     -0.898594
   3.64670     -2.982244     -1.114643
   3.58670     -3.165970     -1.330467
   3.58670     -3.165970     -1.330467
   3.50185     -3.179523     -1.369519
   3.41700     -3.216914     -1.467045
   3.33215     -3.270366     -1.591083
   3.24729     -3.331238     -1.721094
   3.16244     -3.392281     -1.846430
   3.07759     -3.448213     -1.961546
   2.99274     -3.495505     -2.063492
   2.90789     -3.532036     -2.150810
   2.82303     -3.556805     -2.223037
   2.73818     -3.569742     -2.280469
   2.65333     -3.571576     -2.323999
   2.56848     -3.563742     -2.355035
   2.48363     -3.548287     -2.375389
