#K-Path          Energy     s     py     pz     px    dxy    dyz    dz2    dxz  x2-y2    tot
# NKPTS & NBANDS: 120 128
# Band-Index    1
   0.00000     -8.892761  0.810  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.810
   0.10392     -8.846321  0.806  0.002  0.002  0.002  0.000  0.000  0.000  0.000  0.000  0.810
   0.20784     -8.707914  0.796  0.004  0.004  0.004  0.000  0.000  0.000  0.000  0.000  0.810
   0.31177     -8.480217  0.778  0.010  0.010  0.010  0.000  0.000  0.000  0.000  0.000  0.810
   0.41569     -8.167692  0.752  0.018  0.018  0.018  0.002  0.002  0.000  0.002  0.000  0.810
   0.51961     -7.776594  0.722  0.028  0.028  0.028  0.002  0.002  0.000  0.002  0.000  0.810
   0.62353     -7.315016  0.684  0.038  0.038  0.038  0.006  0.006  0.000  0.006  0.000  0.812
   0.72745     -6.793082  0.638  0.048  0.048  0.048  0.010  0.010  0.000  0.010  0.000  0.814
   0.83138     -6.223138  0.588  0.060  0.060  0.060  0.016  0.016  0.000  0.016  0.000  0.816
   0.93530     -5.620315  0.530  0.072  0.072  0.072  0.026  0.026  0.000  0.026  0.000  0.820
   1.03922     -5.003007  0.466  0.082  0.082  0.082  0.038  0.038  0.000  0.038  0.000  0.826
   1.14314     -4.393457  0.396  0.090  0.090  0.090  0.056  0.056  0.000  0.056  0.000  0.834
   1.24706     -3.817640  0.324  0.094  0.094  0.094  0.078  0.078  0.000  0.078  0.000  0.844
   1.35098     -3.303856  0.248  0.098  0.098  0.098  0.104  0.104  0.000  0.104  0.000  0.856
   1.45491     -2.879267  0.176  0.098  0.098  0.098  0.134  0.134  0.000  0.134  0.000  0.870
   1.55883     -2.851524  0.044  0.016  0.016  0.016  0.286  0.286  0.000  0.286  0.000  0.950
   1.66275     -2.773485  0.030  0.024  0.024  0.024  0.282  0.282  0.000  0.282  0.000  0.948
   1.76667     -2.654766  0.016  0.034  0.034  0.034  0.274  0.274  0.000  0.274  0.000  0.944
   1.87059     -2.518379  0.004  0.046  0.046  0.046  0.266  0.266  0.000  0.266  0.000  0.938
   1.97452     -2.391682  0.000  0.068  0.066  0.038  0.290  0.172  0.000  0.299  0.000  0.931
   1.97452     -2.391682  0.000  0.053  0.044  0.074  0.197  0.327  0.000  0.236  0.000  0.932
   2.05937     -2.473376  0.002  0.045  0.057  0.045  0.321  0.232  0.001  0.232  0.000  0.936
   2.14422     -2.560655  0.008  0.046  0.033  0.046  0.264  0.270  0.002  0.270  0.000  0.940
   2.22907     -2.654448  0.020  0.047  0.014  0.047  0.210  0.299  0.006  0.299  0.000  0.942
   2.31392     -2.756038  0.037  0.047  0.002  0.047  0.160  0.316  0.012  0.316  0.000  0.940
   2.39878     -2.866949  0.059  0.046  0.000  0.046  0.117  0.322  0.021  0.322  0.000  0.935
   2.48363     -2.988574  0.087  0.045  0.008  0.045  0.082  0.314  0.032  0.314  0.000  0.928
   2.56848     -3.121705  0.118  0.043  0.023  0.043  0.054  0.295  0.047  0.295  0.000  0.917
   2.65333     -3.266023  0.152  0.039  0.047  0.039  0.034  0.266  0.063  0.266  0.000  0.906
   2.73818     -3.419748  0.186  0.034  0.076  0.034  0.020  0.230  0.081  0.230  0.000  0.892
   2.82303     -3.579623  0.218  0.030  0.107  0.030  0.011  0.192  0.100  0.192  0.000  0.879
   2.90789     -3.741185  0.247  0.025  0.138  0.025  0.006  0.154  0.119  0.154  0.000  0.868
   2.99274     -3.899288  0.273  0.020  0.168  0.020  0.003  0.118  0.136  0.118  0.000  0.857
   3.07759     -4.048605  0.296  0.015  0.195  0.015  0.002  0.087  0.152  0.087  0.000  0.848
   3.16244     -4.184069  0.314  0.011  0.218  0.011  0.000  0.060  0.166  0.060  0.000  0.840
   3.24729     -4.301183  0.330  0.007  0.237  0.007  0.000  0.038  0.177  0.038  0.000  0.834
   3.33215     -4.396183  0.341  0.004  0.252  0.004  0.000  0.021  0.185  0.021  0.000  0.829
   3.41700     -4.466135  0.349  0.002  0.263  0.002  0.000  0.010  0.192  0.010  0.000  0.826
   3.50185     -4.508940  0.353  0.000  0.270  0.000  0.000  0.002  0.195  0.002  0.000  0.825
   3.58670     -4.523325  0.355  0.000  0.272  0.000  0.000  0.000  0.197  0.000  0.000  0.824
   3.58670     -4.523325  0.355  0.000  0.272  0.000  0.000  0.000  0.196  0.000  0.000  0.824
   3.64670     -4.830191  0.404  0.000  0.264  0.000  0.000  0.000  0.152  0.000  0.000  0.820
   3.70670     -5.155734  0.450  0.000  0.250  0.000  0.000  0.000  0.116  0.000  0.000  0.818
   3.76670     -5.492453  0.494  0.000  0.234  0.000  0.000  0.000  0.088  0.000  0.000  0.816
   3.82670     -5.833478  0.534  0.000  0.216  0.000  0.000  0.000  0.066  0.000  0.000  0.814
   3.88670     -6.172773  0.570  0.000  0.194  0.000  0.000  0.000  0.048  0.000  0.000  0.812
   3.94670     -6.505155  0.604  0.000  0.174  0.000  0.000  0.000  0.034  0.000  0.000  0.812
   4.00670     -6.826233  0.636  0.000  0.152  0.000  0.000  0.000  0.024  0.000  0.000  0.812
   4.06670     -7.132327  0.664  0.000  0.130  0.000  0.000  0.000  0.016  0.000  0.000  0.812
   4.12670     -7.420285  0.690  0.000  0.110  0.000  0.000  0.000  0.010  0.000  0.000  0.810
   4.18670     -7.687505  0.712  0.000  0.090  0.000  0.000  0.000  0.008  0.000  0.000  0.810
   4.24669     -7.931781  0.732  0.000  0.072  0.000  0.000  0.000  0.004  0.000  0.000  0.810
   4.30669     -8.151258  0.750  0.000  0.056  0.000  0.000  0.000  0.002  0.000  0.000  0.810
   4.36669     -8.344379  0.766  0.000  0.042  0.000  0.000  0.000  0.002  0.000  0.000  0.810
   4.42669     -8.509866  0.780  0.000  0.030  0.000  0.000  0.000  0.000  0.000  0.000  0.810
   4.48669     -8.646617  0.790  0.000  0.018  0.000  0.000  0.000  0.000  0.000  0.000  0.810
   4.54669     -8.753824  0.798  0.000  0.010  0.000  0.000  0.000  0.000  0.000  0.000  0.810
   4.60669     -8.830860  0.804  0.000  0.004  0.000  0.000  0.000  0.000  0.000  0.000  0.810
   4.66669     -8.877264  0.808  0.000  0.002  0.000  0.000  0.000  0.000  0.000  0.000  0.810
   4.72669     -8.892761  0.810  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.810
   4.72669     -8.892761  0.810  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.810
   4.77865     -8.881137  0.808  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.810
   4.83061     -8.846321  0.806  0.002  0.002  0.002  0.000  0.000  0.000  0.000  0.000  0.810
   4.88257     -8.788481  0.802  0.002  0.002  0.002  0.000  0.000  0.000  0.000  0.000  0.810
   4.93453     -8.707914  0.796  0.004  0.004  0.004  0.000  0.000  0.000  0.000  0.000  0.810
   4.98649     -8.605006  0.788  0.008  0.008  0.008  0.000  0.000  0.000  0.000  0.000  0.810
   5.03845     -8.480217  0.778  0.010  0.010  0.010  0.000  0.000  0.000  0.000  0.000  0.810
