#K-Path          Energy     s     py     pz     px    dxy    dyz    dz2    dxz  x2-y2    tot
# NKPTS & NBANDS: 120 128
# Band-Index    1
   0.00000     -9.081308  0.806  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.806
   0.10392     -9.035052  0.802  0.002  0.002  0.002  0.000  0.000  0.000  0.000  0.000  0.806
   0.20784     -8.897285  0.792  0.004  0.004  0.004  0.000  0.000  0.000  0.000  0.000  0.806
   0.31177     -8.670978  0.774  0.010  0.010  0.010  0.000  0.000  0.000  0.000  0.000  0.808
   0.41569     -8.361105  0.750  0.018  0.018  0.018  0.002  0.002  0.000  0.002  0.000  0.808
   0.51961     -7.974740  0.718  0.028  0.028  0.028  0.004  0.004  0.000  0.004  0.000  0.810
   0.62353     -7.521234  0.680  0.038  0.038  0.038  0.006  0.006  0.000  0.006  0.000  0.812
   0.72745     -7.012472  0.634  0.048  0.048  0.048  0.012  0.012  0.000  0.012  0.000  0.814
   0.83138     -6.463272  0.580  0.058  0.058  0.058  0.020  0.020  0.000  0.020  0.000  0.818
   0.93530     -5.891908  0.520  0.068  0.068  0.068  0.034  0.034  0.000  0.034  0.000  0.824
   1.03922     -5.320408  0.450  0.076  0.076  0.076  0.050  0.050  0.000  0.050  0.000  0.832
   1.14314     -4.774306  0.376  0.082  0.082  0.082  0.074  0.074  0.000  0.074  0.000  0.842
   1.24706     -4.280996  0.300  0.084  0.084  0.084  0.100  0.100  0.000  0.100  0.000  0.854
   1.35098     -3.965072  0.056  0.002  0.002  0.002  0.296  0.296  0.000  0.296  0.000  0.954
   1.45491     -4.005990  0.048  0.008  0.008  0.008  0.294  0.294  0.000  0.294  0.000  0.954
   1.55883     -3.976836  0.036  0.014  0.014  0.014  0.292  0.292  0.000  0.292  0.000  0.952
   1.66275     -3.888956  0.024  0.020  0.020  0.020  0.288  0.288  0.000  0.288  0.000  0.950
   1.76667     -3.757950  0.012  0.030  0.030  0.030  0.282  0.282  0.000  0.282  0.000  0.948
   1.87059     -3.603551  0.004  0.038  0.038  0.038  0.276  0.276  0.000  0.276  0.000  0.944
   1.97452     -3.449130  0.000  0.017  0.070  0.055  0.393  0.308  0.000  0.095  0.000  0.938
   1.97452     -3.449130  0.000  0.035  0.076  0.031  0.423  0.177  0.000  0.198  0.000  0.938
   2.05937     -3.552652  0.002  0.035  0.053  0.035  0.358  0.230  0.001  0.230  0.000  0.942
   2.14422     -3.655410  0.006  0.035  0.035  0.035  0.317  0.257  0.004  0.257  0.000  0.945
   2.22907     -3.755760  0.014  0.034  0.020  0.034  0.275  0.281  0.008  0.281  0.000  0.947
   2.31392     -3.852810  0.026  0.032  0.009  0.032  0.235  0.299  0.015  0.299  0.000  0.947
   2.39878     -3.946486  0.042  0.031  0.002  0.031  0.195  0.311  0.023  0.311  0.000  0.945
   2.48363     -4.037548  0.061  0.029  0.000  0.029  0.156  0.315  0.036  0.315  0.000  0.940
   2.56848     -4.127515  0.084  0.028  0.005  0.028  0.120  0.308  0.053  0.308  0.000  0.934
   2.65333     -4.218387  0.111  0.025  0.019  0.025  0.087  0.293  0.074  0.293  0.000  0.926
   2.73818     -4.312114  0.140  0.023  0.039  0.023  0.059  0.266  0.099  0.266  0.000  0.914
