#K-Path          Energy     s     py     pz     px    dxy    dyz    dz2    dxz  x2-y2    tot
# NKPTS & NBANDS: 120  64
# Band-Index    1
   0.00000    -12.491092  0.424  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.424
   0.04067    -12.486356  0.424  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.424
   0.08133    -12.472166  0.424  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.424
   0.12200    -12.448582  0.424  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.428
   0.16266    -12.415701  0.428  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.428
   0.20333    -12.373665  0.428  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.428
   0.24399    -12.322661  0.432  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.432
   0.28466    -12.262928  0.432  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.436
   0.32533    -12.194763  0.436  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.436
   0.36599    -12.118526  0.440  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.440
   0.40666    -12.034650  0.444  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.444
   0.44732    -11.943655  0.448  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.452
   0.48799    -11.846154  0.452  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.456
   0.52866    -11.742871  0.460  0.000  0.004  0.004  0.000  0.000  0.000  0.000  0.000  0.464
   0.56932    -11.634655  0.464  0.000  0.004  0.004  0.000  0.000  0.000  0.000  0.000  0.468
   0.60999    -11.522493  0.472  0.000  0.004  0.004  0.000  0.000  0.000  0.000  0.000  0.476
   0.65065    -11.407524  0.480  0.000  0.004  0.004  0.000  0.000  0.000  0.000  0.000  0.488
   0.69132    -11.291051  0.492  0.000  0.004  0.004  0.000  0.000  0.000  0.000  0.000  0.496
   0.73198    -11.174540  0.500  0.000  0.004  0.004  0.000  0.000  0.000  0.000  0.000  0.504
   0.77265    -11.059611  0.511  0.000  0.002  0.002  0.000  0.000  0.000  0.000  0.000  0.515
   0.77265    -11.059611  0.511  0.000  0.002  0.002  0.000  0.000  0.000  0.000  0.000  0.516
   0.79026    -11.087933  0.508  0.000  0.004  0.004  0.000  0.000  0.000  0.000  0.000  0.512
   0.80787    -11.116023  0.504  0.000  0.004  0.004  0.000  0.000  0.000  0.000  0.000  0.512
   0.82548    -11.143745  0.504  0.000  0.004  0.004  0.000  0.000  0.000  0.000  0.000  0.508
   0.84309    -11.170977  0.500  0.000  0.004  0.004  0.000  0.000  0.000  0.000  0.000  0.504
   0.86069    -11.197603  0.500  0.000  0.004  0.004  0.000  0.000  0.000  0.000  0.000  0.504
   0.87830    -11.223521  0.496  0.000  0.004  0.004  0.000  0.000  0.000  0.000  0.000  0.500
   0.89591    -11.248633  0.496  0.000  0.004  0.004  0.000  0.000  0.000  0.000  0.000  0.500
   0.91352    -11.272854  0.492  0.000  0.004  0.004  0.000  0.000  0.000  0.000  0.000  0.496
   0.93113    -11.296103  0.492  0.000  0.004  0.004  0.000  0.000  0.000  0.000  0.000  0.496
   0.94874    -11.318307  0.488  0.000  0.004  0.004  0.000  0.000  0.000  0.000  0.000  0.492
   0.96635    -11.339401  0.488  0.000  0.004  0.004  0.000  0.000  0.000  0.000  0.000  0.492
   0.98396    -11.359325  0.484  0.000  0.004  0.004  0.000  0.000  0.000  0.000  0.000  0.492
   1.00157    -11.378024  0.484  0.000  0.004  0.004  0.000  0.000  0.000  0.000  0.000  0.488
   1.01917    -11.395448  0.484  0.000  0.004  0.004  0.000  0.000  0.000  0.000  0.000  0.488
