#K-Path          Energy     s     py     pz     px    dxy    dyz    dz2    dxz  x2-y2    tot
# NKPTS & NBANDS: 120 128
# Band-Index    1
   0.00000    -12.350891  0.424  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.424
   0.04058    -12.346193  0.424  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.424
   0.08116    -12.332118  0.424  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.424
   0.12174    -12.308724  0.428  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.428
   0.16232    -12.276110  0.428  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.428
   0.20290    -12.234419  0.428  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.432
   0.24348    -12.183837  0.432  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.432
   0.28406    -12.124605  0.432  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.436
   0.32464    -12.057020  0.436  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.440
   0.36522    -11.981442  0.440  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.444
   0.40581    -11.898307  0.444  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.448
   0.44639    -11.808131  0.448  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.452
   0.48697    -11.711531  0.452  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.456
   0.52755    -11.609228  0.460  0.000  0.004  0.004  0.000  0.000  0.000  0.000  0.000  0.464
   0.56813    -11.502069  0.464  0.000  0.004  0.004  0.000  0.000  0.000  0.000  0.000  0.472
   0.60871    -11.391038  0.472  0.000  0.004  0.004  0.000  0.000  0.000  0.000  0.000  0.480
   0.64929    -11.277270  0.480  0.000  0.004  0.004  0.000  0.000  0.000  0.000  0.000  0.488
   0.68987    -11.162059  0.492  0.000  0.004  0.004  0.000  0.000  0.000  0.000  0.000  0.496
   0.73045    -11.046860  0.500  0.000  0.004  0.004  0.000  0.000  0.000  0.000  0.000  0.508
   0.77103    -10.933277  0.512  0.000  0.001  0.001  0.000  0.000  0.000  0.000  0.000  0.517
   0.77103    -10.933277  0.512  0.000  0.002  0.002  0.000  0.000  0.000  0.000  0.000  0.517
   0.78860    -10.961265  0.508  0.000  0.004  0.004  0.000  0.000  0.000  0.000  0.000  0.516
   0.80617    -10.989027  0.508  0.000  0.004  0.004  0.000  0.000  0.000  0.000  0.000  0.512
   0.82375    -11.016432  0.504  0.000  0.004  0.004  0.000  0.000  0.000  0.000  0.000  0.508
   0.84132    -11.043357  0.500  0.000  0.004  0.004  0.000  0.000  0.000  0.000  0.000  0.508
   0.85889    -11.069687  0.500  0.000  0.004  0.004  0.000  0.000  0.000  0.000  0.000  0.504
   0.87646    -11.095321  0.496  0.000  0.004  0.004  0.000  0.000  0.000  0.000  0.000  0.504
   0.89403    -11.120162  0.496  0.000  0.004  0.004  0.000  0.000  0.000  0.000  0.000  0.500
   0.91161    -11.144125  0.492  0.000  0.004  0.004  0.000  0.000  0.000  0.000  0.000  0.500
   0.92918    -11.167129  0.492  0.000  0.004  0.004  0.000  0.000  0.000  0.000  0.000  0.496
   0.94675    -11.189102  0.488  0.000  0.004  0.004  0.000  0.000  0.000  0.000  0.000  0.496
   0.96432    -11.209979  0.488  0.000  0.004  0.004  0.000  0.000  0.000  0.000  0.000  0.492
   0.98189    -11.229700  0.488  0.000  0.004  0.004  0.000  0.000  0.000  0.000  0.000  0.492
   0.99946    -11.248210  0.484  0.000  0.004  0.004  0.000  0.000  0.000  0.000  0.000  0.492
   1.01704    -11.265460  0.484  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.488
   1.03461    -11.281405  0.484  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.488
   1.05218    -11.296007  0.484  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.488
   1.06975    -11.309227  0.480  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.484
   1.08732    -11.321035  0.480  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.484
   1.10490    -11.331403  0.480  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.484
   1.10490    -11.331403  0.480  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.484
   1.15761    -11.353622  0.480  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.484
   1.21033    -11.362144  0.476  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.484
   1.26304    -11.356672  0.480  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.484
   1.31576    -11.337109  0.480  0.000  0.004  0.000  0.000  0.000  0.000  0.000  0.000  0.484
   1.36847    -11.303547  0.480  0.000  0.004  0.000  0.000  0.000  0.000  0.000  0.000  0.488
   1.42119    -11.256275  0.484  0.000  0.004  0.000  0.000  0.000  0.000  0.000  0.000  0.488
   1.47391    -11.332941  0.480  0.000  0.004  0.000  0.000  0.000  0.000  0.000  0.000  0.484
   1.52662    -11.475006  0.468  0.000  0.004  0.000  0.000  0.000  0.000  0.000  0.000  0.472
   1.57934    -11.612714  0.460  0.000  0.004  0.000  0.000  0.000  0.000  0.000  0.000  0.464
   1.63205    -11.743223  0.452  0.000  0.004  0.000  0.000  0.000  0.000  0.000  0.000  0.456
   1.68477    -11.864309  0.444  0.000  0.004  0.000  0.000  0.000  0.000  0.000  0.000  0.448
   1.73748    -11.974244  0.440  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.444
   1.79020    -12.071685  0.436  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.436
   1.84292    -12.155600  0.432  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.432
   1.89563    -12.225199  0.428  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.432
   1.94835    -12.279889  0.428  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.428
   2.00106    -12.319241  0.428  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.428
   2.05378    -12.342965  0.424  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.424
   2.10649    -12.350891  0.424  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.424
   2.10649    -12.350891  0.424  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.424
   2.15619    -12.343845  0.424  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.424
   2.20590    -12.322757  0.424  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.428
   2.25560    -12.287776  0.428  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.428
   2.30530    -12.239158  0.428  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.428
   2.35500    -12.177283  0.432  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.432
   2.40470    -12.102679  0.436  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.436
   2.45440    -12.016050  0.440  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.440
   2.50410    -11.918321  0.444  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.444
   2.55380    -11.810699  0.448  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.452
   2.60350    -11.694752  0.456  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.460
   2.65320    -11.572511  0.464  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.468
   2.70290    -11.446596  0.472  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.476
   2.75260    -11.320357  0.480  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.484
   2.80231    -11.198019  0.492  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.496
   2.85201    -11.084758  0.504  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.508
   2.90171    -10.986604  0.516  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.516
   2.95141    -10.910033  0.524  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.524
   3.00111    -10.861105  0.528  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.532
   3.05081    -10.844249  0.533  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.534
   3.05081    -10.844249  0.532  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.534
   3.07110    -10.845824  0.532  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.534
   3.09139    -10.850526  0.530  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.534
   3.11168    -10.858286  0.530  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.532
   3.13197    -10.868994  0.528  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.530
   3.15226    -10.882500  0.526  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.530
   3.17255    -10.898622  0.524  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.526
   3.19284    -10.917148  0.522  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.524
   3.21313    -10.937848  0.520  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.522
   3.23342    -10.960474  0.516  0.000  0.000  0.002  0.000  0.000  0.000  0.000  0.000  0.518
   3.25371    -10.984772  0.514  0.000  0.000  0.002  0.000  0.000  0.000  0.000  0.000  0.516
   3.27400    -11.010481  0.510  0.000  0.000  0.002  0.000  0.000  0.000  0.000  0.000  0.514
   3.29429    -11.037343  0.508  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.510
   3.31458    -11.065104  0.502  0.000  0.000  0.002  0.000  0.000  0.000  0.000  0.000  0.506
   3.33487    -11.093519  0.500  0.000  0.000  0.002  0.000  0.000  0.000  0.000  0.000  0.506
   3.35516    -11.122349  0.498  0.000  0.000  0.004  0.000  0.000  0.000  0.000  0.000  0.502
   3.37545    -11.151373  0.494  0.000  0.000  0.002  0.000  0.000  0.000  0.000  0.000  0.500
   3.39574    -11.180377  0.492  0.000  0.000  0.002  0.000  0.000  0.000  0.000  0.000  0.496
   3.41603    -11.209165  0.488  0.000  0.000  0.002  0.000  0.000  0.000  0.000  0.000  0.494
   3.43632    -11.237551  0.486  0.000  0.000  0.004  0.000  0.000  0.000  0.000  0.000  0.492
   3.43632    -11.237551  0.486  0.000  0.000  0.002  0.000  0.000  0.000  0.000  0.000  0.492
   3.45662    -11.236612  0.486  0.000  0.000  0.004  0.000  0.000  0.000  0.000  0.000  0.490
   3.47691    -11.233799  0.486  0.000  0.000  0.002  0.000  0.000  0.000  0.000  0.000  0.492
