#K-Path          Energy     s     py     pz     px    dxy    dyz    dz2    dxz  x2-y2    tot
# NKPTS & NBANDS: 120 128
# Band-Index    1
   0.00000    -12.350922  0.424  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.424
   0.04058    -12.346224  0.424  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.424
   0.08116    -12.332149  0.424  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.424
   0.12174    -12.308755  0.428  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.428
   0.16232    -12.276142  0.428  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.428
   0.20290    -12.234450  0.428  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.432
   0.24348    -12.183869  0.432  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.432
   0.28406    -12.124637  0.432  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.436
   0.32464    -12.057052  0.436  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.440
   0.36522    -11.981475  0.440  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.444
   0.40581    -11.898339  0.444  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.448
   0.44639    -11.808164  0.448  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.452
   0.48697    -11.711564  0.452  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.456
   0.52755    -11.609261  0.460  0.000  0.004  0.004  0.000  0.000  0.000  0.000  0.000  0.464
   0.56813    -11.502103  0.464  0.000  0.004  0.004  0.000  0.000  0.000  0.000  0.000  0.472
   0.60871    -11.391073  0.472  0.000  0.004  0.004  0.000  0.000  0.000  0.000  0.000  0.480
   0.64929    -11.277305  0.480  0.000  0.004  0.004  0.000  0.000  0.000  0.000  0.000  0.488
   0.68987    -11.162095  0.492  0.000  0.004  0.004  0.000  0.000  0.000  0.000  0.000  0.496
   0.73045    -11.046897  0.500  0.000  0.004  0.004  0.000  0.000  0.000  0.000  0.000  0.508
   0.77103    -10.933315  0.512  0.000  0.002  0.002  0.000  0.000  0.000  0.000  0.000  0.517
   0.77103    -10.933315  0.512  0.000  0.002  0.002  0.000  0.000  0.000  0.000  0.000  0.517
   0.78860    -10.961301  0.508  0.000  0.004  0.004  0.000  0.000  0.000  0.000  0.000  0.516
   0.80617    -10.989064  0.508  0.000  0.004  0.004  0.000  0.000  0.000  0.000  0.000  0.512
   0.82375    -11.016469  0.504  0.000  0.004  0.004  0.000  0.000  0.000  0.000  0.000  0.508
   0.84132    -11.043393  0.500  0.000  0.004  0.004  0.000  0.000  0.000  0.000  0.000  0.508
   0.85889    -11.069724  0.500  0.000  0.004  0.004  0.000  0.000  0.000  0.000  0.000  0.504
