#K-Path          Energy     s     py     pz     px    dxy    dyz    dz2    dxz  x2-y2    tot
# NKPTS & NBANDS: 120  64
# Band-Index    1
   0.00000    -12.491092  0.236  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.236
   0.04067    -12.486356  0.236  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.236
   0.08133    -12.472166  0.236  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.236
   0.12200    -12.448582  0.236  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.236
   0.16266    -12.415701  0.232  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.236
   0.20333    -12.373665  0.232  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.236
   0.24399    -12.322661  0.228  0.000  0.004  0.004  0.000  0.000  0.000  0.000  0.000  0.232
   0.28466    -12.262928  0.224  0.000  0.004  0.004  0.000  0.000  0.000  0.000  0.000  0.232
   0.32533    -12.194763  0.220  0.000  0.004  0.004  0.000  0.000  0.000  0.000  0.000  0.232
   0.36599    -12.118526  0.216  0.000  0.004  0.004  0.000  0.000  0.000  0.000  0.000  0.228
   0.40666    -12.034650  0.208  0.000  0.008  0.008  0.000  0.000  0.000  0.000  0.000  0.224
   0.44732    -11.943655  0.204  0.000  0.008  0.008  0.000  0.000  0.000  0.000  0.000  0.224
   0.48799    -11.846154  0.196  0.000  0.008  0.008  0.000  0.000  0.000  0.000  0.000  0.220
   0.52866    -11.742871  0.188  0.004  0.012  0.012  0.000  0.000  0.000  0.000  0.000  0.216
   0.56932    -11.634655  0.180  0.004  0.012  0.012  0.000  0.000  0.000  0.000  0.000  0.212
   0.60999    -11.522493  0.172  0.004  0.012  0.012  0.000  0.000  0.000  0.000  0.000  0.208
   0.65065    -11.407524  0.160  0.004  0.016  0.016  0.004  0.004  0.000  0.000  0.000  0.200
   0.69132    -11.291051  0.148  0.008  0.016  0.016  0.004  0.004  0.000  0.000  0.000  0.196
   0.73198    -11.174540  0.136  0.008  0.016  0.016  0.004  0.004  0.000  0.004  0.000  0.188
   0.77265    -11.059611  0.125  0.011  0.017  0.017  0.002  0.002  0.000  0.002  0.000  0.180
