#K-Path(1/A)         Spin-Up(eV)   Spin-down(eV)
# NKPTS & NBANDS: 120 128
# Band-Index    1
   0.00000    -12.286684    -12.286521
   0.04044    -12.281380    -12.281217
   0.08087    -12.265478    -12.265315
   0.12131    -12.239010    -12.238847
   0.16175    -12.202030    -12.201866
   0.20218    -12.154616    -12.154451
   0.24262    -12.096869    -12.096703
   0.28305    -12.028923    -12.028757
   0.32349    -11.950937    -11.950770
   0.36393    -11.863115    -11.862946
   0.40436    -11.765693    -11.765523
   0.44480    -11.658962    -11.658790
   0.48524    -11.543264    -11.543091
   0.52567    -11.419011    -11.418836
   0.56611    -11.286681    -11.286504
   0.60655    -11.146859    -11.146680
   0.64698    -11.000219    -11.000037
   0.68742    -10.847560    -10.847375
   0.72786    -10.689826    -10.689638
   0.76829    -10.528120    -10.527929
   0.76829    -10.528120    -10.527929
   0.78580    -10.568566    -10.568376
   0.80331    -10.608166    -10.607977
   0.82082    -10.646780    -10.646591
   0.83833    -10.684291    -10.684103
   0.85584    -10.720595    -10.720408
   0.87335    -10.755597    -10.755410
   0.89086    -10.789217    -10.789030
   0.90837    -10.821383    -10.821196
   0.92588    -10.852029    -10.851844
   0.94339    -10.881103    -10.880918
   0.96090    -10.908551    -10.908366
   0.97841    -10.934330    -10.934146
   0.99591    -10.958399    -10.958215
   1.01342    -10.980723    -10.980539
   1.03093    -11.001270    -11.001086
   1.04844    -11.020013    -11.019829
   1.06595    -11.036925    -11.036742
   1.08346    -11.051985    -11.051802
   1.10097    -11.065172    -11.064989
   1.10097    -11.065172    -11.064989
   1.15350    -11.093325    -11.093143
   1.20603    -11.104086    -11.103904
   1.25856    -11.097182    -11.097000
   1.31109    -11.072442    -11.072260
   1.36361    -11.029765    -11.029582
   1.41614    -10.969114    -10.968931
   1.46867    -11.070249    -11.070067
   1.52120    -11.251673    -11.251495
   1.57373    -11.422645    -11.422470
   1.62626    -11.581076    -11.580903
   1.67878    -11.725448    -11.725277
   1.73131    -11.854655    -11.854486
   1.78384    -11.967879    -11.967712
   1.83637    -12.064516    -12.064350
   1.88890    -12.144107    -12.143942
   1.94143    -12.206319    -12.206155
   1.99395    -12.250916    -12.250752
   2.04648    -12.277735    -12.277571
   2.09901    -12.286684    -12.286521
   2.09901    -12.286684    -12.286521
   2.14854    -12.278729    -12.278566
   2.19806    -12.254893    -12.254729
   2.24758    -12.215264    -12.215100
