#K-Path          Energy     s     py     pz     px    dxy    dyz    dz2    dxz  x2-y2    tot
# NKPTS & NBANDS: 120 128
# Band-Index    1
   0.00000    -12.286521  0.608  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.608
   0.04044    -12.281217  0.608  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.608
   0.08087    -12.265315  0.608  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.608
   0.12131    -12.238847  0.608  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.608
   0.16175    -12.201866  0.608  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.608
   0.20218    -12.154451  0.608  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.608
   0.24262    -12.096703  0.608  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.608
   0.28305    -12.028757  0.608  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.608
   0.32349    -11.950770  0.600  0.000  0.008  0.008  0.000  0.000  0.000  0.000  0.000  0.616
   0.36393    -11.862946  0.600  0.000  0.008  0.008  0.000  0.000  0.000  0.000  0.000  0.616
   0.40436    -11.765523  0.600  0.000  0.008  0.008  0.000  0.000  0.000  0.000  0.000  0.616
   0.44480    -11.658790  0.600  0.000  0.008  0.008  0.000  0.000  0.000  0.000  0.000  0.616
   0.48524    -11.543091  0.600  0.000  0.008  0.008  0.000  0.000  0.000  0.000  0.000  0.624
   0.52567    -11.418836  0.600  0.000  0.008  0.008  0.000  0.000  0.000  0.000  0.000  0.624
   0.56611    -11.286504  0.600  0.000  0.008  0.008  0.000  0.000  0.000  0.000  0.000  0.624
   0.60655    -11.146680  0.600  0.000  0.016  0.016  0.000  0.000  0.000  0.000  0.000  0.632
   0.64698    -11.000037  0.600  0.000  0.016  0.016  0.000  0.000  0.000  0.000  0.000  0.632
   0.68742    -10.847375  0.600  0.008  0.016  0.016  0.000  0.000  0.000  0.000  0.000  0.640
   0.72786    -10.689638  0.600  0.008  0.016  0.016  0.000  0.000  0.000  0.000  0.000  0.640
   0.76829    -10.527929  0.600  0.007  0.017  0.017  0.000  0.000  0.000  0.001  0.000  0.643
   0.76829    -10.527929  0.599  0.007  0.016  0.016  0.000  0.000  0.000  0.001  0.000  0.643
   0.78580    -10.568376  0.600  0.008  0.016  0.016  0.000  0.000  0.000  0.000  0.000  0.640
   0.80331    -10.607977  0.600  0.008  0.016  0.016  0.000  0.000  0.000  0.000  0.000  0.640
   0.82082    -10.646591  0.600  0.008  0.016  0.016  0.000  0.000  0.000  0.000  0.000  0.640
   0.83833    -10.684103  0.600  0.008  0.016  0.016  0.000  0.000  0.000  0.000  0.000  0.640
   0.85584    -10.720408  0.600  0.008  0.016  0.016  0.000  0.000  0.000  0.000  0.000  0.640
   0.87335    -10.755410  0.600  0.008  0.016  0.016  0.000  0.000  0.000  0.000  0.000  0.640
   0.89086    -10.789030  0.600  0.008  0.016  0.016  0.000  0.000  0.000  0.000  0.000  0.640
   0.90837    -10.821196  0.600  0.008  0.016  0.016  0.000  0.000  0.000  0.000  0.000  0.640
   0.92588    -10.851844  0.600  0.008  0.016  0.016  0.000  0.000  0.000  0.000  0.000  0.640
   0.94339    -10.880918  0.600  0.008  0.016  0.016  0.000  0.000  0.000  0.000  0.000  0.640
   0.96090    -10.908366  0.600  0.008  0.016  0.016  0.000  0.000  0.000  0.000  0.000  0.632
   0.97841    -10.934146  0.600  0.008  0.016  0.016  0.000  0.000  0.000  0.000  0.000  0.632
   0.99591    -10.958215  0.600  0.008  0.016  0.016  0.000  0.000  0.000  0.000  0.000  0.632
   1.01342    -10.980539  0.600  0.008  0.016  0.016  0.000  0.000  0.000  0.000  0.000  0.632
   1.03093    -11.001086  0.600  0.008  0.016  0.016  0.000  0.000  0.000  0.000  0.000  0.632
   1.04844    -11.019829  0.600  0.008  0.016  0.016  0.000  0.000  0.000  0.000  0.000  0.632
   1.06595    -11.036742  0.600  0.008  0.008  0.008  0.000  0.000  0.000  0.000  0.000  0.632
   1.08346    -11.051802  0.600  0.008  0.008  0.008  0.000  0.000  0.000  0.000  0.000  0.632
   1.10097    -11.064989  0.600  0.008  0.008  0.008  0.000  0.000  0.000  0.000  0.000  0.632
   1.10097    -11.064989  0.600  0.008  0.008  0.008  0.000  0.000  0.000  0.000  0.000  0.632
   1.15350    -11.093143  0.600  0.008  0.008  0.008  0.000  0.000  0.000  0.000  0.000  0.632
   1.20603    -11.103904  0.600  0.008  0.008  0.008  0.000  0.000  0.000  0.000  0.000  0.632
   1.25856    -11.097000  0.600  0.008  0.008  0.008  0.000  0.000  0.000  0.000  0.000  0.632
   1.31109    -11.072260  0.600  0.008  0.016  0.008  0.000  0.000  0.000  0.000  0.000  0.632
   1.36361    -11.029582  0.600  0.008  0.016  0.008  0.000  0.000  0.000  0.000  0.000  0.632
   1.41614    -10.968931  0.600  0.008  0.024  0.008  0.000  0.000  0.000  0.000  0.000  0.632
   1.46867    -11.070067  0.600  0.008  0.016  0.008  0.000  0.000  0.000  0.000  0.000  0.632
   1.52120    -11.251495  0.600  0.008  0.016  0.008  0.000  0.000  0.000  0.000  0.000  0.624
   1.57373    -11.422470  0.600  0.000  0.016  0.000  0.000  0.000  0.000  0.000  0.000  0.624
   1.62626    -11.580903  0.600  0.000  0.016  0.000  0.000  0.000  0.000  0.000  0.000  0.624
   1.67878    -11.725277  0.600  0.000  0.008  0.000  0.000  0.000  0.000  0.000  0.000  0.616
   1.73131    -11.854486  0.600  0.000  0.008  0.000  0.000  0.000  0.000  0.000  0.000  0.616
   1.78384    -11.967712  0.600  0.000  0.008  0.000  0.000  0.000  0.000  0.000  0.000  0.616
   1.83637    -12.064350  0.608  0.000  0.008  0.000  0.000  0.000  0.000  0.000  0.000  0.608
   1.88890    -12.143942  0.608  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.608
   1.94143    -12.206155  0.608  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.608
   1.99395    -12.250752  0.608  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.608
   2.04648    -12.277571  0.608  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.608
   2.09901    -12.286521  0.608  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.608
   2.09901    -12.286521  0.608  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.608
   2.14854    -12.278566  0.608  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.608
   2.19806    -12.254729  0.608  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.608
   2.24758    -12.215100  0.608  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.608
   2.29711    -12.159832  0.608  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.608
