#K-Path          Energy     s     py     pz     px    dxy    dyz    dz2    dxz  x2-y2    tot
# NKPTS & NBANDS: 120 128
# Band-Index    1
   0.00000    -12.286684  0.608  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.608
   0.04044    -12.281380  0.608  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.608
   0.08087    -12.265478  0.608  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.608
   0.12131    -12.239010  0.608  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.608
   0.16175    -12.202030  0.608  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.608
   0.20218    -12.154616  0.608  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.608
   0.24262    -12.096869  0.608  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.608
   0.28305    -12.028923  0.608  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.608
   0.32349    -11.950937  0.600  0.000  0.008  0.008  0.000  0.000  0.000  0.000  0.000  0.616
   0.36393    -11.863115  0.600  0.000  0.008  0.008  0.000  0.000  0.000  0.000  0.000  0.616
   0.40436    -11.765693  0.600  0.000  0.008  0.008  0.000  0.000  0.000  0.000  0.000  0.616
   0.44480    -11.658962  0.600  0.000  0.008  0.008  0.000  0.000  0.000  0.000  0.000  0.616
   0.48524    -11.543264  0.600  0.000  0.008  0.008  0.000  0.000  0.000  0.000  0.000  0.624
   0.52567    -11.419011  0.600  0.000  0.008  0.008  0.000  0.000  0.000  0.000  0.000  0.624
   0.56611    -11.286681  0.600  0.000  0.008  0.008  0.000  0.000  0.000  0.000  0.000  0.624
   0.60655    -11.146859  0.600  0.000  0.016  0.016  0.000  0.000  0.000  0.000  0.000  0.632
   0.64698    -11.000219  0.600  0.000  0.016  0.016  0.000  0.000  0.000  0.000  0.000  0.632
   0.68742    -10.847560  0.600  0.008  0.016  0.016  0.000  0.000  0.000  0.000  0.000  0.640
   0.72786    -10.689826  0.600  0.008  0.016  0.016  0.000  0.000  0.000  0.000  0.000  0.640
   0.76829    -10.528120  0.600  0.007  0.017  0.017  0.000  0.000  0.000  0.000  0.000  0.643
   0.76829    -10.528120  0.598  0.008  0.017  0.017  0.000  0.000  0.000  0.001  0.000  0.645
   0.78580    -10.568566  0.600  0.008  0.016  0.016  0.000  0.000  0.000  0.000  0.000  0.640
   0.80331    -10.608166  0.600  0.008  0.016  0.016  0.000  0.000  0.000  0.000  0.000  0.640
   0.82082    -10.646780  0.600  0.008  0.016  0.016  0.000  0.000  0.000  0.000  0.000  0.640
   0.83833    -10.684291  0.600  0.008  0.016  0.016  0.000  0.000  0.000  0.000  0.000  0.640
   0.85584    -10.720595  0.600  0.008  0.016  0.016  0.000  0.000  0.000  0.000  0.000  0.640
   0.87335    -10.755597  0.600  0.008  0.016  0.016  0.000  0.000  0.000  0.000  0.000  0.640
   0.89086    -10.789217  0.600  0.008  0.016  0.016  0.000  0.000  0.000  0.000  0.000  0.640
   0.90837    -10.821383  0.600  0.008  0.016  0.016  0.000  0.000  0.000  0.000  0.000  0.640
   0.92588    -10.852029  0.600  0.008  0.016  0.016  0.000  0.000  0.000  0.000  0.000  0.640
   0.94339    -10.881103  0.600  0.008  0.016  0.016  0.000  0.000  0.000  0.000  0.000  0.640
   0.96090    -10.908551  0.600  0.008  0.016  0.016  0.000  0.000  0.000  0.000  0.000  0.632
   0.97841    -10.934330  0.600  0.008  0.016  0.016  0.000  0.000  0.000  0.000  0.000  0.632
   0.99591    -10.958399  0.600  0.008  0.016  0.016  0.000  0.000  0.000  0.000  0.000  0.632
   1.01342    -10.980723  0.600  0.008  0.016  0.016  0.000  0.000  0.000  0.000  0.000  0.632
   1.03093    -11.001270  0.600  0.008  0.016  0.016  0.000  0.000  0.000  0.000  0.000  0.632
   1.04844    -11.020013  0.600  0.008  0.016  0.016  0.000  0.000  0.000  0.000  0.000  0.632
   1.06595    -11.036925  0.600  0.008  0.008  0.008  0.000  0.000  0.000  0.000  0.000  0.632
   1.08346    -11.051985  0.600  0.008  0.008  0.008  0.000  0.000  0.000  0.000  0.000  0.632
   1.10097    -11.065172  0.600  0.008  0.008  0.008  0.000  0.000  0.000  0.000  0.000  0.632
   1.10097    -11.065172  0.600  0.008  0.008  0.008  0.000  0.000  0.000  0.000  0.000  0.632
   1.15350    -11.093325  0.600  0.008  0.008  0.008  0.000  0.000  0.000  0.000  0.000  0.632
   1.20603    -11.104086  0.600  0.008  0.008  0.008  0.000  0.000  0.000  0.000  0.000  0.632
   1.25856    -11.097182  0.600  0.008  0.008  0.008  0.000  0.000  0.000  0.000  0.000  0.632
   1.31109    -11.072442  0.600  0.008  0.016  0.008  0.000  0.000  0.000  0.000  0.000  0.632
   1.36361    -11.029765  0.600  0.008  0.016  0.008  0.000  0.000  0.000  0.000  0.000  0.632
   1.41614    -10.969114  0.600  0.008  0.024  0.008  0.000  0.000  0.000  0.000  0.000  0.632
   1.46867    -11.070249  0.600  0.008  0.016  0.008  0.000  0.000  0.000  0.000  0.000  0.632
   1.52120    -11.251673  0.600  0.008  0.016  0.008  0.000  0.000  0.000  0.000  0.000  0.624
   1.57373    -11.422645  0.600  0.000  0.016  0.000  0.000  0.000  0.000  0.000  0.000  0.624
   1.62626    -11.581076  0.600  0.000  0.016  0.000  0.000  0.000  0.000  0.000  0.000  0.624
   1.67878    -11.725448  0.600  0.000  0.008  0.000  0.000  0.000  0.000  0.000  0.000  0.616
   1.73131    -11.854655  0.600  0.000  0.008  0.000  0.000  0.000  0.000  0.000  0.000  0.616
   1.78384    -11.967879  0.600  0.000  0.008  0.000  0.000  0.000  0.000  0.000  0.000  0.616
   1.83637    -12.064516  0.608  0.000  0.008  0.000  0.000  0.000  0.000  0.000  0.000  0.608
   1.88890    -12.144107  0.608  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.608
