#K-Path(1/A)         Spin-Up(eV)   Spin-down(eV)
# NKPTS & NBANDS: 120 128
# Band-Index    1
   0.00000    -19.986629    -19.986393
   0.05761    -19.984641    -19.984406
   0.11522    -19.978704    -19.978468
   0.17283    -19.969400    -19.969164
   0.23044    -19.956139    -19.955903
   0.28805    -19.939075    -19.938838
   0.34566    -19.918556    -19.918319
   0.40327    -19.895309    -19.895071
   0.46088    -19.868897    -19.868659
   0.51849    -19.840138    -19.839899
   0.57610    -19.809402    -19.809163
   0.63371    -19.777570    -19.777331
   0.69132    -19.743366    -19.743125
   0.74893    -19.708660    -19.708419
   0.80654    -19.673757    -19.673515
   0.86415    -19.639664    -19.639422
   0.92176    -19.605087    -19.604844
   0.97937    -19.571160    -19.570917
   1.03698    -19.538673    -19.538429
   1.09459    -19.507667    -19.507422
   1.09459    -19.507667    -19.507422
   1.11953    -19.515284    -19.515040
   1.14448    -19.522891    -19.522646
   1.16942    -19.530713    -19.530469
   1.19437    -19.538576    -19.538332
   1.21931    -19.546433    -19.546189
   1.24426    -19.554380    -19.554136
   1.26921    -19.562099    -19.561856
   1.29415    -19.569868    -19.569625
   1.31910    -19.577086    -19.576842
   1.34404    -19.584304    -19.584061
   1.36899    -19.591274    -19.591031
   1.39393    -19.597959    -19.597716
   1.41888    -19.604468    -19.604225
   1.44383    -19.610486    -19.610243
   1.46877    -19.615977    -19.615735
   1.49372    -19.621074    -19.620831
   1.51866    -19.625997    -19.625755
   1.54361    -19.630318    -19.630076
   1.56855    -19.633744    -19.633502
   1.56855    -19.633744    -19.633502
   1.64339    -19.642373    -19.642131
   1.71823    -19.645922    -19.645680
   1.79307    -19.643653    -19.643411
   1.86790    -19.635745    -19.635503
   1.94274    -19.622945    -19.622703
   2.01758    -19.604999    -19.604757
   2.09242    -19.625243    -19.625001
   2.16725    -19.668085    -19.667843
   2.24209    -19.711935    -19.711694
   2.31693    -19.755061    -19.754821
   2.39176    -19.797621    -19.797382
   2.46660    -19.837771    -19.837532
   2.54144    -19.874563    -19.874325
   2.61628    -19.907213    -19.906976
   2.69111    -19.935339    -19.935102
   2.76595    -19.957579    -19.957342
   2.84079    -19.973544    -19.973308
   2.91563    -19.983277    -19.983042
   2.99046    -19.986629    -19.986393
   2.99046    -19.986629    -19.986393
   3.06102    -19.983650    -19.983414
   3.13158    -19.975148    -19.974913
   3.20213    -19.961008    -19.960771
   3.27269    -19.941175    -19.940938
   3.34325    -19.916442    -19.916205
   3.41381    -19.887092    -19.886854
   3.48436    -19.854879    -19.854641
   3.55492    -19.819512    -19.819273
   3.62548    -19.782277    -19.782038
   3.69604    -19.744121    -19.743881
   3.76659    -19.706038    -19.705798
   3.83715    -19.669161    -19.668919
   3.90771    -19.634505    -19.634263
   3.97826    -19.603110    -19.602867
   4.04882    -19.575920    -19.575677
   4.11938    -19.553789    -19.553545
   4.18994    -19.537426    -19.537182
   4.26049    -19.527364    -19.527120
   4.33105    -19.524732    -19.524488
   4.33105    -19.524732    -19.524488
   4.35986    -19.524210    -19.523966
   4.38866    -19.524991    -19.524747
   4.41747    -19.526270    -19.526026
   4.44627    -19.528037    -19.527793
   4.47507    -19.530279    -19.530035
   4.50388    -19.532980    -19.532736
   4.53268    -19.536121    -19.535877
   4.56149    -19.539678    -19.539434
   4.59029    -19.543560    -19.543316
   4.61910    -19.547873    -19.547630
   4.64790    -19.552662    -19.552419
   4.67671    -19.557620    -19.557377
   4.70551    -19.562841    -19.562597
   4.73432    -19.568287    -19.568043
   4.76312    -19.573920    -19.573677
   4.79193    -19.579974    -19.579731
   4.82073    -19.585739    -19.585496
   4.84954    -19.591854    -19.591611
   4.87834    -19.597854    -19.597611
   4.87834    -19.597854    -19.597611
   4.90715    -19.597549    -19.597306
   4.93595    -19.596570    -19.596327
   4.96476    -19.595130    -19.594887
   4.99356    -19.593036    -19.592793
   5.02237    -19.590361    -19.590118
   5.05117    -19.587071    -19.586828
