#K-Path          Energy     s     py     pz     px    dxy    dyz    dz2    dxz  x2-y2    tot
# NKPTS & NBANDS: 120 128
# Band-Index    1
   0.00000    -19.986393  0.828  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.828
   0.05761    -19.984406  0.828  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.828
   0.11522    -19.978468  0.828  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.828
   0.17283    -19.969164  0.828  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.828
   0.23044    -19.955903  0.832  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.832
   0.28805    -19.938838  0.832  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.832
   0.34566    -19.918319  0.832  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.832
   0.40327    -19.895071  0.832  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.832
   0.46088    -19.868659  0.836  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.836
   0.51849    -19.839899  0.836  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.836
   0.57610    -19.809163  0.840  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.840
   0.63371    -19.777331  0.840  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.840
   0.69132    -19.743125  0.844  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.844
   0.74893    -19.708419  0.848  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.848
   0.80654    -19.673515  0.848  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.848
   0.86415    -19.639422  0.852  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.852
   0.92176    -19.604844  0.852  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.852
   0.97937    -19.570917  0.856  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.856
   1.03698    -19.538429  0.860  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.860
   1.09459    -19.507422  0.860  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.860
   1.09459    -19.507422  0.860  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.860
   1.11953    -19.515040  0.860  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.860
   1.14448    -19.522646  0.860  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.860
