#K-Path          Energy     s     py     pz     px    dxy    dyz    dz2    dxz  x2-y2    tot
# NKPTS & NBANDS: 120 128
# Band-Index    1
   0.00000    -19.986629  0.828  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.828
   0.05761    -19.984641  0.828  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.828
   0.11522    -19.978704  0.828  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.828
   0.17283    -19.969400  0.828  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.828
   0.23044    -19.956139  0.832  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.832
   0.28805    -19.939075  0.832  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.832
   0.34566    -19.918556  0.832  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.832
   0.40327    -19.895309  0.832  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.832
   0.46088    -19.868897  0.836  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.836
   0.51849    -19.840138  0.836  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.836
   0.57610    -19.809402  0.840  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.840
   0.63371    -19.777570  0.840  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.840
   0.69132    -19.743366  0.844  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.844
   0.74893    -19.708660  0.848  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.848
   0.80654    -19.673757  0.848  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.848
   0.86415    -19.639664  0.852  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.852
   0.92176    -19.605087  0.852  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.852
   0.97937    -19.571160  0.856  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.856
   1.03698    -19.538673  0.860  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.860
   1.09459    -19.507667  0.861  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.861
   1.09459    -19.507667  0.861  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.861
   1.11953    -19.515284  0.860  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.860
   1.14448    -19.522891  0.860  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.860
   1.16942    -19.530713  0.860  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.860
   1.19437    -19.538576  0.860  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.860
