#K-Path(1/A)         Spin-Up(eV)   Spin-down(eV)
# NKPTS & NBANDS: 120 128
# Band-Index    1
   0.00000    -17.189052    -17.189055
   0.05508    -17.184252    -17.184255
   0.11015    -17.169752    -17.169756
   0.16523    -17.145731    -17.145734
   0.22031    -17.112907    -17.112910
   0.27539    -17.071143    -17.071146
   0.33046    -17.021327    -17.021331
   0.38554    -16.963851    -16.963855
   0.44062    -16.899147    -16.899152
   0.49569    -16.828577    -16.828582
   0.55077    -16.752714    -16.752719
   0.60585    -16.672755    -16.672760
   0.66093    -16.589546    -16.589551
   0.71600    -16.504460    -16.504466
   0.77108    -16.418745    -16.418752
   0.82616    -16.333457    -16.333464
   0.88123    -16.249992    -16.250000
   0.93631    -16.169635    -16.169643
   0.99139    -16.093384    -16.093392
   1.04647    -16.022336    -16.022345
   1.04647    -16.022336    -16.022345
   1.07031    -16.039431    -16.039440
   1.09416    -16.056583    -16.056592
   1.11801    -16.073702    -16.073711
   1.14186    -16.090741    -16.090750
   1.16571    -16.107534    -16.107542
   1.18956    -16.124039    -16.124047
   1.21341    -16.140050    -16.140058
   1.23726    -16.155806    -16.155814
   1.26111    -16.171004    -16.171012
   1.28496    -16.185761    -16.185769
   1.30881    -16.199795    -16.199803
   1.33265    -16.212986    -16.212993
   1.35650    -16.225444    -16.225452
   1.38035    -16.237267    -16.237275
   1.40420    -16.248244    -16.248252
   1.42805    -16.258289    -16.258296
   1.45190    -16.267357    -16.267364
   1.47575    -16.275530    -16.275537
   1.49960    -16.282748    -16.282756
   1.49960    -16.282748    -16.282756
   1.57115    -16.298217    -16.298224
   1.64269    -16.304148    -16.304155
   1.71424    -16.300369    -16.300376
   1.78579    -16.286952    -16.286959
   1.85733    -16.264337    -16.264345
   1.92888    -16.233319    -16.233327
   2.00043    -16.289927    -16.289934
   2.07198    -16.397190    -16.397197
   2.14352    -16.507074    -16.507080
   2.21507    -16.616557    -16.616563
   2.28662    -16.722358    -16.722363
   2.35817    -16.822024    -16.822029
   2.42971    -16.913197    -16.913201
   2.50126    -16.993777    -16.993781
   2.57281    -17.061982    -17.061985
   2.64435    -17.116568    -17.116571
   2.71590    -17.156398    -17.156401
   2.78745    -17.180957    -17.180960
   2.85900    -17.189052    -17.189055
   2.85900    -17.189052    -17.189055
   2.92645    -17.181855    -17.181859
   2.99391    -17.160011    -17.160014
   3.06136    -17.124578    -17.124581
   3.12882    -17.075776    -17.075779
   3.19627    -17.014688    -17.014691
   3.26373    -16.941975    -16.941979
   3.33118    -16.859589    -16.859594
   3.39864    -16.769078    -16.769083
   3.46610    -16.672225    -16.672231
   3.53355    -16.571522    -16.571528
   3.60101    -16.469581    -16.469587
   3.66846    -16.369037    -16.369044
   3.73592    -16.272823    -16.272830
   3.80337    -16.184189    -16.184197
   3.87083    -16.106072    -16.106080
   3.93828    -16.041829    -16.041837
   4.00574    -15.993950    -15.993959
   4.07319    -15.964058    -15.964067
   4.14065    -15.954027    -15.954036
   4.14065    -15.954027    -15.954036
   4.16819    -15.954983    -15.954992
   4.19573    -15.957843    -15.957852
   4.22327    -15.962617    -15.962626
   4.25080    -15.969331    -15.969340
   4.27834    -15.977614    -15.977623
   4.30588    -15.987677    -15.987686
   4.33342    -15.999360    -15.999368
   4.36096    -16.012560    -16.012569
   4.38850    -16.027167    -16.027176
   4.41604    -16.043129    -16.043138
   4.44357    -16.060178    -16.060187
   4.47111    -16.078327    -16.078335
   4.49865    -16.097332    -16.097340
   4.52619    -16.117005    -16.117014
   4.55373    -16.137260    -16.137268
   4.58127    -16.158102    -16.158110
   4.60881    -16.178955    -16.178963
   4.63634    -16.200101    -16.200109
   4.66388    -16.221194    -16.221202
   4.66388    -16.221194    -16.221202
   4.69142    -16.220537    -16.220545
   4.71896    -16.218598    -16.218606
   4.74650    -16.215347    -16.215355
   4.77404    -16.210793    -16.210801
   4.80158    -16.205012    -16.205020
   4.82911    -16.197912    -16.197919
   4.85665    -16.189710    -16.189718
   4.88419    -16.180350    -16.180358
   4.91173    -16.169925    -16.169933
   4.93927    -16.158408    -16.158416
   4.96681    -16.146004    -16.146013
   4.99435    -16.132807    -16.132815
   5.02188    -16.118712    -16.118720
   5.04942    -16.103879    -16.103888
   5.07696    -16.088433    -16.088442
   5.10450    -16.072451    -16.072459
   5.13204    -16.056042    -16.056051
   5.15958    -16.039299    -16.039308
   5.18712    -16.022336    -16.022345
 
# Band-Index    2
   5.18712    -16.022336    -16.022345
   5.15958    -16.039299    -16.039308
   5.13204    -16.056042    -16.056051
   5.10450    -16.072451    -16.072459
   5.07696    -16.088433    -16.088442
   5.04942    -16.103879    -16.103888
   5.02188    -16.118712    -16.118720
   4.99435    -16.132807    -16.132815
   4.96681    -16.146004    -16.146013
   4.93927    -16.158408    -16.158416
   4.91173    -16.169925    -16.169933
   4.88419    -16.180350    -16.180358
   4.85665    -16.189710    -16.189718
   4.82911    -16.197912    -16.197919
   4.80158    -16.205012    -16.205020
   4.77404    -16.210793    -16.210801
   4.74650    -16.215347    -16.215355
   4.71896    -16.218598    -16.218606
   4.69142    -16.220537    -16.220545
   4.66388    -16.221194    -16.221202
   4.66388    -16.221194    -16.221202
   4.63634    -16.200101    -16.200109
   4.60881    -16.178955    -16.178963
   4.58127    -16.158102    -16.158110
   4.55373    -16.137260    -16.137268
   4.52619    -16.117005    -16.117014
   4.49865    -16.097332    -16.097340
   4.47111    -16.078327    -16.078335
   4.44357    -16.060178    -16.060187
   4.41604    -16.043129    -16.043138
   4.38850    -16.027167    -16.027176
   4.36096    -16.012560    -16.012569
   4.33342    -15.999360    -15.999368
   4.30588    -15.987677    -15.987686
   4.27834    -15.977614    -15.977623
   4.25080    -15.969331    -15.969340
   4.22327    -15.962617    -15.962626
   4.19573    -15.957843    -15.957852
   4.16819    -15.954983    -15.954992
   4.14065    -15.954027    -15.954036
   4.14065    -15.954027    -15.954036
   4.07319    -15.952554    -15.952563
   4.00574    -15.948245    -15.948254
   3.93828    -15.941056    -15.941065
   3.87083    -15.930980    -15.930990
   3.80337    -15.918437    -15.918446
   3.73592    -15.903682    -15.903692
   3.66846    -15.886629    -15.886639
   3.60101    -15.867882    -15.867892
   3.53355    -15.848050    -15.848061
   3.46610    -15.827283    -15.827294
   3.39864    -15.806340    -15.806352
   3.33118    -15.785745    -15.785757
   3.26373    -15.766100    -15.766112
   3.19627    -15.748099    -15.748111
   3.12882    -15.732341    -15.732354
   3.06136    -15.719426    -15.719439
   2.99391    -15.709811    -15.709824
   2.92645    -15.703821    -15.703834
   2.85900    -15.701836    -15.701849
   2.85900    -15.701836    -15.701849
   2.78745    -15.707432    -15.707446
   2.71590    -15.724090    -15.724103
   2.64435    -15.750947    -15.750960
   2.57281    -15.787031    -15.787044
   2.50126    -15.830489    -15.830501
   2.42971    -15.879908    -15.879920
   2.35817    -15.933518    -15.933529
   2.28662    -15.989219    -15.989229
   2.21507    -16.044908    -16.044918
   2.14352    -16.099066    -16.099076
   2.07198    -16.149279    -16.149288
   2.00043    -16.194550    -16.194559
   1.92888    -16.188064    -16.188072
   1.85733    -16.094816    -16.094825
   1.78579    -16.013102    -16.013112
   1.71424    -15.945280    -15.945289
   1.64269    -15.900775    -15.900785
   1.57115    -15.923341    -15.923351
   1.49960    -15.945126    -15.945135
   1.49960    -15.945126    -15.945135
   1.47575    -15.952093    -15.952102
   1.45190    -15.959015    -15.959025
   1.42805    -15.965567    -15.965577
   1.40420    -15.971889    -15.971898
   1.38035    -15.977896    -15.977905
   1.35650    -15.983628    -15.983638
   1.33265    -15.989051    -15.989060
   1.30881    -15.994087    -15.994096
   1.28496    -15.998880    -15.998889
   1.26111    -16.003198    -16.003208
   1.23726    -16.007092    -16.007102
   1.21341    -16.010691    -16.010701
   1.18956    -16.013701    -16.013710
   1.16571    -16.016338    -16.016347
   1.14186    -16.018493    -16.018502
   1.11801    -16.020145    -16.020154
   1.09416    -16.021334    -16.021343
   1.07031    -16.022093    -16.022102
   1.04647    -16.022336    -16.022345
   1.04647    -16.022336    -16.022345
   0.99139    -16.020222    -16.020232
   0.93631    -16.014144    -16.014153
   0.88123    -16.004067    -16.004077
   0.82616    -15.990398    -15.990408
   0.77108    -15.973213    -15.973223
   0.71600    -15.953027    -15.953037
   0.66093    -15.930601    -15.930612
   0.60585    -15.906160    -15.906171
   0.55077    -15.880420    -15.880431
   0.49569    -15.854038    -15.854049
   0.44062    -15.827519    -15.827530
   0.38554    -15.801984    -15.801997
   0.33046    -15.778183    -15.778196
   0.27539    -15.756530    -15.756542
   0.22031    -15.737708    -15.737721
   0.16523    -15.722425    -15.722438
   0.11015    -15.711072    -15.711086
   0.05508    -15.704158    -15.704171
   0.00000    -15.701836    -15.701849
 
# Band-Index    3
   0.00000    -15.701836    -15.701849
   0.05508    -15.704158    -15.704171
   0.11015    -15.711072    -15.711086
   0.16523    -15.722425    -15.722438
   0.22031    -15.737708    -15.737721
   0.27539    -15.756530    -15.756542
   0.33046    -15.778183    -15.778196
   0.38554    -15.801984    -15.801997
   0.44062    -15.827519    -15.827530
   0.49569    -15.854038    -15.854049
   0.55077    -15.880420    -15.880431
   0.60585    -15.906160    -15.906171
   0.66093    -15.930601    -15.930612
   0.71600    -15.953027    -15.953037
   0.77108    -15.973213    -15.973223
   0.82616    -15.990398    -15.990408
   0.88123    -16.004067    -16.004077
   0.93631    -16.014144    -16.014153
   0.99139    -16.020222    -16.020232
   1.04647    -16.022336    -16.022345
   1.04647    -16.022336    -16.022345
   1.07031    -16.022093    -16.022102
   1.09416    -16.021334    -16.021343
   1.11801    -16.020145    -16.020154
   1.14186    -16.018493    -16.018502
   1.16571    -16.016338    -16.016347
   1.18956    -16.013701    -16.013710
   1.21341    -16.010691    -16.010701
   1.23726    -16.007092    -16.007102
   1.26111    -16.003198    -16.003208
   1.28496    -15.998880    -15.998889
   1.30881    -15.994087    -15.994096
   1.33265    -15.989051    -15.989060
   1.35650    -15.983628    -15.983638
   1.38035    -15.977896    -15.977905
   1.40420    -15.971889    -15.971898
   1.42805    -15.965567    -15.965577
   1.45190    -15.959015    -15.959025
   1.47575    -15.952093    -15.952102
   1.49960    -15.945126    -15.945135
   1.49960    -15.945126    -15.945135
   1.57115    -15.923341    -15.923351
   1.64269    -15.900775    -15.900785
   1.71424    -15.877940    -15.877950
   1.78579    -15.855609    -15.855619
   1.85733    -15.834229    -15.834240
   1.92888    -15.814231    -15.814242
   2.00043    -15.795879    -15.795890
   2.07198    -15.779334    -15.779345
   2.14352    -15.764664    -15.764676
   2.21507    -15.751831    -15.751843
   2.28662    -15.740585    -15.740598
   2.35817    -15.731107    -15.731120
   2.42971    -15.723051    -15.723064
   2.50126    -15.716455    -15.716468
   2.57281    -15.711155    -15.711168
   2.64435    -15.707075    -15.707088
   2.71590    -15.704143    -15.704157
   2.78745    -15.702388    -15.702402
   2.85900    -15.701836    -15.701849
   2.85900    -15.701836    -15.701849
   2.92645    -15.703821    -15.703834
   2.99391    -15.709811    -15.709824
   3.06136    -15.719426    -15.719439
   3.12882    -15.732341    -15.732354
   3.19627    -15.748099    -15.748111
   3.26373    -15.766100    -15.766112
   3.33118    -15.785745    -15.785757
   3.39864    -15.806340    -15.806352
   3.46610    -15.827283    -15.827294
   3.53355    -15.848050    -15.848061
   3.60101    -15.867882    -15.867892
   3.66846    -15.886629    -15.886639
   3.73592    -15.903682    -15.903692
   3.80337    -15.918437    -15.918446
   3.87083    -15.930980    -15.930990
   3.93828    -15.941056    -15.941065
   4.00574    -15.948245    -15.948254
   4.07319    -15.952554    -15.952563
   4.14065    -15.954027    -15.954036
   4.14065    -15.954027    -15.954036
   4.16819    -15.953541    -15.953550
   4.19573    -15.952086    -15.952095
   4.22327    -15.949669    -15.949678
   4.25080    -15.946354    -15.946363
   4.27834    -15.942065    -15.942074
   4.30588    -15.936999    -15.937008
   4.33342    -15.930939    -15.930948
   4.36096    -15.923969    -15.923978
   4.38850    -15.916324    -15.916333
