#K-Path          Energy     s     py     pz     px    dxy    dyz    dz2    dxz  x2-y2    tot
# NKPTS & NBANDS: 120 128
# Band-Index    1
   0.00000    -17.189055  0.040  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.040
   0.05508    -17.184255  0.040  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.040
   0.11015    -17.169756  0.040  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.040
   0.16523    -17.145734  0.040  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.040
   0.22031    -17.112910  0.040  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.040
   0.27539    -17.071146  0.040  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.040
   0.33046    -17.021331  0.036  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.040
   0.38554    -16.963855  0.036  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.040
   0.44062    -16.899152  0.032  0.000  0.004  0.004  0.000  0.000  0.000  0.000  0.000  0.036
   0.49569    -16.828582  0.032  0.000  0.004  0.004  0.000  0.000  0.000  0.000  0.000  0.036
   0.55077    -16.752719  0.028  0.000  0.004  0.004  0.000  0.000  0.000  0.000  0.000  0.036
   0.60585    -16.672760  0.024  0.000  0.004  0.004  0.000  0.000  0.000  0.000  0.000  0.032
   0.66093    -16.589551  0.024  0.000  0.004  0.004  0.000  0.000  0.000  0.000  0.000  0.032
   0.71600    -16.504466  0.020  0.000  0.004  0.004  0.000  0.000  0.000  0.000  0.000  0.032
   0.77108    -16.418752  0.020  0.000  0.004  0.004  0.000  0.000  0.000  0.000  0.000  0.028
   0.82616    -16.333464  0.016  0.000  0.004  0.004  0.000  0.000  0.000  0.000  0.000  0.028
   0.88123    -16.250000  0.012  0.000  0.004  0.004  0.000  0.000  0.000  0.000  0.000  0.024
   0.93631    -16.169643  0.012  0.000  0.004  0.004  0.000  0.000  0.000  0.000  0.000  0.024
   0.99139    -16.093392  0.008  0.000  0.008  0.008  0.000  0.000  0.000  0.000  0.000  0.024
   1.04647    -16.022345  0.007  0.000  0.007  0.007  0.000  0.000  0.000  0.000  0.001  0.021
   1.04647    -16.022345  0.006  0.000  0.006  0.006  0.000  0.000  0.000  0.000  0.001  0.020
   1.07031    -16.039440  0.008  0.000  0.008  0.008  0.000  0.000  0.000  0.000  0.000  0.020
   1.09416    -16.056592  0.008  0.000  0.008  0.008  0.000  0.000  0.000  0.000  0.000  0.020
   1.11801    -16.073711  0.008  0.000  0.008  0.008  0.000  0.000  0.000  0.000  0.000  0.020
   1.14186    -16.090750  0.008  0.000  0.008  0.008  0.000  0.000  0.000  0.000  0.000  0.020
   1.16571    -16.107542  0.008  0.000  0.008  0.008  0.000  0.000  0.000  0.000  0.000  0.024
   1.18956    -16.124047  0.008  0.000  0.008  0.008  0.000  0.000  0.000  0.000  0.000  0.024
   1.21341    -16.140058  0.008  0.000  0.008  0.008  0.000  0.000  0.000  0.000  0.000  0.024
   1.23726    -16.155814  0.008  0.000  0.004  0.004  0.000  0.000  0.000  0.000  0.000  0.024
   1.26111    -16.171012  0.012  0.000  0.004  0.004  0.000  0.000  0.000  0.000  0.000  0.024
   1.28496    -16.185769  0.012  0.000  0.004  0.004  0.000  0.000  0.000  0.000  0.000  0.024
   1.30881    -16.199803  0.012  0.000  0.004  0.004  0.000  0.000  0.000  0.000  0.000  0.024
   1.33265    -16.212993  0.012  0.000  0.004  0.004  0.000  0.000  0.000  0.000  0.000  0.024
   1.35650    -16.225452  0.012  0.000  0.004  0.004  0.000  0.000  0.000  0.000  0.000  0.024
   1.38035    -16.237275  0.012  0.000  0.004  0.004  0.000  0.000  0.000  0.000  0.000  0.024
   1.40420    -16.248252  0.012  0.000  0.004  0.004  0.000  0.000  0.000  0.000  0.000  0.024
   1.42805    -16.258296  0.012  0.004  0.004  0.004  0.000  0.000  0.000  0.000  0.000  0.024
   1.45190    -16.267364  0.012  0.004  0.004  0.004  0.000  0.000  0.000  0.000  0.000  0.024
   1.47575    -16.275537  0.012  0.004  0.004  0.004  0.000  0.000  0.000  0.000  0.000  0.024
   1.49960    -16.282756  0.012  0.004  0.004  0.004  0.000  0.000  0.000  0.000  0.000  0.024
   1.49960    -16.282756  0.012  0.004  0.004  0.004  0.000  0.000  0.000  0.000  0.000  0.024
   1.57115    -16.298224  0.012  0.004  0.004  0.004  0.000  0.000  0.000  0.000  0.000  0.028
   1.64269    -16.304155  0.012  0.004  0.004  0.004  0.000  0.000  0.000  0.000  0.000  0.028
   1.71424    -16.300376  0.012  0.004  0.004  0.004  0.000  0.000  0.000  0.000  0.000  0.028
   1.78579    -16.286959  0.012  0.004  0.004  0.004  0.000  0.000  0.000  0.000  0.000  0.024
   1.85733    -16.264345  0.012  0.004  0.008  0.004  0.000  0.000  0.000  0.000  0.000  0.024
   1.92888    -16.233327  0.012  0.004  0.008  0.004  0.000  0.000  0.000  0.000  0.000  0.024
   2.00043    -16.289934  0.012  0.004  0.008  0.004  0.000  0.000  0.000  0.000  0.000  0.028
   2.07198    -16.397197  0.016  0.004  0.004  0.004  0.000  0.000  0.000  0.000  0.000  0.028
   2.14352    -16.507080  0.020  0.000  0.004  0.000  0.000  0.000  0.000  0.000  0.000  0.032
