#K-Path          Energy     s     py     pz     px    dxy    dyz    dz2    dxz  x2-y2    tot
# NKPTS & NBANDS: 120 128
# Band-Index    1
   0.00000    -17.189052  0.040  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.040
   0.05508    -17.184252  0.040  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.040
   0.11015    -17.169752  0.040  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.040
   0.16523    -17.145731  0.040  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.040
   0.22031    -17.112907  0.040  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.040
   0.27539    -17.071143  0.040  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.040
   0.33046    -17.021327  0.036  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.040
   0.38554    -16.963851  0.036  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.040
   0.44062    -16.899147  0.032  0.000  0.004  0.004  0.000  0.000  0.000  0.000  0.000  0.036
   0.49569    -16.828577  0.032  0.000  0.004  0.004  0.000  0.000  0.000  0.000  0.000  0.036
   0.55077    -16.752714  0.028  0.000  0.004  0.004  0.000  0.000  0.000  0.000  0.000  0.036
   0.60585    -16.672755  0.024  0.000  0.004  0.004  0.000  0.000  0.000  0.000  0.000  0.032
   0.66093    -16.589546  0.024  0.000  0.004  0.004  0.000  0.000  0.000  0.000  0.000  0.032
   0.71600    -16.504460  0.020  0.000  0.004  0.004  0.000  0.000  0.000  0.000  0.000  0.032
   0.77108    -16.418745  0.020  0.000  0.004  0.004  0.000  0.000  0.000  0.000  0.000  0.028
   0.82616    -16.333457  0.016  0.000  0.004  0.004  0.000  0.000  0.000  0.000  0.000  0.028
   0.88123    -16.249992  0.012  0.000  0.004  0.004  0.000  0.000  0.000  0.000  0.000  0.024
   0.93631    -16.169635  0.012  0.000  0.004  0.004  0.000  0.000  0.000  0.000  0.000  0.024
   0.99139    -16.093384  0.008  0.000  0.008  0.008  0.000  0.000  0.000  0.000  0.000  0.024
   1.04647    -16.022336  0.006  0.000  0.006  0.006  0.000  0.000  0.000  0.000  0.001  0.021
   1.04647    -16.022336  0.006  0.000  0.006  0.006  0.000  0.000  0.000  0.000  0.001  0.020
   1.07031    -16.039431  0.008  0.000  0.008  0.008  0.000  0.000  0.000  0.000  0.000  0.020
   1.09416    -16.056583  0.008  0.000  0.008  0.008  0.000  0.000  0.000  0.000  0.000  0.020
   1.11801    -16.073702  0.008  0.000  0.008  0.008  0.000  0.000  0.000  0.000  0.000  0.020
   1.14186    -16.090741  0.008  0.000  0.008  0.008  0.000  0.000  0.000  0.000  0.000  0.020
   1.16571    -16.107534  0.008  0.000  0.008  0.008  0.000  0.000  0.000  0.000  0.000  0.024
   1.18956    -16.124039  0.008  0.000  0.008  0.008  0.000  0.000  0.000  0.000  0.000  0.024
   1.21341    -16.140050  0.008  0.000  0.008  0.008  0.000  0.000  0.000  0.000  0.000  0.024
   1.23726    -16.155806  0.008  0.000  0.004  0.004  0.000  0.000  0.000  0.000  0.000  0.024
   1.26111    -16.171004  0.012  0.000  0.004  0.004  0.000  0.000  0.000  0.000  0.000  0.024
   1.28496    -16.185761  0.012  0.000  0.004  0.004  0.000  0.000  0.000  0.000  0.000  0.024
   1.30881    -16.199795  0.012  0.000  0.004  0.004  0.000  0.000  0.000  0.000  0.000  0.024
   1.33265    -16.212986  0.012  0.000  0.004  0.004  0.000  0.000  0.000  0.000  0.000  0.024
   1.35650    -16.225444  0.012  0.000  0.004  0.004  0.000  0.000  0.000  0.000  0.000  0.024
   1.38035    -16.237267  0.012  0.000  0.004  0.004  0.000  0.000  0.000  0.000  0.000  0.024
   1.40420    -16.248244  0.012  0.000  0.004  0.004  0.000  0.000  0.000  0.000  0.000  0.024
   1.42805    -16.258289  0.012  0.004  0.004  0.004  0.000  0.000  0.000  0.000  0.000  0.024
   1.45190    -16.267357  0.012  0.004  0.004  0.004  0.000  0.000  0.000  0.000  0.000  0.024
   1.47575    -16.275530  0.012  0.004  0.004  0.004  0.000  0.000  0.000  0.000  0.000  0.024
   1.49960    -16.282748  0.012  0.004  0.004  0.004  0.000  0.000  0.000  0.000  0.000  0.024
   1.49960    -16.282748  0.012  0.004  0.004  0.004  0.000  0.000  0.000  0.000  0.000  0.024
   1.57115    -16.298217  0.012  0.004  0.004  0.004  0.000  0.000  0.000  0.000  0.000  0.028
   1.64269    -16.304148  0.012  0.004  0.004  0.004  0.000  0.000  0.000  0.000  0.000  0.028
   1.71424    -16.300369  0.012  0.004  0.004  0.004  0.000  0.000  0.000  0.000  0.000  0.028
   1.78579    -16.286952  0.012  0.004  0.004  0.004  0.000  0.000  0.000  0.000  0.000  0.024
   1.85733    -16.264337  0.012  0.004  0.008  0.004  0.000  0.000  0.000  0.000  0.000  0.024
   1.92888    -16.233319  0.012  0.004  0.008  0.004  0.000  0.000  0.000  0.000  0.000  0.024
   2.00043    -16.289927  0.012  0.004  0.008  0.004  0.000  0.000  0.000  0.000  0.000  0.028
   2.07198    -16.397190  0.016  0.004  0.004  0.004  0.000  0.000  0.000  0.000  0.000  0.028
   2.14352    -16.507074  0.020  0.000  0.004  0.000  0.000  0.000  0.000  0.000  0.000  0.032
   2.21507    -16.616557  0.024  0.000  0.004  0.000  0.000  0.000  0.000  0.000  0.000  0.032
   2.28662    -16.722358  0.028  0.000  0.004  0.000  0.000  0.000  0.000  0.000  0.000  0.036
   2.35817    -16.822024  0.032  0.000  0.004  0.000  0.000  0.000  0.000  0.000  0.000  0.036
   2.42971    -16.913197  0.032  0.000  0.004  0.000  0.000  0.000  0.000  0.000  0.000  0.036
   2.50126    -16.993777  0.036  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.040
   2.57281    -17.061982  0.040  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.040
   2.64435    -17.116568  0.040  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.040
   2.71590    -17.156398  0.040  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.040
   2.78745    -17.180957  0.040  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.040
