#K-Path          Energy     s     py     pz     px    dxy    dyz    dz2    dxz  x2-y2    tot
# NKPTS & NBANDS: 120 128
# Band-Index    1
   0.00000    -17.189055  0.672  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.672
   0.05508    -17.184255  0.672  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.672
   0.11015    -17.169756  0.672  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.672
   0.16523    -17.145734  0.672  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.672
   0.22031    -17.112910  0.676  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.676
   0.27539    -17.071146  0.676  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.680
   0.33046    -17.021331  0.680  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.680
   0.38554    -16.963855  0.684  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.684
   0.44062    -16.899152  0.688  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.688
   0.49569    -16.828582  0.692  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.696
   0.55077    -16.752719  0.700  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.700
   0.60585    -16.672760  0.704  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.704
   0.66093    -16.589551  0.708  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.712
   0.71600    -16.504466  0.716  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.716
   0.77108    -16.418752  0.724  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.724
   0.82616    -16.333464  0.728  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.728
   0.88123    -16.250000  0.736  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.736
   0.93631    -16.169643  0.740  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.744
   0.99139    -16.093392  0.748  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.748
   1.04647    -16.022345  0.754  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.755
   1.04647    -16.022345  0.755  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.755
   1.07031    -16.039440  0.752  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.752
   1.09416    -16.056592  0.752  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.752
   1.11801    -16.073711  0.748  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.752
   1.14186    -16.090750  0.748  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.748
   1.16571    -16.107542  0.748  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.748
   1.18956    -16.124047  0.744  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.748
   1.21341    -16.140058  0.744  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.744
   1.23726    -16.155814  0.744  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.744
   1.26111    -16.171012  0.740  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.744
   1.28496    -16.185769  0.740  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.740
   1.30881    -16.199803  0.740  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.740
   1.33265    -16.212993  0.740  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.740
   1.35650    -16.225452  0.736  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.740
   1.38035    -16.237275  0.736  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.736
   1.40420    -16.248252  0.736  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.736
   1.42805    -16.258296  0.736  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.736
   1.45190    -16.267364  0.736  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.736
   1.47575    -16.275537  0.732  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.736
   1.49960    -16.282756  0.732  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.732
   1.49960    -16.282756  0.732  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.732
   1.57115    -16.298224  0.732  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.732
   1.64269    -16.304155  0.732  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.732
   1.71424    -16.300376  0.732  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.732
   1.78579    -16.286959  0.732  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.732
   1.85733    -16.264345  0.736  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.736
   1.92888    -16.233327  0.736  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.736
   2.00043    -16.289934  0.732  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.732
   2.07198    -16.397197  0.724  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.724
   2.14352    -16.507080  0.716  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.716
   2.21507    -16.616563  0.708  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.708
   2.28662    -16.722363  0.700  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.700
   2.35817    -16.822029  0.692  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.696
   2.42971    -16.913201  0.688  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.688
   2.50126    -16.993781  0.684  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.684
   2.57281    -17.061985  0.680  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.680
   2.64435    -17.116571  0.676  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.676
   2.71590    -17.156401  0.672  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.672
   2.78745    -17.180960  0.672  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.672
   2.85900    -17.189055  0.672  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.672
   2.85900    -17.189055  0.672  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.672
   2.92645    -17.181859  0.672  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.672
   2.99391    -17.160014  0.672  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.672
   3.06136    -17.124581  0.676  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.676
   3.12882    -17.075779  0.676  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.676
   3.19627    -17.014691  0.680  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.680
   3.26373    -16.941979  0.688  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.688
   3.33118    -16.859594  0.692  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.692
   3.39864    -16.769083  0.696  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.700
   3.46610    -16.672231  0.704  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.704
   3.53355    -16.571528  0.712  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.712
   3.60101    -16.469587  0.720  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.720
   3.66846    -16.369044  0.728  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.728
   3.73592    -16.272830  0.732  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.736
   3.80337    -16.184197  0.740  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.740
   3.87083    -16.106080  0.748  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.748
   3.93828    -16.041837  0.752  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.752
   4.00574    -15.993959  0.756  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.760
   4.07319    -15.964067  0.760  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.760
   4.14065    -15.954036  0.762  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.762
   4.14065    -15.954036  0.762  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.762
   4.16819    -15.954992  0.762  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.762
   4.19573    -15.957852  0.762  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.762
   4.22327    -15.962626  0.762  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.762
   4.25080    -15.969340  0.760  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.760
   4.27834    -15.977623  0.758  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.758
   4.30588    -15.987686  0.758  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.758
   4.33342    -15.999368  0.758  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.758
   4.36096    -16.012569  0.756  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.756
   4.38850    -16.027176  0.754  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.754
   4.41604    -16.043138  0.752  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.752
   4.44357    -16.060187  0.752  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.752
   4.47111    -16.078335  0.750  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.750
   4.49865    -16.097340  0.748  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.750
   4.52619    -16.117014  0.748  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.748
   4.55373    -16.137268  0.744  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.746
   4.58127    -16.158110  0.744  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.744
   4.60881    -16.178963  0.740  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.742
   4.63634    -16.200109  0.740  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.740
   4.66388    -16.221202  0.736  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.740
   4.66388    -16.221202  0.738  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.738
   4.69142    -16.220545  0.738  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.738
   4.71896    -16.218606  0.738  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.740
