#K-Path          Energy     s     py     pz     px    dxy    dyz    dz2    dxz  x2-y2    tot
# NKPTS & NBANDS: 120 128
# Band-Index    1
   0.00000    -17.189052  0.672  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.672
   0.05508    -17.184252  0.672  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.672
   0.11015    -17.169752  0.672  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.672
   0.16523    -17.145731  0.672  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.672
   0.22031    -17.112907  0.676  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.676
   0.27539    -17.071143  0.676  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.680
   0.33046    -17.021327  0.680  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.680
   0.38554    -16.963851  0.684  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.684
   0.44062    -16.899147  0.688  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.688
   0.49569    -16.828577  0.692  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.696
   0.55077    -16.752714  0.700  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.700
   0.60585    -16.672755  0.704  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.704
   0.66093    -16.589546  0.708  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.712
   0.71600    -16.504460  0.716  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.716
   0.77108    -16.418745  0.724  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.724
   0.82616    -16.333457  0.728  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.728
   0.88123    -16.249992  0.736  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.736
   0.93631    -16.169635  0.740  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.744
   0.99139    -16.093384  0.748  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.748
   1.04647    -16.022336  0.755  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.755
   1.04647    -16.022336  0.755  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.755
   1.07031    -16.039431  0.752  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.752
