#K-Path(1/A)         Spin-Up(eV)   Spin-down(eV)
# NKPTS & NBANDS: 120 128
# Band-Index    1
   0.00000    -12.694015    -12.694033
   0.00613    -12.693903    -12.693922
   0.01226    -12.693570    -12.693589
   0.01838    -12.693015    -12.693033
   0.02451    -12.692237    -12.692256
   0.03064    -12.691238    -12.691257
   0.03677    -12.690017    -12.690036
   0.04290    -12.688574    -12.688593
   0.04903    -12.686909    -12.686929
   0.05515    -12.685024    -12.685043
   0.06128    -12.682918    -12.682937
   0.06741    -12.680591    -12.680611
   0.07354    -12.678045    -12.678065
   0.07967    -12.675278    -12.675298
   0.08579    -12.672292    -12.672313
   0.09192    -12.669088    -12.669108
   0.09805    -12.665665    -12.665686
   0.10418    -12.662024    -12.662045
   0.11031    -12.658167    -12.658188
   0.11644    -12.654093    -12.654114
   0.12256    -12.649803    -12.649825
   0.12869    -12.645298    -12.645320
   0.13482    -12.640578    -12.640601
   0.14095    -12.635645    -12.635669
   0.14708    -12.630500    -12.630524
   0.15320    -12.625142    -12.625166
   0.15933    -12.619574    -12.619599
   0.16546    -12.613795    -12.613821
   0.17159    -12.607808    -12.607834
   0.17772    -12.601613    -12.601640
   0.18385    -12.595211    -12.595239
   0.18997    -12.588604    -12.588632
   0.19610    -12.581791    -12.581820
   0.20223    -12.574776    -12.574805
   0.20836    -12.567558    -12.567589
   0.21449    -12.560141    -12.560172
   0.22061    -12.552524    -12.552556
   0.22674    -12.544709    -12.544743
   0.23287    -12.536698    -12.536733
   0.23900    -12.528493    -12.528529
   0.23900    -12.528493    -12.528529
   0.24530    -12.528407    -12.528428
   0.25161    -12.528115    -12.528121
   0.25791    -12.527617    -12.527608
   0.26422    -12.526912    -12.526889
   0.27052    -12.526003    -12.525964
   0.27682    -12.524887    -12.524832
   0.28313    -12.523567    -12.523495
   0.28943    -12.522041    -12.521953
   0.29574    -12.520312    -12.520205
   0.30204    -12.518378    -12.518252
   0.30835    -12.516241    -12.516095
   0.31465    -12.513902    -12.513734
   0.32095    -12.511360    -12.511170
   0.32726    -12.508616    -12.508402
   0.33356    -12.505672    -12.505433
   0.33987    -12.502527    -12.502262
   0.34617    -12.499184    -12.498890
   0.35248    -12.495642    -12.495324
   0.35878    -12.491902    -12.491564
   0.36508    -12.487966    -12.487609
   0.37139    -12.483834    -12.483457
   0.37769    -12.479508    -12.479112
   0.38400    -12.474989    -12.474573
   0.39030    -12.470277    -12.469842
   0.39661    -12.465375    -12.464920
   0.40291    -12.460283    -12.459808
   0.40921    -12.455003    -12.454508
   0.41552    -12.449536    -12.449022
   0.42182    -12.443884    -12.443350
   0.42813    -12.438048    -12.437495
   0.43443    -12.432030    -12.431457
   0.44074    -12.425831    -12.425239
   0.44704    -12.419454    -12.418842
   0.45334    -12.412900    -12.412268
   0.45965    -12.406171    -12.405519
   0.46595    -12.399269    -12.398596
   0.47226    -12.392196    -12.391503
   0.47856    -12.384953    -12.384241
   0.48486    -12.377544    -12.376812
   0.48486    -12.377544    -12.376812
   0.49366    -12.390331    -12.391890
   0.50245    -12.405222    -12.406690
   0.51124    -12.419820    -12.421200
   0.52003    -12.434115    -12.435411
   0.52882    -12.448096    -12.449312
   0.53761    -12.461754    -12.462893
   0.54641    -12.475081    -12.476146
   0.55520    -12.488068    -12.489063
   0.56399    -12.500708    -12.501635
   0.57278    -12.512994    -12.513856
   0.58157    -12.524918    -12.525718
   0.59036    -12.536474    -12.537215
   0.59916    -12.547656    -12.548341
   0.60795    -12.558458    -12.559090
   0.61674    -12.568875    -12.569456
   0.62553    -12.578903    -12.579435
   0.63432    -12.588535    -12.589022
   0.64311    -12.597768    -12.598211
   0.65190    -12.606598    -12.607000
   0.66070    -12.615020    -12.615383
   0.66949    -12.623030    -12.623357
   0.67828    -12.630626    -12.630919
   0.68707    -12.637805    -12.638065
   0.69586    -12.644562    -12.644793
   0.70465    -12.650897    -12.651099
   0.71345    -12.656805    -12.656981
   0.72224    -12.662284    -12.662437
   0.73103    -12.667333    -12.667464
   0.73982    -12.671949    -12.672061
   0.74861    -12.676131    -12.676225
   0.75740    -12.679877    -12.679955
   0.76619    -12.683185    -12.683249
   0.77499    -12.686055    -12.686107
   0.78378    -12.688486    -12.688527
   0.79257    -12.690475    -12.690508
   0.80136    -12.692023    -12.692050
   0.81015    -12.693129    -12.693152
   0.81894    -12.693793    -12.693813
   0.82774    -12.694015    -12.694033
 
# Band-Index    2
   0.82774    -12.112572    -12.110739
   0.81894    -12.116428    -12.114784
   0.81015    -12.125401    -12.123963
   0.80136    -12.136381    -12.134999
   0.79257    -12.148046    -12.146627
   0.78378    -12.159893    -12.158391
   0.77499    -12.171703    -12.170097
   0.76619    -12.183366    -12.181648
   0.75740    -12.194821    -12.192991
   0.74861    -12.206029    -12.204090
   0.73982    -12.216963    -12.214922
   0.73103    -12.227603    -12.225468
   0.72224    -12.237936    -12.235715
   0.71345    -12.247948    -12.245650
   0.70465    -12.257630    -12.255265
   0.69586    -12.266973    -12.264551
   0.68707    -12.275970    -12.273501
   0.67828    -12.284614    -12.282106
   0.66949    -12.292899    -12.290363
   0.66070    -12.300820    -12.298264
   0.65190    -12.308372    -12.305805
   0.64311    -12.315550    -12.312980
   0.63432    -12.322351    -12.319787
   0.62553    -12.328769    -12.326219
   0.61674    -12.334803    -12.332274
   0.60795    -12.340449    -12.337949
   0.59916    -12.345704    -12.343239
   0.59036    -12.350565    -12.348142
   0.58157    -12.355030    -12.352655
   0.57278    -12.359097    -12.356776
   0.56399    -12.362763    -12.360502
   0.55520    -12.366028    -12.363832
   0.54641    -12.368890    -12.366762
   0.53761    -12.371347    -12.369293
   0.52882    -12.373398    -12.371422
   0.52003    -12.375043    -12.373147
   0.51124    -12.376280    -12.374469
   0.50245    -12.377110    -12.375385
   0.49366    -12.377531    -12.375896
   0.48486    -12.377544    -12.376812
   0.48486    -12.377544    -12.376812
   0.47856    -12.382679    -12.383500
   0.47226    -12.390028    -12.390828
   0.46595    -12.397206    -12.397984
   0.45965    -12.404208    -12.404966
   0.45334    -12.411034    -12.411770
   0.44704    -12.417682    -12.418397
   0.44074    -12.424149    -12.424843
   0.43443    -12.430434    -12.431107
   0.42813    -12.436536    -12.437187
   0.42182    -12.442452    -12.443082
   0.41552    -12.448181    -12.448791
   0.40921    -12.453722    -12.454311
   0.40291    -12.459074    -12.459642
   0.39661    -12.464235    -12.464781
   0.39030    -12.469204    -12.469729
   0.38400    -12.473979    -12.474483
   0.37769    -12.478560    -12.479043
   0.37139    -12.482945    -12.483408
   0.36508    -12.487133    -12.487575
   0.35878    -12.491124    -12.491546
   0.35248    -12.494917    -12.495317
   0.34617    -12.498510    -12.498885
   0.33987    -12.501902    -12.502248
   0.33356    -12.505094    -12.505412
   0.32726    -12.508084    -12.508376
   0.32095    -12.510872    -12.511139
   0.31465    -12.513457    -12.513701
   0.30835    -12.515838    -12.516060
   0.30204    -12.518015    -12.518217
   0.29574    -12.519988    -12.520170
   0.28943    -12.521756    -12.521919
   0.28313    -12.523319    -12.523464
   0.27682    -12.524676    -12.524804
   0.27052    -12.525828    -12.525939
   0.26422    -12.526773    -12.526869
   0.25791    -12.527512    -12.527593
   0.25161    -12.528045    -12.528111
   0.24530    -12.528372    -12.528423
   0.23900    -12.528492    -12.528528
   0.23900    -12.528492    -12.528528
   0.23287    -12.520094    -12.520132
   0.22674    -12.511505    -12.511543
   0.22061    -12.502725    -12.502766
   0.21449    -12.493758    -12.493800
   0.20836    -12.484606    -12.484649
   0.20223    -12.475269    -12.475314
   0.19610    -12.465751    -12.465798
   0.18997    -12.456053    -12.456103
   0.18385    -12.446178    -12.446230
   0.17772    -12.436127    -12.436182
   0.17159    -12.425905    -12.425962
   0.16546    -12.415512    -12.415572
   0.15933    -12.404951    -12.405014
   0.15320    -12.394226    -12.394292
   0.14708    -12.383338    -12.383409
   0.14095    -12.372292    -12.372367
   0.13482    -12.361090    -12.361170
   0.12869    -12.349736    -12.349821
   0.12256    -12.338234    -12.338323
   0.11644    -12.326586    -12.326682
   0.11031    -12.314798    -12.314900
   0.10418    -12.302874    -12.302984
   0.09805    -12.290819    -12.290937
   0.09192    -12.278638    -12.278766
   0.08579    -12.266339    -12.266478
   0.07967    -12.253928    -12.254080
   0.07354    -12.241415    -12.241581
   0.06741    -12.228810    -12.228993
   0.06128    -12.216126    -12.216330
   0.05515    -12.203383    -12.203611
   0.04903    -12.190604    -12.190862
   0.04290    -12.177825    -12.178122
   0.03677    -12.165102    -12.165447
   0.03064    -12.152524    -12.152932
   0.02451    -12.140248    -12.140743
   0.01838    -12.128578    -12.129193
   0.01226    -12.118138    -12.118918
   0.00613    -12.112490    -12.111221
   0.00000    -12.112572    -12.110739
 
# Band-Index    3
   0.00000    -12.107139    -12.108214
   0.00613    -12.110248    -12.110657
