#K-Path(1/A)         Spin-Up(eV)   Spin-down(eV)
# NKPTS & NBANDS: 120 128
# Band-Index    1
   0.00000     -3.281408     -3.281643
   0.06818     -3.263229     -3.263464
   0.13635     -3.208716     -3.208951
   0.20453     -3.117957     -3.118192
   0.27271     -2.991087     -2.991322
   0.34088     -2.828304     -2.828540
   0.40906     -2.629865     -2.630101
   0.47724     -2.396084     -2.396321
   0.54541     -2.127348     -2.127584
   0.61359     -1.824118     -1.824356
   0.68176     -1.486957     -1.487195
   0.74994     -1.116544     -1.116783
   0.81812     -0.713746     -0.713986
   0.88629     -0.279705     -0.279947
   0.95447      0.183967      0.183723
   1.02265      0.674776      0.674530
   1.09082      1.188450      1.188200
   1.15900      1.716594      1.716339
   1.22718      2.240122      2.239860
   1.29535      2.710666      2.710399
   1.29535      2.710666      2.710399
   1.35102      2.401398      2.401133
   1.40668      2.072931      2.072671
   1.46235      1.741281      1.741025
   1.51802      1.416258      1.416005
   1.57368      1.103619      1.103369
   1.62935      0.806832      0.806585
   1.68501      0.528088      0.527843
   1.74068      0.268841      0.268597
   1.79635      0.030110      0.029867
   1.85201     -0.187371     -0.187612
   1.90768     -0.383049     -0.383289
   1.96334     -0.556497     -0.556737
   2.01901     -0.707383     -0.707622
   2.07467     -0.835446     -0.835685
   2.13034     -0.940482     -0.940720
   2.18601     -1.022330     -1.022569
   2.24167     -1.080875     -1.081113
   2.29734     -1.116034     -1.116272
   2.35300     -1.127759     -1.127997
   2.35300     -1.127759     -1.127997
   2.39237     -1.345236     -1.345474
   2.43173     -1.551667     -1.551904
   2.47109     -1.746926     -1.747163
   2.51045     -1.930892     -1.931129
   2.54981     -2.103460     -2.103697
   2.58917     -2.264531     -2.264768
   2.62854     -2.414019     -2.414255
   2.66790     -2.551836     -2.552072
   2.70726     -2.677911     -2.678147
   2.74662     -2.792177     -2.792413
   2.78598     -2.894576     -2.894811
   2.82534     -2.985050     -2.985285
   2.86471     -3.063555     -3.063790
   2.90407     -3.130051     -3.130286
   2.94343     -3.184503     -3.184738
   2.98279     -3.226883     -3.227117
   3.02215     -3.257169     -3.257404
   3.06151     -3.275348     -3.275583
   3.10088     -3.281408     -3.281643
   3.10088     -3.281408     -3.281643
   3.13496     -3.276863     -3.277098
   3.16905     -3.263229     -3.263464
   3.20314     -3.240510     -3.240745
   3.23723     -3.208716     -3.208951
   3.27132     -3.167860     -3.168095
   3.30541     -3.117957     -3.118192
   3.33949     -3.059024     -3.059259
   3.37358     -2.991087     -2.991322
   3.40767     -2.914170     -2.914405
   3.44176     -2.828304     -2.828540
   3.47585     -2.733524     -2.733759
   3.50994     -2.629865     -2.630101
   3.54402     -2.517369     -2.517605
   3.57811     -2.396084     -2.396321
   3.61220     -2.266058     -2.266294
   3.64629     -2.127348     -2.127584
   3.68038     -1.980013     -1.980250
   3.71446     -1.824118     -1.824356
   3.74855     -1.659740     -1.659978
   3.74855     -1.659740     -1.659978
   3.81383     -1.699679     -1.699917
   3.87910     -1.707067     -1.707305
   3.94437     -1.681895     -1.682132
   4.00965     -1.624202     -1.624440
   4.07492     -1.534088     -1.534326
   4.14020     -1.411703     -1.411941
   4.20547     -1.257266     -1.257505
   4.27074     -1.071063     -1.071302
   4.33602     -0.853466     -0.853705
   4.40129     -0.604955     -0.605195
   4.46657     -0.326149     -0.326391
   4.53184     -0.017873     -0.018116
   4.59711      0.318745      0.318500
   4.66239      0.682078      0.681831
   4.72766      1.069642      1.069392
   4.79294      1.477337      1.477083
   4.85821      1.897858      1.897600
   4.92348      2.317400      2.317136
   4.98876      2.710666      2.710399
   4.98876     -1.659740     -1.659978
   5.02285     -1.711523     -1.711760
   5.05694     -1.754459     -1.754697
   5.09102     -1.788531     -1.788769
   5.12511     -1.813724     -1.813962
   5.15920     -1.830028     -1.830265
   5.19329     -1.837435     -1.837673
   5.22738     -1.835942     -1.836180
   5.26146     -1.825550     -1.825787
   5.29555     -1.806262     -1.806499
   5.32964     -1.778086     -1.778324
   5.36373     -1.741036     -1.741273
   5.39782     -1.695124     -1.695362
   5.43191     -1.640372     -1.640609
   5.46599     -1.576801     -1.577038
   5.50008     -1.504438     -1.504675
   5.53417     -1.423315     -1.423552
   5.56826     -1.333466     -1.333704
   5.60235     -1.234932     -1.235170
   5.63644     -1.127759     -1.127997
 
# Band-Index    2
   5.63644     -1.127759     -1.127997
   5.60235     -1.011997     -1.012235
   5.56826     -0.887702     -0.887941
   5.53417     -0.754942     -0.755181
   5.50008     -0.613789     -0.614028
   5.46599     -0.464329     -0.464569
   5.43191     -0.306664     -0.306904
   5.39782     -0.140911     -0.141151
   5.36373      0.032782      0.032541
   5.32964      0.214235      0.213993
   5.29555      0.403208      0.402965
   5.26146      0.599386      0.599143
   5.22738      0.802324      0.802080
   5.19329      1.011369      1.011123
   5.15920      1.225501      1.225254
   5.12511      1.443030      1.442780
   5.09102      1.660929      1.660676
   5.05694      1.873345      1.873089
   5.02285      2.068213      2.067953
   4.98876      2.221424      2.221162
   4.98876      2.710666      2.710399
   4.92348      2.415280      2.415013
   4.85821      2.150022      2.149756
   4.79294      1.914848      1.914582
   4.72766      1.709711      1.709445
   4.66239      1.534568      1.534302
   4.59711      1.389375      1.389109
   4.53184      1.274096      1.273831
   4.46657      1.188704      1.188439
   4.40129      1.133174      1.132909
   4.33602      1.107491      1.107226
   4.27074      1.111649      1.111385
   4.20547      1.145653      1.145389
   4.14020      1.209513      1.209249
   4.07492      1.303251      1.302987
   4.00965      1.426895      1.426632
   3.94437      1.580487      1.580224
   3.87910      1.764068      1.763806
   3.81383      1.977695      1.977432
   3.74855      2.221424      2.221162
   3.74855      2.221424      2.221162
   3.71446      2.277360      2.277098
   3.68038      2.341458      2.341197
   3.64629      2.413717      2.413457
   3.61220      2.494135      2.493876
   3.57811      2.582708      2.582449
   3.54402      2.679431      2.679172
   3.50994      2.784292      2.784035
   3.47585      2.897281      2.897024
