#K-Path          Energy     s     py     pz     px    dxy    dyz    dz2    dxz  x2-y2    tot
# NKPTS & NBANDS: 120 128
# Band-Index    1
   0.00000     -3.281643  0.126  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.126
   0.06818     -3.263464  0.126  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.126
   0.13635     -3.208951  0.126  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.126
   0.20453     -3.118192  0.124  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.126
   0.27271     -2.991322  0.122  0.002  0.002  0.002  0.000  0.000  0.000  0.000  0.000  0.126
   0.34088     -2.828540  0.120  0.002  0.002  0.002  0.000  0.000  0.000  0.000  0.000  0.126
   0.40906     -2.630101  0.118  0.002  0.002  0.002  0.000  0.000  0.000  0.000  0.000  0.126
   0.47724     -2.396321  0.114  0.004  0.004  0.004  0.000  0.000  0.000  0.000  0.000  0.126
   0.54541     -2.127584  0.110  0.004  0.004  0.004  0.000  0.000  0.000  0.000  0.000  0.126
   0.61359     -1.824356  0.106  0.006  0.006  0.006  0.000  0.000  0.000  0.000  0.000  0.124
   0.68176     -1.487195  0.102  0.008  0.008  0.008  0.000  0.000  0.000  0.000  0.000  0.124
   0.74994     -1.116783  0.096  0.010  0.010  0.010  0.000  0.000  0.000  0.000  0.000  0.124
   0.81812     -0.713986  0.088  0.012  0.012  0.012  0.000  0.000  0.000  0.000  0.000  0.122
   0.88629     -0.279947  0.082  0.014  0.014  0.014  0.000  0.000  0.000  0.000  0.000  0.120
   0.95447      0.183723  0.072  0.016  0.016  0.016  0.000  0.000  0.000  0.000  0.000  0.118
   1.02265      0.674530  0.062  0.018  0.018  0.018  0.000  0.000  0.000  0.000  0.000  0.116
   1.09082      1.188200  0.048  0.020  0.020  0.020  0.000  0.000  0.000  0.000  0.000  0.110
   1.15900      1.716339  0.032  0.024  0.024  0.024  0.000  0.000  0.000  0.000  0.000  0.104
   1.22718      2.239860  0.012  0.028  0.028  0.028  0.000  0.000  0.000  0.000  0.000  0.094
   1.29535      2.710399  0.000  0.040  0.039  0.008  0.000  0.000  0.000  0.000  0.000  0.087
   1.29535      2.710399  0.000  0.022  0.026  0.039  0.000  0.000  0.000  0.000  0.000  0.087
   1.35102      2.401133  0.005  0.023  0.039  0.023  0.000  0.000  0.000  0.000  0.000  0.090
   1.40668      2.072671  0.016  0.022  0.036  0.022  0.000  0.000  0.000  0.000  0.000  0.096
   1.46235      1.741025  0.028  0.020  0.033  0.020  0.000  0.000  0.000  0.000  0.000  0.102
   1.51802      1.416005  0.039  0.018  0.032  0.018  0.000  0.000  0.000  0.000  0.000  0.107
   1.57368      1.103369  0.049  0.015  0.030  0.015  0.000  0.000  0.000  0.000  0.000  0.111
   1.62935      0.806585  0.057  0.014  0.030  0.014  0.000  0.000  0.000  0.000  0.000  0.114
   1.68501      0.527843  0.064  0.011  0.029  0.011  0.000  0.000  0.000  0.000  0.000  0.116
   1.74068      0.268597  0.069  0.009  0.029  0.009  0.000  0.000  0.000  0.000  0.000  0.118
   1.79635      0.029867  0.075  0.007  0.029  0.007  0.000  0.000  0.000  0.000  0.000  0.119
   1.85201     -0.187612  0.079  0.006  0.028  0.006  0.000  0.000  0.000  0.000  0.000  0.121
   1.90768     -0.383289  0.083  0.005  0.028  0.005  0.000  0.000  0.000  0.000  0.000  0.121
   1.96334     -0.556737  0.086  0.004  0.028  0.004  0.000  0.000  0.000  0.000  0.000  0.122
   2.01901     -0.707622  0.089  0.003  0.027  0.003  0.000  0.000  0.000  0.000  0.000  0.122
   2.07467     -0.835685  0.092  0.002  0.027  0.002  0.000  0.000  0.000  0.000  0.000  0.123
