#K-Path          Energy     s     py     pz     px    dxy    dyz    dz2    dxz  x2-y2    tot
# NKPTS & NBANDS: 120 128
# Band-Index    1
   0.00000     -3.281408  0.126  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.126
   0.06818     -3.263229  0.126  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.126
   0.13635     -3.208716  0.126  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.126
   0.20453     -3.117957  0.124  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.126
   0.27271     -2.991087  0.122  0.002  0.002  0.002  0.000  0.000  0.000  0.000  0.000  0.126
   0.34088     -2.828304  0.120  0.002  0.002  0.002  0.000  0.000  0.000  0.000  0.000  0.126
   0.40906     -2.629865  0.118  0.002  0.002  0.002  0.000  0.000  0.000  0.000  0.000  0.126
   0.47724     -2.396084  0.114  0.004  0.004  0.004  0.000  0.000  0.000  0.000  0.000  0.126
   0.54541     -2.127348  0.110  0.004  0.004  0.004  0.000  0.000  0.000  0.000  0.000  0.126
   0.61359     -1.824118  0.106  0.006  0.006  0.006  0.000  0.000  0.000  0.000  0.000  0.124
   0.68176     -1.486957  0.102  0.008  0.008  0.008  0.000  0.000  0.000  0.000  0.000  0.124
   0.74994     -1.116544  0.096  0.010  0.010  0.010  0.000  0.000  0.000  0.000  0.000  0.124
   0.81812     -0.713746  0.088  0.012  0.012  0.012  0.000  0.000  0.000  0.000  0.000  0.122
   0.88629     -0.279705  0.082  0.014  0.014  0.014  0.000  0.000  0.000  0.000  0.000  0.120
   0.95447      0.183967  0.072  0.016  0.016  0.016  0.000  0.000  0.000  0.000  0.000  0.118
   1.02265      0.674776  0.062  0.018  0.018  0.018  0.000  0.000  0.000  0.000  0.000  0.116
   1.09082      1.188450  0.048  0.020  0.020  0.020  0.000  0.000  0.000  0.000  0.000  0.110
   1.15900      1.716594  0.032  0.024  0.024  0.024  0.000  0.000  0.000  0.000  0.000  0.104
   1.22718      2.240122  0.012  0.028  0.028  0.028  0.000  0.000  0.000  0.000  0.000  0.094
   1.29535      2.710666  0.000  0.049  0.012  0.027  0.000  0.000  0.000  0.000  0.000  0.087
   1.29535      2.710666  0.000  0.025  0.057  0.006  0.000  0.000  0.000  0.000  0.000  0.088
   1.35102      2.401398  0.005  0.023  0.040  0.023  0.000  0.000  0.000  0.000  0.000  0.091
   1.40668      2.072931  0.017  0.022  0.036  0.022  0.000  0.000  0.000  0.000  0.000  0.097
   1.46235      1.741281  0.028  0.020  0.034  0.020  0.000  0.000  0.000  0.000  0.000  0.102
   1.51802      1.416258  0.039  0.018  0.032  0.018  0.000  0.000  0.000  0.000  0.000  0.107
   1.57368      1.103619  0.049  0.016  0.030  0.016  0.000  0.000  0.000  0.000  0.000  0.111
   1.62935      0.806832  0.057  0.014  0.029  0.014  0.000  0.000  0.000  0.000  0.000  0.114
   1.68501      0.528088  0.064  0.011  0.029  0.011  0.000  0.000  0.000  0.000  0.000  0.116
   1.74068      0.268841  0.070  0.009  0.029  0.009  0.000  0.000  0.000  0.000  0.000  0.118
   1.79635      0.030110  0.075  0.008  0.028  0.008  0.000  0.000  0.000  0.000  0.000  0.119
   1.85201     -0.187371  0.080  0.006  0.027  0.006  0.000  0.000  0.000  0.000  0.000  0.120
   1.90768     -0.383049  0.083  0.005  0.027  0.005  0.000  0.000  0.000  0.000  0.000  0.121
   1.96334     -0.556497  0.087  0.004  0.028  0.004  0.000  0.000  0.000  0.000  0.000  0.122
   2.01901     -0.707383  0.089  0.003  0.027  0.003  0.000  0.000  0.000  0.000  0.000  0.122
   2.07467     -0.835446  0.091  0.002  0.027  0.002  0.000  0.000  0.000  0.000  0.000  0.122
   2.13034     -0.940482  0.093  0.001  0.027  0.001  0.000  0.000  0.000  0.000  0.000  0.123
   2.18601     -1.022330  0.094  0.001  0.027  0.001  0.000  0.000  0.000  0.000  0.000  0.123
   2.24167     -1.080875  0.096  0.000  0.027  0.000  0.000  0.000  0.000  0.000  0.000  0.123
   2.29734     -1.116034  0.096  0.000  0.028  0.000  0.000  0.000  0.000  0.000  0.000  0.123
   2.35300     -1.127759  0.096  0.000  0.027  0.000  0.000  0.000  0.000  0.000  0.000  0.123
   2.35300     -1.127759  0.096  0.000  0.027  0.000  0.000  0.000  0.000  0.000  0.000  0.124
   2.39237     -1.345236  0.100  0.000  0.024  0.000  0.000  0.000  0.000  0.000  0.000  0.124
   2.43173     -1.551667  0.102  0.000  0.022  0.000  0.000  0.000  0.000  0.000  0.000  0.124
   2.47109     -1.746926  0.106  0.000  0.020  0.000  0.000  0.000  0.000  0.000  0.000  0.124
   2.51045     -1.930892  0.108  0.000  0.016  0.000  0.000  0.000  0.000  0.000  0.000  0.124
   2.54981     -2.103460  0.110  0.000  0.014  0.000  0.000  0.000  0.000  0.000  0.000  0.126
   2.58917     -2.264531  0.112  0.000  0.012  0.000  0.000  0.000  0.000  0.000  0.000  0.126
   2.62854     -2.414019  0.114  0.000  0.010  0.000  0.000  0.000  0.000  0.000  0.000  0.126
   2.66790     -2.551836  0.116  0.000  0.010  0.000  0.000  0.000  0.000  0.000  0.000  0.126
   2.70726     -2.677911  0.118  0.000  0.008  0.000  0.000  0.000  0.000  0.000  0.000  0.126
   2.74662     -2.792177  0.120  0.000  0.006  0.000  0.000  0.000  0.000  0.000  0.000  0.126
   2.78598     -2.894576  0.122  0.000  0.004  0.000  0.000  0.000  0.000  0.000  0.000  0.126
   2.82534     -2.985050  0.122  0.000  0.004  0.000  0.000  0.000  0.000  0.000  0.000  0.126
   2.86471     -3.063555  0.124  0.000  0.002  0.000  0.000  0.000  0.000  0.000  0.000  0.126
   2.90407     -3.130051  0.124  0.000  0.002  0.000  0.000  0.000  0.000  0.000  0.000  0.126
   2.94343     -3.184503  0.126  0.000  0.002  0.000  0.000  0.000  0.000  0.000  0.000  0.126
   2.98279     -3.226883  0.126  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.126
