#K-Path(1/A)         Spin-Up(eV)   Spin-down(eV)
# NKPTS & NBANDS: 120 128
# Band-Index    1
   0.00000    -12.673784    -12.673712
   0.04139    -12.672478    -12.672406
   0.08277    -12.668584    -12.668512
   0.12416    -12.662152    -12.662080
   0.16555    -12.653278    -12.653206
   0.20694    -12.642101    -12.642029
   0.24832    -12.628780    -12.628708
   0.28971    -12.613515    -12.613443
   0.33110    -12.596537    -12.596465
   0.37248    -12.578099    -12.578026
   0.41387    -12.558477    -12.558404
   0.45526    -12.537965    -12.537891
   0.49664    -12.516870    -12.516796
   0.53803    -12.495504    -12.495430
   0.57942    -12.474172    -12.474097
   0.62081    -12.453178    -12.453103
   0.66219    -12.432804    -12.432729
   0.70358    -12.413314    -12.413238
   0.74497    -12.394945    -12.394869
   0.78635    -12.377897    -12.377820
   0.78635    -12.377897    -12.377820
   0.80428    -12.382007    -12.381931
   0.82220    -12.386158    -12.386082
   0.84012    -12.390324    -12.390248
   0.85804    -12.394484    -12.394408
   0.87596    -12.398619    -12.398543
   0.89388    -12.402703    -12.402627
   0.91180    -12.406718    -12.406642
   0.92972    -12.410645    -12.410569
   0.94764    -12.414467    -12.414392
   0.96557    -12.418159    -12.418084
   0.98349    -12.421708    -12.421633
   1.00141    -12.425095    -12.425020
   1.01933    -12.428305    -12.428230
   1.03725    -12.431326    -12.431250
   1.05517    -12.434141    -12.434066
   1.07309    -12.436738    -12.436663
   1.09101    -12.439105    -12.439030
   1.10893    -12.441233    -12.441158
   1.12686    -12.443110    -12.443035
   1.12686    -12.443110    -12.443035
   1.18062    -12.447162    -12.447087
   1.23438    -12.448728    -12.448653
   1.28815    -12.447725    -12.447650
   1.34191    -12.444169    -12.444094
   1.39567    -12.438162    -12.438087
   1.44944    -12.429890    -12.429815
   1.50320    -12.443185    -12.443110
   1.55696    -12.469307    -12.469232
   1.61073    -12.496428    -12.496354
   1.66449    -12.523810    -12.523737
   1.71825    -12.550711    -12.550638
   1.77202    -12.576400    -12.576327
   1.82578    -12.600193    -12.600120
   1.87954    -12.621461    -12.621389
   1.93331    -12.639653    -12.639581
   1.98707    -12.654300    -12.654229
   2.04083    -12.665039    -12.664967
   2.09460    -12.671583    -12.671512
   2.14836    -12.673784    -12.673712
