#K-Path          Energy     s     py     pz     px    dxy    dyz    dz2    dxz  x2-y2    tot
# NKPTS & NBANDS: 120 128
# Band-Index    1
   0.00000    -12.673712  0.004  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.004
   0.04139    -12.672406  0.004  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.004
   0.08277    -12.668512  0.004  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.004
   0.12416    -12.662080  0.004  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.004
   0.16555    -12.653206  0.004  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.004
   0.20694    -12.642029  0.004  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.004
   0.24832    -12.628708  0.004  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.004
   0.28971    -12.613443  0.004  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.004
   0.33110    -12.596465  0.004  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.004
   0.37248    -12.578026  0.004  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.004
   0.41387    -12.558404  0.004  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.004
   0.45526    -12.537891  0.004  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.004
   0.49664    -12.516796  0.004  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.004
   0.53803    -12.495430  0.004  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.004
   0.57942    -12.474097  0.004  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.004
   0.62081    -12.453103  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.004
   0.66219    -12.432729  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.004
   0.70358    -12.413238  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.004
   0.74497    -12.394869  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
   0.78635    -12.377820  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
   0.78635    -12.377820  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
   0.80428    -12.381931  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
   0.82220    -12.386082  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
   0.84012    -12.390248  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
   0.85804    -12.394408  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
   0.87596    -12.398543  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
   0.89388    -12.402627  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
   0.91180    -12.406642  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
   0.92972    -12.410569  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.004
   0.94764    -12.414392  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.004
   0.96557    -12.418084  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.004
   0.98349    -12.421633  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.004
   1.00141    -12.425020  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.004
   1.01933    -12.428230  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.004
   1.03725    -12.431250  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.004
   1.05517    -12.434066  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.004
   1.07309    -12.436663  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.004
   1.09101    -12.439030  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.004
   1.10893    -12.441158  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.004
   1.12686    -12.443035  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.004
