#K-Path(1/A)         Spin-Up(eV)   Spin-down(eV)
# NKPTS & NBANDS: 120 128
# Band-Index    1
   0.00000     -9.057830     -9.076405
   0.06660     -9.039620     -9.058181
   0.13320     -8.985098     -9.003613
   0.19979     -8.894594     -8.913003
   0.26639     -8.768662     -8.786876
   0.33299     -8.608128     -8.625993
   0.39959     -8.414046     -8.431334
   0.46618     -8.187805     -8.204159
   0.53278     -7.931132     -7.946039
   0.59938     -7.646172     -7.658883
   0.66598     -7.335621     -7.345073
   0.73257     -7.002801     -7.007501
   0.79917     -6.651848     -6.649714
   0.86577     -6.287937     -6.276107
   0.93237     -5.917438     -5.892057
   0.99896     -5.548141     -5.504169
   1.06556     -5.189254     -5.120376
   1.13216     -4.851065     -4.749883
   1.19876     -4.544160     -4.402780
   1.26535     -4.278187     -4.089270
   1.26535     -4.278187     -4.089270
   1.29419     -4.342168     -4.164735
   1.32303     -4.411776     -4.243660
   1.35187     -4.485616     -4.325022
   1.38070     -4.562368     -4.407859
   1.40954     -4.640821     -4.491271
   1.43838     -4.719917     -4.574450
   1.46722     -4.798738     -4.656675
   1.49605     -4.876497     -4.737306
   1.52489     -4.952507     -4.815766
   1.55373     -5.026182     -4.891551
   1.58257     -5.097023     -4.964222
   1.61140     -5.164591     -5.033391
   1.64024     -5.228512     -5.098715
   1.66908     -5.288458     -5.159898
   1.69792     -5.344146     -5.216672
   1.72675     -5.395338     -5.268817
   1.75559     -5.441820     -5.316132
   1.78443     -5.483421     -5.358458
   1.81327     -5.519978     -5.395636
   1.81327     -5.519978     -5.395636
   1.89978     -5.598301     -5.475252
   1.98629     -5.628197     -5.505638
   2.07280     -5.609349     -5.486455
   2.15932     -5.543290     -5.419090
   2.24583     -5.433765     -5.306960
   2.33234     -5.287452     -5.156114
   2.41886     -5.475926     -5.381903
   2.50537     -5.888271     -5.838373
   2.59188     -6.332210     -6.310690
   2.67839     -6.781784     -6.777491
   2.76491     -7.216648     -7.222490
   2.85142     -7.622097     -7.633779
   2.93793     -7.987773     -8.002752
   3.02444     -8.306396     -8.323189
   3.11096     -8.572780     -8.590533
   3.19747     -8.783252     -8.801487
   3.28398     -8.935263     -8.953724
   3.37050     -9.027112     -9.045663
   3.45701     -9.057830     -9.076405
   3.45701     -9.057830     -9.076405
   3.53857     -9.030523     -9.049076
   3.62014     -8.948856     -8.967329
   3.70170     -8.813607     -8.831879
   3.78327     -8.626195     -8.644037
   3.86483     -8.388706     -8.405688
   3.94640     -8.104245     -8.119596
   4.02796     -7.777175     -7.789543
   4.10953     -7.413778     -7.420827
   4.19109     -7.023146     -7.020888
   4.27266     -6.618419     -6.600206
   4.35422     -6.218285     -6.173611
   4.43579     -5.847000     -5.761112
   4.51735     -5.530455     -5.387124
   4.59892     -5.286435     -5.075120
   4.68048     -5.116281     -4.838598
   4.76205     -5.007447     -4.675821
   4.84361     -4.943259     -4.574321
   4.92518     -4.910159     -4.519980
   5.00674     -4.900011     -4.502995
   5.00674     -4.900011     -4.502995
   5.04004     -4.900136     -4.503817
   5.07334     -4.900538     -4.506317
   5.10664     -4.901300     -4.510607
   5.13994     -4.902559     -4.516875
   5.17324     -4.904511     -4.525375
   5.20653     -4.907409     -4.536440
   5.23983     -4.911571     -4.550463
   5.27313     -4.917378     -4.567903
   5.30643     -4.925264     -4.589260
   5.33973     -4.935732     -4.615061
   5.37303     -4.949330     -4.645825
   5.40633     -4.966642     -4.682033
   5.43963     -4.988266     -4.724079
   5.47292     -5.014772     -4.772216
   5.50622     -5.046650     -4.826507
   5.53952     -5.084272     -4.886802
   5.57282     -5.127820     -4.952721
   5.60612     -5.177242     -5.023645
   5.63942     -5.232226     -5.098772
   5.63942     -5.232226     -5.098772
   5.67272     -5.228705     -5.095209
   5.70602     -5.218166     -5.084544
   5.73931     -5.200681     -5.066841
   5.77261     -5.176368     -5.042211
   5.80591     -5.145398     -5.010808
   5.83921     -5.107997     -4.972840
   5.87251     -5.064451     -4.928566
   5.90581     -5.015103     -4.878294
   5.93911     -4.960375     -4.822402
   5.97241     -4.900758     -4.761319
   6.00570     -4.836841     -4.695562
   6.03900     -4.769305     -4.625711
   6.07230     -4.698943     -4.552431
   6.10560     -4.626676     -4.476482
   6.13890     -4.553555     -4.398705
   6.17220     -4.480776     -4.320041
   6.20550     -4.409664     -4.241513
   6.23880     -4.341648     -4.164213
   6.27209     -4.278187     -4.089270
 
# Band-Index    2
   6.27209     -4.278187     -4.089270
   6.23880     -4.341648     -4.164213
   6.20550     -4.409664     -4.241513
   6.17220     -4.480776     -4.320041
   6.13890     -4.553555     -4.398705
   6.10560     -4.626676     -4.476482
   6.07230     -4.698943     -4.552431
   6.03900     -4.769305     -4.625711
   6.00570     -4.836841     -4.695562
   5.97241     -4.900758     -4.761319
   5.93911     -4.960375     -4.822402
   5.90581     -5.015103     -4.878294
   5.87251     -5.064451     -4.928566
   5.83921     -5.107997     -4.972840
   5.80591     -5.145398     -5.010808
