#K-Path          Energy     s     py     pz     px    dxy    dyz    dz2    dxz  x2-y2    tot
# NKPTS & NBANDS: 120 128
# Band-Index    1
   0.00000     -9.076405  0.732  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.732
   0.06660     -9.058181  0.732  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.732
   0.13320     -9.003613  0.728  0.000  0.004  0.004  0.000  0.000  0.000  0.000  0.000  0.732
   0.19979     -8.913003  0.724  0.000  0.004  0.004  0.000  0.000  0.000  0.000  0.000  0.732
   0.26639     -8.786876  0.712  0.000  0.008  0.008  0.000  0.000  0.000  0.000  0.000  0.732
   0.33299     -8.625993  0.704  0.000  0.016  0.016  0.000  0.000  0.000  0.000  0.000  0.736
   0.39959     -8.431334  0.688  0.000  0.020  0.020  0.000  0.000  0.000  0.000  0.000  0.736
   0.46618     -8.204159  0.672  0.000  0.028  0.028  0.000  0.000  0.000  0.004  0.000  0.736
   0.53278     -7.946039  0.656  0.000  0.036  0.036  0.000  0.000  0.000  0.004  0.000  0.736
   0.59938     -7.658883  0.632  0.000  0.044  0.044  0.000  0.000  0.000  0.008  0.000  0.736
   0.66598     -7.345073  0.608  0.000  0.056  0.056  0.000  0.000  0.000  0.016  0.004  0.740
   0.73257     -7.007501  0.584  0.000  0.064  0.064  0.000  0.000  0.000  0.020  0.004  0.740
   0.79917     -6.649714  0.556  0.000  0.076  0.076  0.000  0.000  0.000  0.032  0.004  0.744
   0.86577     -6.276107  0.524  0.000  0.084  0.084  0.000  0.000  0.004  0.044  0.008  0.744
   0.93237     -5.892057  0.488  0.000  0.092  0.092  0.000  0.000  0.004  0.064  0.012  0.752
   0.99896     -5.504169  0.448  0.000  0.100  0.100  0.000  0.000  0.004  0.088  0.016  0.756
   1.06556     -5.120376  0.404  0.000  0.104  0.104  0.000  0.000  0.008  0.120  0.020  0.764
   1.13216     -4.749883  0.360  0.000  0.108  0.108  0.000  0.000  0.008  0.164  0.024  0.776
   1.19876     -4.402780  0.312  0.000  0.112  0.112  0.000  0.000  0.008  0.216  0.028  0.788
   1.26535     -4.089270  0.262  0.000  0.109  0.109  0.000  0.000  0.011  0.278  0.032  0.803
   1.26535     -4.089270  0.263  0.000  0.110  0.110  0.000  0.000  0.011  0.278  0.032  0.803
   1.29419     -4.164735  0.276  0.000  0.108  0.108  0.000  0.000  0.012  0.260  0.032  0.800
   1.32303     -4.243660  0.284  0.000  0.108  0.108  0.004  0.004  0.008  0.244  0.028  0.796
   1.35187     -4.325022  0.296  0.000  0.108  0.108  0.008  0.008  0.008  0.232  0.028  0.792
   1.38070     -4.407859  0.308  0.000  0.108  0.108  0.012  0.012  0.008  0.216  0.028  0.792
   1.40954     -4.491271  0.316  0.000  0.104  0.104  0.016  0.016  0.008  0.204  0.024  0.792
   1.43838     -4.574450  0.328  0.000  0.100  0.100  0.020  0.020  0.008  0.192  0.024  0.788
   1.46722     -4.656675  0.336  0.000  0.100  0.100  0.024  0.024  0.008  0.180  0.020  0.788
   1.49605     -4.737306  0.344  0.000  0.096  0.096  0.028  0.028  0.008  0.168  0.020  0.788
   1.52489     -4.815766  0.352  0.000  0.092  0.092  0.032  0.032  0.004  0.160  0.016  0.788
   1.55373     -4.891551  0.360  0.004  0.092  0.092  0.036  0.036  0.004  0.148  0.016  0.788
   1.58257     -4.964222  0.368  0.004  0.088  0.088  0.040  0.040  0.004  0.140  0.012  0.788
   1.61140     -5.033391  0.376  0.004  0.084  0.084  0.044  0.044  0.004  0.136  0.012  0.788
   1.64024     -5.098715  0.380  0.004  0.080  0.080  0.048  0.048  0.004  0.128  0.012  0.788
   1.66908     -5.159898  0.388  0.008  0.076  0.076  0.052  0.052  0.004  0.120  0.008  0.788
   1.69792     -5.216672  0.392  0.008  0.076  0.076  0.056  0.056  0.004  0.116  0.008  0.788
   1.72675     -5.268817  0.396  0.012  0.072  0.072  0.060  0.060  0.004  0.112  0.008  0.788
   1.75559     -5.316132  0.400  0.012  0.068  0.068  0.060  0.060  0.000  0.104  0.004  0.788
   1.78443     -5.358458  0.404  0.016  0.064  0.064  0.064  0.064  0.000  0.100  0.004  0.788
   1.81327     -5.395636  0.408  0.020  0.064  0.064  0.068  0.068  0.000  0.096  0.004  0.788
