#K-Path          Energy     s     py     pz     px    dxy    dyz    dz2    dxz  x2-y2    tot
# NKPTS & NBANDS: 120 128
# Band-Index    1
   0.00000     -9.057830  0.732  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.732
   0.06660     -9.039620  0.732  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.732
   0.13320     -8.985098  0.728  0.000  0.004  0.004  0.000  0.000  0.000  0.000  0.000  0.732
   0.19979     -8.894594  0.720  0.000  0.004  0.004  0.000  0.000  0.000  0.000  0.000  0.732
   0.26639     -8.768662  0.712  0.000  0.008  0.008  0.000  0.000  0.000  0.000  0.000  0.732
   0.33299     -8.608128  0.700  0.000  0.016  0.016  0.000  0.000  0.000  0.000  0.000  0.732
   0.39959     -8.414046  0.688  0.000  0.020  0.020  0.000  0.000  0.000  0.000  0.000  0.732
   0.46618     -8.187805  0.672  0.000  0.028  0.028  0.000  0.000  0.000  0.004  0.000  0.736
   0.53278     -7.931132  0.652  0.000  0.036  0.036  0.000  0.000  0.000  0.008  0.000  0.736
   0.59938     -7.646172  0.632  0.000  0.044  0.044  0.000  0.000  0.000  0.012  0.000  0.736
   0.66598     -7.335621  0.608  0.000  0.056  0.056  0.000  0.000  0.000  0.016  0.004  0.740
   0.73257     -7.002801  0.580  0.000  0.064  0.064  0.000  0.000  0.000  0.024  0.004  0.740
   0.79917     -6.651848  0.552  0.000  0.072  0.072  0.000  0.000  0.004  0.040  0.008  0.744
   0.86577     -6.287937  0.516  0.000  0.080  0.080  0.000  0.000  0.004  0.056  0.008  0.748
   0.93237     -5.917438  0.480  0.000  0.088  0.088  0.000  0.000  0.004  0.080  0.012  0.752
   0.99896     -5.548141  0.436  0.000  0.096  0.096  0.000  0.000  0.004  0.112  0.016  0.760
   1.06556     -5.189254  0.392  0.000  0.100  0.100  0.000  0.000  0.008  0.152  0.020  0.772
   1.13216     -4.851065  0.344  0.000  0.100  0.100  0.000  0.000  0.008  0.208  0.024  0.784
   1.19876     -4.544160  0.292  0.000  0.100  0.100  0.000  0.000  0.008  0.272  0.024  0.800
   1.26535     -4.278187  0.243  0.000  0.096  0.096  0.000  0.000  0.009  0.351  0.026  0.820
   1.26535     -4.278187  0.242  0.000  0.097  0.097  0.000  0.000  0.009  0.351  0.027  0.820
   1.29419     -4.342168  0.252  0.000  0.096  0.096  0.000  0.000  0.008  0.332  0.024  0.816
   1.32303     -4.411776  0.264  0.000  0.096  0.096  0.004  0.004  0.008  0.308  0.024  0.812
