#K-Path(1/A)         Spin-Up(eV)   Spin-down(eV)
# NKPTS & NBANDS: 120 128
# Band-Index    1
   0.00000    -11.865320    -11.865307
   0.04276    -11.859348    -11.859335
   0.08552    -11.841459    -11.841446
   0.12828    -11.811685    -11.811671
   0.17104    -11.770069    -11.770056
   0.21380    -11.716686    -11.716673
   0.25656    -11.651626    -11.651613
   0.29932    -11.575019    -11.575006
   0.34208    -11.487005    -11.486992
   0.38484    -11.387776    -11.387763
   0.42760    -11.277543    -11.277530
   0.47036    -11.156574    -11.156561
   0.51312    -11.025190    -11.025177
   0.55588    -10.883762    -10.883749
   0.59864    -10.732757    -10.732744
   0.64139    -10.572716    -10.572704
   0.68415    -10.404312    -10.404299
   0.72691    -10.228338    -10.228326
   0.76967    -10.045760    -10.045748
   0.81243     -9.857770     -9.857758
   0.81243     -9.857770     -9.857758
   0.83095     -9.904788     -9.904776
   0.84946     -9.950619     -9.950607
   0.86798     -9.995141     -9.995128
   0.88650    -10.038238    -10.038226
   0.90501    -10.079814    -10.079802
   0.92353    -10.119788    -10.119776
   0.94204    -10.158089    -10.158076
   0.96056    -10.194644    -10.194632
   0.97907    -10.229402    -10.229389
   0.99759    -10.262311    -10.262298
   1.01610    -10.293326    -10.293314
   1.03462    -10.322409    -10.322396
   1.05313    -10.349526    -10.349513
   1.07165    -10.374641    -10.374629
   1.09017    -10.397728    -10.397715
   1.10868    -10.418766    -10.418753
   1.12720    -10.437729    -10.437717
   1.14571    -10.454600    -10.454587
   1.16423    -10.469359    -10.469347
   1.16423    -10.469359    -10.469347
   1.21977    -10.500825    -10.500813
   1.27532    -10.512828    -10.512815
   1.33087    -10.505143    -10.505130
   1.38641    -10.477633    -10.477621
   1.44196    -10.430238    -10.430225
   1.49751    -10.362942    -10.362930
   1.55305    -10.481742    -10.481730
   1.60860    -10.691078    -10.691066
   1.66415    -10.887055    -10.887042
   1.71969    -11.067739    -11.067726
   1.77524    -11.231759    -11.231746
   1.83078    -11.378126    -11.378113
   1.88633    -11.506104    -11.506091
   1.94188    -11.615146    -11.615133
   1.99742    -11.704846    -11.704833
   2.05297    -11.774896    -11.774883
   2.10852    -11.825077    -11.825064
   2.16406    -11.855246    -11.855233
   2.21961    -11.865320    -11.865307
   2.21961    -11.865320    -11.865307
   2.27198    -11.856365    -11.856352
   2.32435    -11.829552    -11.829538
   2.37672    -11.784951    -11.784938
   2.42909    -11.722705    -11.722692
   2.48146    -11.643015    -11.643002
   2.53383    -11.546179    -11.546165
   2.58620    -11.432578    -11.432565
   2.63857    -11.302757    -11.302744
   2.69094    -11.157433    -11.157420
   2.74331    -10.997599    -10.997586
   2.79568    -10.824636    -10.824623
   2.84805    -10.640518    -10.640506
   2.90042    -10.448131    -10.448118
   2.95278    -10.251791    -10.251778
   3.00515    -10.058127    -10.058115
   3.05752     -9.877279     -9.877267
   3.10989     -9.724288     -9.724276
   3.16226     -9.618991     -9.618979
   3.21463     -9.580997     -9.580985
   3.21463     -9.580997     -9.580985
   3.23601     -9.584802     -9.584790
   3.25739     -9.596094     -9.596082
   3.27877     -9.614519     -9.614507
   3.30015     -9.639532     -9.639520
   3.32153     -9.670446     -9.670434
   3.34291     -9.706487     -9.706476
   3.36429     -9.746851     -9.746839
   3.38567     -9.790744     -9.790732
   3.40705     -9.837415     -9.837403
   3.42843     -9.886170     -9.886158
   3.44981     -9.936380     -9.936368
   3.47119     -9.987483     -9.987471
   3.49257    -10.038993    -10.038981
   3.51395    -10.090479    -10.090467
   3.53533    -10.141566    -10.141554
   3.55671    -10.191938    -10.191926
   3.57809    -10.241304    -10.241291
   3.59947    -10.289426    -10.289413
   3.62085    -10.336099    -10.336087
   3.62085    -10.336099    -10.336087
   3.64223    -10.334709    -10.334696
   3.66361    -10.330553    -10.330541
   3.68499    -10.323633    -10.323621
   3.70637    -10.313956    -10.313943
   3.72775    -10.301534    -10.301522
   3.74913    -10.286386    -10.286374
   3.77051    -10.268529    -10.268517
   3.79189    -10.247989    -10.247977
   3.81327    -10.224793    -10.224780
   3.83465    -10.198976    -10.198963
   3.85603    -10.170577    -10.170565
   3.87741    -10.139642    -10.139630
   3.89879    -10.106225    -10.106212
   3.92017    -10.070387    -10.070375
   3.94155    -10.032199    -10.032187
   3.96293     -9.991739     -9.991727
   3.98431     -9.949109     -9.949097
   4.00569     -9.904411     -9.904399
   4.02707     -9.857770     -9.857758
 
# Band-Index    2
   4.02707     -9.857770     -9.857758
   4.00569     -9.904411     -9.904399
   3.98431     -9.949109     -9.949097
   3.96293     -9.991739     -9.991727
   3.94155    -10.032199    -10.032187
   3.92017    -10.070387    -10.070375
   3.89879    -10.106225    -10.106212
   3.87741    -10.139642    -10.139630
   3.85603    -10.170577    -10.170565
   3.83465    -10.198976    -10.198963
   3.81327    -10.224793    -10.224780
   3.79189    -10.247989    -10.247977
   3.77051    -10.268529    -10.268517
   3.74913    -10.286386    -10.286374
   3.72775    -10.301534    -10.301522
   3.70637    -10.313956    -10.313943
   3.68499    -10.323633    -10.323621
   3.66361    -10.330553    -10.330541
   3.64223    -10.334709    -10.334696
   3.62085    -10.336099    -10.336087
   3.62085    -10.336099    -10.336087
   3.59947    -10.289426    -10.289413
   3.57809    -10.241304    -10.241291
   3.55671    -10.191938    -10.191926
   3.53533    -10.141566    -10.141554
   3.51395    -10.090479    -10.090467
   3.49257    -10.038993    -10.038981
   3.47119     -9.987483     -9.987471
   3.44981     -9.936380     -9.936368
   3.42843     -9.886170     -9.886158
   3.40705     -9.837415     -9.837403
   3.38567     -9.790744     -9.790732
   3.36429     -9.746851     -9.746839
   3.34291     -9.706487     -9.706476
   3.32153     -9.670446     -9.670434
   3.30015     -9.639532     -9.639520
   3.27877     -9.614519     -9.614507
   3.25739     -9.596094     -9.596082
   3.23601     -9.584802     -9.584790
   3.21463     -9.580997     -9.580985
   3.21463     -9.580997     -9.580985
   3.16226     -9.577333     -9.577322
   3.10989     -9.566240     -9.566229
   3.05752     -9.547408     -9.547397
   3.00515     -9.520356     -9.520345
   2.95278     -9.484496     -9.484484
   2.90042     -9.439159     -9.439147
   2.84805     -9.383670     -9.383659
   2.79568     -9.317376     -9.317365
   2.74331     -9.239692     -9.239680
   2.69094     -9.150116     -9.150104
   2.63857     -9.048249     -9.048237
   2.58620     -8.933818     -8.933806
   2.53383     -8.806671     -8.806659
   2.48146     -8.666813     -8.666802
   2.42909     -8.514413     -8.514402
   2.37672     -8.349826     -8.349814
   2.32435     -8.173666     -8.173655
   2.27198     -7.986845     -7.986834
   2.21961     -7.790706     -7.790695
   2.21961     -7.790706     -7.790695
   2.16406     -8.085536     -8.085525
   2.10852     -8.368015     -8.368004
   2.05297     -8.636474     -8.636463
   1.99742     -8.889635     -8.889623
   1.94188     -9.126470     -9.126458
   1.88633     -9.346182     -9.346170
   1.83078     -9.548121     -9.548109
   1.77524     -9.731753     -9.731741
   1.71969     -9.896651     -9.896639
   1.66415    -10.042465    -10.042453
   1.60860    -10.168922    -10.168910
   1.55305    -10.275799    -10.275786
   1.49751    -10.261845    -10.261833
   1.44196    -10.035580    -10.035568
   1.38641     -9.809379     -9.809367
   1.33087     -9.593261     -9.593249
   1.27532     -9.431608     -9.431597
   1.21977     -9.517331     -9.517319
   1.16423     -9.597199     -9.597187
   1.16423     -9.597199     -9.597187
   1.14571     -9.622138     -9.622126
   1.12720     -9.646113     -9.646101
   1.10868     -9.669055     -9.669043
   1.09017     -9.690902     -9.690890
   1.07165     -9.711599     -9.711587
   1.05313     -9.731085     -9.731073
   1.03462     -9.749319     -9.749307
   1.01610     -9.766250     -9.766238
   0.99759     -9.781840     -9.781828
   0.97907     -9.796055     -9.796043
   0.96056     -9.808858     -9.808846
   0.94204     -9.820221     -9.820209
   0.92353     -9.830122     -9.830109
   0.90501     -9.838533     -9.838521
   0.88650     -9.845441     -9.845429
   0.86798     -9.850828     -9.850816
   0.84946     -9.854684     -9.854672
   0.83095     -9.857000     -9.856988
   0.81243     -9.857770     -9.857758
   0.81243     -9.857770     -9.857758
   0.76967     -9.851717     -9.851705
   0.72691     -9.833555     -9.833543
   0.68415     -9.803312     -9.803300
   0.64139     -9.761026     -9.761014
   0.59864     -9.706760     -9.706747
   0.55588     -9.640592     -9.640580
   0.51312     -9.562617     -9.562605
   0.47036     -9.472960     -9.472948
   0.42760     -9.371774     -9.371762
   0.38484     -9.259235     -9.259223
   0.34208     -9.135560     -9.135548
   0.29932     -9.001010     -9.000998
   0.25656     -8.855892     -8.855880
   0.21380     -8.700580     -8.700568
   0.17104     -8.535522     -8.535511
   0.12828     -8.361268     -8.361256
   0.08552     -8.178469     -8.178458
   0.04276     -7.987951     -7.987940
   0.00000     -7.790706     -7.790695
 
# Band-Index    3
   0.00000     -7.790706     -7.790695
   0.04276     -7.987951     -7.987940
   0.08552     -8.178469     -8.178458
   0.12828     -8.361268     -8.361256
   0.17104     -8.535522     -8.535511
   0.21380     -8.700580     -8.700568
   0.25656     -8.855892     -8.855880
   0.29932     -9.001010     -9.000998
   0.34208     -9.135560     -9.135548
   0.38484     -9.259235     -9.259223
   0.42760     -9.371774     -9.371762
   0.47036     -9.472960     -9.472948
   0.51312     -9.562617     -9.562605
   0.55588     -9.640592     -9.640580
   0.59864     -9.706760     -9.706747
   0.64139     -9.761026     -9.761014
   0.68415     -9.803312     -9.803300
   0.72691     -9.833555     -9.833543
   0.76967     -9.851717     -9.851705
   0.81243     -9.857770     -9.857758
