#K-Path          Energy     s     py     pz     px    dxy    dyz    dz2    dxz  x2-y2    tot
# NKPTS & NBANDS: 120 128
# Band-Index    1
   0.00000    -11.865307  0.424  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.424
   0.04276    -11.859335  0.424  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.424
   0.08552    -11.841446  0.424  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.424
   0.12828    -11.811671  0.424  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.424
   0.17104    -11.770056  0.424  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.424
   0.21380    -11.716673  0.424  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.424
   0.25656    -11.651613  0.424  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.424
   0.29932    -11.575006  0.424  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.424
   0.34208    -11.486992  0.416  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.424
   0.38484    -11.387763  0.416  0.000  0.008  0.008  0.000  0.000  0.000  0.000  0.000  0.432
   0.42760    -11.277530  0.416  0.000  0.008  0.008  0.000  0.000  0.000  0.000  0.000  0.432
   0.47036    -11.156561  0.416  0.000  0.008  0.008  0.000  0.000  0.000  0.000  0.000  0.432
   0.51312    -11.025177  0.416  0.000  0.008  0.008  0.000  0.000  0.000  0.000  0.000  0.432
   0.55588    -10.883749  0.416  0.000  0.008  0.008  0.000  0.000  0.000  0.000  0.000  0.432
   0.59864    -10.732744  0.416  0.000  0.008  0.008  0.000  0.000  0.000  0.000  0.000  0.440
   0.64139    -10.572704  0.416  0.000  0.016  0.016  0.000  0.000  0.000  0.000  0.000  0.440
   0.68415    -10.404299  0.416  0.000  0.016  0.016  0.000  0.000  0.000  0.000  0.000  0.440
   0.72691    -10.228326  0.416  0.000  0.016  0.016  0.000  0.000  0.000  0.000  0.000  0.448
   0.76967    -10.045748  0.416  0.000  0.016  0.016  0.000  0.000  0.000  0.000  0.000  0.448
   0.81243     -9.857758  0.416  0.004  0.015  0.015  0.000  0.000  0.000  0.000  0.000  0.454
   0.81243     -9.857758  0.416  0.004  0.017  0.017  0.000  0.000  0.000  0.000  0.000  0.454
   0.83095     -9.904776  0.416  0.008  0.016  0.016  0.000  0.000  0.000  0.000  0.000  0.456
   0.84946     -9.950607  0.416  0.000  0.016  0.016  0.000  0.000  0.000  0.000  0.000  0.448
   0.86798     -9.995128  0.416  0.000  0.016  0.016  0.000  0.000  0.000  0.000  0.000  0.448
   0.88650    -10.038226  0.416  0.000  0.016  0.016  0.000  0.000  0.000  0.000  0.000  0.448
   0.90501    -10.079802  0.416  0.000  0.016  0.016  0.000  0.000  0.000  0.000  0.000  0.448
   0.92353    -10.119776  0.416  0.000  0.016  0.016  0.000  0.000  0.000  0.000  0.000  0.448
   0.94204    -10.158076  0.416  0.000  0.016  0.016  0.000  0.000  0.000  0.000  0.000  0.448
   0.96056    -10.194632  0.416  0.000  0.016  0.016  0.000  0.000  0.000  0.000  0.000  0.448
   0.97907    -10.229389  0.416  0.000  0.016  0.016  0.000  0.000  0.000  0.000  0.000  0.448
   0.99759    -10.262298  0.416  0.000  0.016  0.016  0.000  0.000  0.000  0.000  0.000  0.448
   1.01610    -10.293314  0.416  0.000  0.016  0.016  0.000  0.000  0.000  0.000  0.000  0.448
   1.03462    -10.322396  0.416  0.000  0.016  0.016  0.000  0.000  0.000  0.000  0.000  0.448
   1.05313    -10.349513  0.416  0.000  0.016  0.016  0.000  0.000  0.000  0.000  0.000  0.448
   1.07165    -10.374629  0.416  0.000  0.016  0.016  0.000  0.000  0.000  0.000  0.000  0.448
   1.09017    -10.397715  0.416  0.000  0.008  0.008  0.000  0.000  0.000  0.000  0.000  0.448
   1.10868    -10.418753  0.416  0.000  0.008  0.008  0.000  0.000  0.000  0.000  0.000  0.448
   1.12720    -10.437717  0.416  0.008  0.008  0.008  0.000  0.000  0.000  0.000  0.000  0.440
   1.14571    -10.454587  0.416  0.008  0.008  0.008  0.000  0.000  0.000  0.000  0.000  0.440
   1.16423    -10.469347  0.416  0.008  0.008  0.008  0.000  0.000  0.000  0.000  0.000  0.440
   1.16423    -10.469347  0.416  0.008  0.008  0.008  0.000  0.000  0.000  0.000  0.000  0.440
   1.21977    -10.500813  0.416  0.008  0.008  0.008  0.000  0.000  0.000  0.000  0.000  0.440
   1.27532    -10.512815  0.416  0.008  0.008  0.008  0.000  0.000  0.000  0.000  0.000  0.440
   1.33087    -10.505130  0.416  0.008  0.008  0.008  0.000  0.000  0.000  0.000  0.000  0.440
   1.38641    -10.477621  0.416  0.008  0.016  0.008  0.000  0.000  0.000  0.000  0.000  0.440
   1.44196    -10.430225  0.416  0.008  0.016  0.008  0.000  0.000  0.000  0.000  0.000  0.440
   1.49751    -10.362930  0.416  0.008  0.016  0.008  0.000  0.000  0.000  0.000  0.000  0.448
   1.55305    -10.481730  0.416  0.008  0.016  0.008  0.000  0.000  0.000  0.000  0.000  0.440
   1.60860    -10.691066  0.416  0.000  0.016  0.000  0.000  0.000  0.000  0.000  0.000  0.440
   1.66415    -10.887042  0.416  0.000  0.016  0.000  0.000  0.000  0.000  0.000  0.000  0.432
   1.71969    -11.067726  0.416  0.000  0.008  0.000  0.000  0.000  0.000  0.000  0.000  0.432
   1.77524    -11.231746  0.416  0.000  0.008  0.000  0.000  0.000  0.000  0.000  0.000  0.432
   1.83078    -11.378113  0.416  0.000  0.008  0.000  0.000  0.000  0.000  0.000  0.000  0.432
   1.88633    -11.506091  0.416  0.000  0.008  0.000  0.000  0.000  0.000  0.000  0.000  0.424
   1.94188    -11.615133  0.424  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.424
   1.99742    -11.704833  0.424  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.424
   2.05297    -11.774883  0.424  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.424
   2.10852    -11.825064  0.424  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.424
   2.16406    -11.855233  0.424  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.424
   2.21961    -11.865307  0.424  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.424
   2.21961    -11.865307  0.424  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.424
   2.27198    -11.856352  0.424  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.424
   2.32435    -11.829538  0.424  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.424
   2.37672    -11.784938  0.424  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.424
   2.42909    -11.722692  0.424  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.424
   2.48146    -11.643002  0.424  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.424
   2.53383    -11.546165  0.424  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.424
   2.58620    -11.432565  0.416  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.432
   2.63857    -11.302744  0.416  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.432
   2.69094    -11.157420  0.416  0.008  0.008  0.008  0.000  0.000  0.000  0.000  0.000  0.432
   2.74331    -10.997586  0.416  0.008  0.008  0.008  0.000  0.000  0.000  0.000  0.000  0.432
   2.79568    -10.824623  0.416  0.008  0.008  0.008  0.000  0.000  0.000  0.000  0.000  0.440
   2.84805    -10.640506  0.416  0.008  0.008  0.008  0.000  0.000  0.000  0.000  0.000  0.440
   2.90042    -10.448118  0.416  0.008  0.008  0.008  0.000  0.000  0.000  0.000  0.000  0.448
   2.95278    -10.251778  0.424  0.008  0.008  0.008  0.000  0.000  0.000  0.000  0.000  0.448
   3.00515    -10.058115  0.424  0.008  0.008  0.008  0.000  0.000  0.000  0.000  0.000  0.456
   3.05752     -9.877267  0.432  0.008  0.008  0.008  0.000  0.000  0.000  0.000  0.000  0.464
   3.10989     -9.724276  0.440  0.008  0.008  0.008  0.000  0.000  0.000  0.000  0.000  0.464
   3.16226     -9.618979  0.440  0.008  0.008  0.008  0.000  0.000  0.000  0.000  0.000  0.472
   3.21463     -9.580985  0.447  0.009  0.009  0.009  0.000  0.000  0.000  0.000  0.000  0.472
   3.21463     -9.580985  0.447  0.007  0.007  0.007  0.000  0.000  0.000  0.000  0.000  0.473
   3.23601     -9.584790  0.448  0.008  0.008  0.008  0.000  0.000  0.000  0.000  0.000  0.472
   3.25739     -9.596082  0.448  0.008  0.008  0.008  0.000  0.000  0.000  0.000  0.000  0.472
   3.27877     -9.614507  0.444  0.008  0.008  0.008  0.000  0.000  0.000  0.000  0.000  0.472
   3.30015     -9.639520  0.440  0.010  0.010  0.008  0.000  0.000  0.000  0.000  0.000  0.470
   3.32153     -9.670434  0.440  0.008  0.008  0.012  0.000  0.000  0.000  0.000  0.000  0.468
   3.34291     -9.706476  0.438  0.008  0.008  0.010  0.000  0.000  0.000  0.000  0.000  0.468
   3.36429     -9.746839  0.434  0.008  0.008  0.012  0.000  0.000  0.000  0.000  0.000  0.464
   3.38567     -9.790732  0.432  0.008  0.008  0.012  0.000  0.000  0.000  0.000  0.000  0.464
   3.40705     -9.837403  0.430  0.008  0.008  0.012  0.000  0.000  0.000  0.000  0.000  0.462
   3.42843     -9.886158  0.430  0.008  0.008  0.012  0.000  0.000  0.000  0.000  0.000  0.458
   3.44981     -9.936368  0.428  0.006  0.006  0.014  0.000  0.000  0.000  0.000  0.000  0.458
   3.47119     -9.987471  0.426  0.008  0.008  0.016  0.000  0.000  0.000  0.000  0.000  0.452
   3.49257    -10.038981  0.424  0.006  0.006  0.016  0.000  0.000  0.000  0.000  0.000  0.454
   3.51395    -10.090467  0.422  0.006  0.006  0.018  0.000  0.000  0.000  0.000  0.000  0.450
   3.53533    -10.141554  0.420  0.004  0.004  0.020  0.000  0.000  0.000  0.000  0.000  0.452
   3.55671    -10.191926  0.418  0.008  0.008  0.020  0.000  0.000  0.000  0.000  0.000  0.448
   3.57809    -10.241291  0.420  0.008  0.008  0.020  0.000  0.000  0.000  0.000  0.000  0.448
   3.59947    -10.289413  0.416  0.004  0.004  0.020  0.000  0.000  0.000  0.000  0.000  0.448
   3.62085    -10.336087  0.416  0.004  0.004  0.020  0.000  0.000  0.000  0.000  0.000  0.446
   3.62085    -10.336087  0.416  0.004  0.004  0.018  0.000  0.000  0.000  0.000  0.000  0.446
   3.64223    -10.334696  0.416  0.004  0.004  0.020  0.000  0.000  0.000  0.000  0.000  0.444
   3.66361    -10.330541  0.416  0.004  0.008  0.020  0.000  0.000  0.000  0.000  0.000  0.444
   3.68499    -10.323621  0.416  0.002  0.008  0.020  0.000  0.000  0.000  0.000  0.000  0.444
   3.70637    -10.313943  0.416  0.004  0.004  0.020  0.000  0.000  0.000  0.000  0.000  0.444
   3.72775    -10.301522  0.416  0.004  0.006  0.020  0.000  0.000  0.000  0.000  0.000  0.444
   3.74913    -10.286374  0.416  0.004  0.006  0.020  0.000  0.000  0.000  0.000  0.000  0.444
   3.77051    -10.268517  0.416  0.002  0.008  0.020  0.000  0.000  0.000  0.000  0.000  0.448
   3.79189    -10.247977  0.416  0.004  0.008  0.020  0.000  0.000  0.000  0.000  0.000  0.446
   3.81327    -10.224780  0.416  0.002  0.008  0.018  0.000  0.000  0.000  0.000  0.000  0.448
   3.83465    -10.198963  0.416  0.004  0.010  0.020  0.000  0.000  0.000  0.000  0.000  0.448
   3.85603    -10.170565  0.416  0.004  0.010  0.020  0.000  0.000  0.000  0.000  0.000  0.448
   3.87741    -10.139630  0.416  0.004  0.012  0.020  0.000  0.000  0.000  0.000  0.000  0.448
   3.89879    -10.106212  0.416  0.002  0.012  0.016  0.000  0.000  0.000  0.000  0.000  0.448
