#K-Path          Energy     s     py     pz     px    dxy    dyz    dz2    dxz  x2-y2    tot
# NKPTS & NBANDS: 120 128
# Band-Index    1
   0.00000    -11.865320  0.424  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.424
   0.04276    -11.859348  0.424  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.424
   0.08552    -11.841459  0.424  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.424
   0.12828    -11.811685  0.424  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.424
   0.17104    -11.770069  0.424  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.424
   0.21380    -11.716686  0.424  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.424
   0.25656    -11.651626  0.424  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.424
   0.29932    -11.575019  0.424  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.424
   0.34208    -11.487005  0.416  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.424
   0.38484    -11.387776  0.416  0.000  0.008  0.008  0.000  0.000  0.000  0.000  0.000  0.432
   0.42760    -11.277543  0.416  0.000  0.008  0.008  0.000  0.000  0.000  0.000  0.000  0.432
   0.47036    -11.156574  0.416  0.000  0.008  0.008  0.000  0.000  0.000  0.000  0.000  0.432
   0.51312    -11.025190  0.416  0.000  0.008  0.008  0.000  0.000  0.000  0.000  0.000  0.432
   0.55588    -10.883762  0.416  0.000  0.008  0.008  0.000  0.000  0.000  0.000  0.000  0.432
   0.59864    -10.732757  0.416  0.000  0.008  0.008  0.000  0.000  0.000  0.000  0.000  0.440
   0.64139    -10.572716  0.416  0.000  0.016  0.016  0.000  0.000  0.000  0.000  0.000  0.440
   0.68415    -10.404312  0.416  0.000  0.016  0.016  0.000  0.000  0.000  0.000  0.000  0.440
   0.72691    -10.228338  0.416  0.000  0.016  0.016  0.000  0.000  0.000  0.000  0.000  0.448
   0.76967    -10.045760  0.416  0.000  0.016  0.016  0.000  0.000  0.000  0.000  0.000  0.448
   0.81243     -9.857770  0.417  0.004  0.017  0.017  0.000  0.000  0.000  0.000  0.000  0.453
   0.81243     -9.857770  0.415  0.004  0.017  0.017  0.000  0.000  0.000  0.000  0.000  0.454
   0.83095     -9.904788  0.416  0.008  0.016  0.016  0.000  0.000  0.000  0.000  0.000  0.456
   0.84946     -9.950619  0.416  0.000  0.016  0.016  0.000  0.000  0.000  0.000  0.000  0.448
   0.86798     -9.995141  0.416  0.000  0.016  0.016  0.000  0.000  0.000  0.000  0.000  0.448
   0.88650    -10.038238  0.416  0.000  0.016  0.016  0.000  0.000  0.000  0.000  0.000  0.448
   0.90501    -10.079814  0.416  0.000  0.016  0.016  0.000  0.000  0.000  0.000  0.000  0.448
   0.92353    -10.119788  0.416  0.000  0.016  0.016  0.000  0.000  0.000  0.000  0.000  0.448
   0.94204    -10.158089  0.416  0.000  0.016  0.016  0.000  0.000  0.000  0.000  0.000  0.448
   0.96056    -10.194644  0.416  0.000  0.016  0.016  0.000  0.000  0.000  0.000  0.000  0.448
   0.97907    -10.229402  0.416  0.000  0.016  0.016  0.000  0.000  0.000  0.000  0.000  0.448
   0.99759    -10.262311  0.416  0.000  0.016  0.016  0.000  0.000  0.000  0.000  0.000  0.448
   1.01610    -10.293326  0.416  0.000  0.016  0.016  0.000  0.000  0.000  0.000  0.000  0.448
   1.03462    -10.322409  0.416  0.000  0.016  0.016  0.000  0.000  0.000  0.000  0.000  0.448
   1.05313    -10.349526  0.416  0.000  0.016  0.016  0.000  0.000  0.000  0.000  0.000  0.448
   1.07165    -10.374641  0.416  0.000  0.016  0.016  0.000  0.000  0.000  0.000  0.000  0.448
   1.09017    -10.397728  0.416  0.000  0.008  0.008  0.000  0.000  0.000  0.000  0.000  0.448
   1.10868    -10.418766  0.416  0.000  0.008  0.008  0.000  0.000  0.000  0.000  0.000  0.448
   1.12720    -10.437729  0.416  0.008  0.008  0.008  0.000  0.000  0.000  0.000  0.000  0.440
   1.14571    -10.454600  0.416  0.008  0.008  0.008  0.000  0.000  0.000  0.000  0.000  0.440
   1.16423    -10.469359  0.416  0.008  0.008  0.008  0.000  0.000  0.000  0.000  0.000  0.440
   1.16423    -10.469359  0.416  0.008  0.008  0.008  0.000  0.000  0.000  0.000  0.000  0.440
   1.21977    -10.500825  0.416  0.008  0.008  0.008  0.000  0.000  0.000  0.000  0.000  0.440
   1.27532    -10.512828  0.416  0.008  0.008  0.008  0.000  0.000  0.000  0.000  0.000  0.440
   1.33087    -10.505143  0.416  0.008  0.008  0.008  0.000  0.000  0.000  0.000  0.000  0.440
   1.38641    -10.477633  0.416  0.008  0.016  0.008  0.000  0.000  0.000  0.000  0.000  0.440
   1.44196    -10.430238  0.416  0.008  0.016  0.008  0.000  0.000  0.000  0.000  0.000  0.440
   1.49751    -10.362942  0.416  0.008  0.016  0.008  0.000  0.000  0.000  0.000  0.000  0.448
   1.55305    -10.481742  0.416  0.008  0.016  0.008  0.000  0.000  0.000  0.000  0.000  0.440
   1.60860    -10.691078  0.416  0.000  0.016  0.000  0.000  0.000  0.000  0.000  0.000  0.440
   1.66415    -10.887055  0.416  0.000  0.016  0.000  0.000  0.000  0.000  0.000  0.000  0.432
   1.71969    -11.067739  0.416  0.000  0.008  0.000  0.000  0.000  0.000  0.000  0.000  0.432
   1.77524    -11.231759  0.416  0.000  0.008  0.000  0.000  0.000  0.000  0.000  0.000  0.432
   1.83078    -11.378126  0.416  0.000  0.008  0.000  0.000  0.000  0.000  0.000  0.000  0.432
   1.88633    -11.506104  0.416  0.000  0.008  0.000  0.000  0.000  0.000  0.000  0.000  0.424
   1.94188    -11.615146  0.424  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.424
   1.99742    -11.704846  0.424  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.424
   2.05297    -11.774896  0.424  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.424
   2.10852    -11.825077  0.424  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.424
   2.16406    -11.855246  0.424  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.424
   2.21961    -11.865320  0.424  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.424
   2.21961    -11.865320  0.424  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.424
   2.27198    -11.856365  0.424  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.424
   2.32435    -11.829552  0.424  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.424
   2.37672    -11.784951  0.424  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.424
   2.42909    -11.722705  0.424  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.424
   2.48146    -11.643015  0.424  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.424
   2.53383    -11.546179  0.424  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.424
   2.58620    -11.432578  0.416  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.432
   2.63857    -11.302757  0.416  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.432
   2.69094    -11.157433  0.416  0.008  0.008  0.008  0.000  0.000  0.000  0.000  0.000  0.432
   2.74331    -10.997599  0.416  0.008  0.008  0.008  0.000  0.000  0.000  0.000  0.000  0.432
   2.79568    -10.824636  0.416  0.008  0.008  0.008  0.000  0.000  0.000  0.000  0.000  0.440
   2.84805    -10.640518  0.416  0.008  0.008  0.008  0.000  0.000  0.000  0.000  0.000  0.440
   2.90042    -10.448131  0.416  0.008  0.008  0.008  0.000  0.000  0.000  0.000  0.000  0.448
   2.95278    -10.251791  0.424  0.008  0.008  0.008  0.000  0.000  0.000  0.000  0.000  0.448
   3.00515    -10.058127  0.424  0.008  0.008  0.008  0.000  0.000  0.000  0.000  0.000  0.456
   3.05752     -9.877279  0.432  0.008  0.008  0.008  0.000  0.000  0.000  0.000  0.000  0.464
   3.10989     -9.724288  0.440  0.008  0.008  0.008  0.000  0.000  0.000  0.000  0.000  0.464
   3.16226     -9.618991  0.440  0.008  0.008  0.008  0.000  0.000  0.000  0.000  0.000  0.472
   3.21463     -9.580997  0.447  0.007  0.007  0.007  0.000  0.000  0.000  0.000  0.000  0.472
