#K-Path(1/A)         Spin-Up(eV)   Spin-down(eV)
# NKPTS & NBANDS: 100  64
# Band-Index    1
   0.00000    -18.281392    -18.281393
   0.04732    -18.283880    -18.284003
   0.09464    -18.291263    -18.291753
   0.14195    -18.303312    -18.304398
   0.18927    -18.319658    -18.321553
   0.23659    -18.339802    -18.342693
   0.28391    -18.363135    -18.367178
   0.33122    -18.388948    -18.394264
   0.37854    -18.416510    -18.423184
   0.42586    -18.445028    -18.453106
   0.47318    -18.473717    -18.483204
   0.52049    -18.501789    -18.512653
   0.56781    -18.528502    -18.540677
   0.61513    -18.553174    -18.566559
   0.66245    -18.575180    -18.589643
   0.70977    -18.593961    -18.609343
   0.75708    -18.609055    -18.625176
   0.80440    -18.620098    -18.636759
   0.85172    -18.626832    -18.643823
   0.89904    -18.629086    -18.646186
   0.89904    -18.629086    -18.646186
   0.94635    -18.631892    -18.648862
   0.99367    -18.640186    -18.656768
   1.04099    -18.653731    -18.669682
   1.08831    -18.672104    -18.687205
   1.13562    -18.694745    -18.708806
   1.18294    -18.720971    -18.733839
   1.23026    -18.750013    -18.761572
   1.27758    -18.781032    -18.791208
   1.32490    -18.813146    -18.821909
   1.37221    -18.845464    -18.852819
   1.41953    -18.877111    -18.883106
   1.46685    -18.907253    -18.911965
   1.51417    -18.935094    -18.938633
   1.56148    -18.959926    -18.962429
   1.60880    -18.981128    -18.982753
   1.65612    -18.998177    -18.999101
   1.70344    -19.010666    -19.011079
   1.75076    -19.018278    -19.018382
   1.79807    -19.020836    -19.020836
   1.79807    -19.020836    -19.020836
   1.84539    -19.018382    -19.018278
   1.89271    -19.011079    -19.010666
   1.94003    -18.999101    -18.998177
   1.98734    -18.982753    -18.981128
   2.03466    -18.962429    -18.959926
   2.08198    -18.938633    -18.935095
   2.12930    -18.911965    -18.907253
   2.17661    -18.883106    -18.877112
   2.22393    -18.852819    -18.845464
   2.27125    -18.821909    -18.813147
   2.31857    -18.791208    -18.781033
   2.36589    -18.761572    -18.750014
   2.41320    -18.733838    -18.720971
   2.46052    -18.708806    -18.694745
   2.50784    -18.687205    -18.672105
   2.55516    -18.669682    -18.653732
   2.60247    -18.656768    -18.640187
   2.64979    -18.648862    -18.631893
   2.69711    -18.646186    -18.629086
   2.69711    -18.646186    -18.629086
   2.74443    -18.643823    -18.626833
   2.79174    -18.636759    -18.620099
   2.83906    -18.625176    -18.609056
   2.88638    -18.609343    -18.593962
   2.93370    -18.589642    -18.575180
   2.98102    -18.566559    -18.553175
   3.02833    -18.540676    -18.528503
   3.07565    -18.512653    -18.501790
   3.12297    -18.483203    -18.473718
   3.17029    -18.453105    -18.445029
   3.21760    -18.423184    -18.416511
   3.26492    -18.394264    -18.388949
   3.31224    -18.367178    -18.363136
   3.35956    -18.342692    -18.339803
   3.40687    -18.321552    -18.319659
   3.45419    -18.304397    -18.303313
   3.50151    -18.291752    -18.291264
   3.54883    -18.284002    -18.283881
   3.59615    -18.281392    -18.281393
   3.59615    -18.281392    -18.281393
   3.66306    -18.286493    -18.286494
   3.72998    -18.301646    -18.301647
   3.79690    -18.326430    -18.326431
   3.86381    -18.360153    -18.360154
   3.93073    -18.401830    -18.401830
   3.99765    -18.450304    -18.450304
   4.06457    -18.504222    -18.504223
   4.13148    -18.562095    -18.562095
   4.19840    -18.622347    -18.622347
   4.26532    -18.683329    -18.683329
   4.33224    -18.743382    -18.743382
   4.39915    -18.800909    -18.800909
   4.46607    -18.854351    -18.854351
   4.53299    -18.902273    -18.902273
   4.59991    -18.943380    -18.943380
   4.66682    -18.976562    -18.976562
   4.73374    -19.000932    -19.000932
   4.80066    -19.015824    -19.015824
   4.86757    -19.020836    -19.020836
 
# Band-Index    2
   4.86757    -17.561799    -17.561800
   4.80066    -17.563664    -17.563665
   4.73374    -17.569220    -17.569221
   4.66682    -17.578319    -17.578320
   4.59991    -17.590737    -17.590738
   4.53299    -17.606142    -17.606143
   4.46607    -17.624117    -17.624119
   4.39915    -17.644201    -17.644202
   4.33224    -17.665855    -17.665856
