#K-Path(1/A)         Spin-Up(eV)   Spin-down(eV)
# NKPTS & NBANDS: 100  64
# Band-Index    1
   0.00000    -11.966782    -11.966774
   0.04284    -11.969807    -11.970377
   0.08568    -11.978772    -11.981052
   0.12851    -11.993352    -11.998399
   0.17135    -12.013032    -12.021783
   0.21419    -12.037130    -12.050374
   0.25703    -12.064844    -12.083194
   0.29986    -12.095281    -12.119172
   0.34270    -12.127508    -12.157188
   0.38554    -12.160579    -12.196122
   0.42838    -12.193568    -12.234885
   0.47122    -12.225597    -12.272450
   0.51405    -12.255852    -12.307876
   0.55689    -12.283597    -12.340313
   0.59973    -12.308184    -12.369021
   0.64257    -12.329061    -12.393369
   0.68540    -12.345772    -12.412842
   0.72824    -12.357962    -12.427037
   0.77108    -12.365378    -12.435668
   0.81392    -12.367867    -12.438564
   0.81392    -12.367867    -12.438564
   0.85676    -12.371695    -12.441794
   0.89960    -12.383036    -12.451368
   0.94244    -12.401464    -12.466943
   0.98527    -12.426301    -12.487971
   1.02811    -12.456663    -12.513733
   1.07095    -12.491509    -12.543373
   1.11379    -12.529700    -12.575944
   1.15663    -12.570045    -12.610450
   1.19947    -12.611356    -12.645881
   1.24231    -12.652478    -12.681246
   1.28515    -12.692325    -12.715602
   1.32799    -12.729895    -12.748073
   1.37083    -12.764293    -12.777866
   1.41367    -12.794733    -12.804280
   1.45651    -12.820549    -12.826717
   1.49934    -12.841193    -12.844684
   1.54218    -12.856243    -12.857793
   1.58502    -12.865393    -12.865769
   1.62786    -12.868464    -12.868446
   1.62786    -12.868464    -12.868446
   1.67070    -12.865787    -12.865376
   1.71354    -12.857812    -12.856227
   1.75638    -12.844706    -12.841180
   1.79921    -12.826743    -12.820539
   1.84205    -12.804309    -12.794727
   1.88489    -12.777900    -12.764292
   1.92773    -12.748112    -12.729900
   1.97056    -12.715647    -12.692337
   2.01340    -12.681298    -12.652497
   2.05624    -12.645939    -12.611382
   2.09908    -12.610515    -12.570079
   2.14192    -12.576016    -12.529741
   2.18475    -12.543451    -12.491558
   2.22759    -12.513817    -12.456718
   2.27043    -12.488060    -12.426362
   2.31327    -12.467036    -12.401530
   2.35610    -12.451465    -12.383106
   2.39894    -12.441893    -12.371767
   2.44178    -12.438663    -12.367939
   2.44178    -12.438663    -12.367939
   2.48462    -12.435767    -12.365450
   2.52746    -12.427134    -12.358032
   2.57030    -12.412936    -12.345840
   2.61314    -12.393460    -12.329126
   2.65598    -12.369107    -12.308245
   2.69881    -12.340394    -12.283653
   2.74165    -12.307951    -12.255903
   2.78449    -12.272519    -12.225642
   2.82733    -12.234947    -12.193606
   2.87017    -12.196176    -12.160610
   2.91301    -12.157236    -12.127533
   2.95585    -12.119212    -12.095300
   2.99869    -12.083227    -12.064856
   3.04153    -12.050400    -12.037137
   3.08437    -12.021803    -12.013033
   3.12721    -11.998414    -11.993349
   3.17005    -11.981064    -11.978765
   3.21288    -11.970387    -11.969799
   3.25572    -11.966782    -11.966774
   3.25572    -11.966782    -11.966774
   3.31631    -11.973412    -11.973403
   3.37689    -11.993075    -11.993066
   3.43747    -12.025102    -12.025092
   3.49805    -12.068420    -12.068410
   3.55864    -12.121609    -12.121598
   3.61922    -12.182972    -12.182961
   3.67980    -12.250613    -12.250600
   3.74039    -12.322510    -12.322497
   3.80097    -12.396597    -12.396583
   3.86155    -12.470817    -12.470802
   3.92213    -12.543184    -12.543169
   3.98272    -12.611826    -12.611810
   4.04330    -12.675020    -12.675004
   4.10388    -12.731224    -12.731208
   4.16446    -12.779098    -12.779081
   4.22505    -12.817521    -12.817503
   4.28563    -12.845607    -12.845589
   4.34621    -12.862717    -12.862699
   4.40680    -12.868464    -12.868446
 
# Band-Index    2
   4.40680    -11.777546    -11.777539
   4.34621    -11.776637    -11.776630
   4.28563    -11.773952    -11.773945
   4.22505    -11.769615    -11.769608
   4.16446    -11.763826    -11.763818
   4.10388    -11.756843    -11.756836
   4.04330    -11.748973    -11.748964
   3.98272    -11.740542    -11.740533
   3.92213    -11.731883    -11.731874
   3.86155    -11.723312    -11.723303
   3.80097    -11.715110    -11.715100
   3.74039    -11.707507    -11.707497
   3.67980    -11.700680    -11.700669
   3.61922    -11.694742    -11.694731
   3.55864    -11.689756    -11.689745
   3.49805    -11.685736    -11.685725
   3.43747    -11.682666    -11.682654
   3.37689    -11.680512    -11.680501
   3.31631    -11.679239    -11.679227
   3.25572    -11.678817    -11.678806
   3.25572    -11.678817    -11.678806
   3.21288    -11.678943    -11.679100
   3.17005    -11.679316    -11.679975
   3.12721    -11.679929    -11.681407
   3.08437    -11.680766    -11.683357
   3.04153    -11.681810    -11.685774
   2.99869    -11.683033    -11.688591
   2.95585    -11.684407    -11.691732
   2.91301    -11.685896    -11.695111
   2.87017    -11.687462    -11.698638
   2.82733    -11.689063    -11.702216
   2.78449    -11.690655    -11.705747
   2.74165    -11.692194    -11.709135
   2.69881    -11.693636    -11.712287
   2.65598    -11.694938    -11.715116
   2.61314    -11.696063    -11.717545
   2.57030    -11.696975    -11.719508
   2.52746    -11.697648    -11.720949
   2.48462    -11.698060    -11.721830
   2.44178    -11.698199    -11.722127
   2.44178    -11.698199    -11.722127
   2.39894    -11.698749    -11.722504
   2.35610    -11.700383    -11.723625
   2.31327    -11.703055    -11.725461
   2.27043    -11.706689    -11.727960
   2.22759    -11.711181    -11.731056
   2.18475    -11.716404    -11.734663
   2.14192    -11.722211    -11.738685
   2.09908    -11.728442    -11.743011
