#K-Path(1/A)         Spin-Up(eV)   Spin-down(eV)
# NKPTS & NBANDS: 100  64
# Band-Index    1
   0.00000    -18.568069    -18.568062
   0.04141    -18.570783    -18.570525
   0.08282    -18.578821    -18.577820
   0.12422    -18.591917    -18.589710
   0.16563    -18.609659    -18.605827
   0.20704    -18.631474    -18.625660
   0.24845    -18.656679    -18.648591
   0.28985    -18.684514    -18.673937
   0.33126    -18.714151    -18.700950
   0.37267    -18.744734    -18.728852
   0.41408    -18.775414    -18.756871
   0.45549    -18.805362    -18.784247
   0.49689    -18.833798    -18.810263
   0.53830    -18.859996    -18.834254
   0.57971    -18.883305    -18.855614
   0.62112    -18.903165    -18.873824
   0.66252    -18.919109    -18.888452
   0.70393    -18.930764    -18.899148
   0.74534    -18.937857    -18.905660
   0.78675    -18.940242    -18.907849
   0.78675    -18.940242    -18.907849
   0.82815    -18.942731    -18.910593
   0.86956    -18.950116    -18.918728
   0.91097    -18.962155    -18.931983
   0.95238    -18.978469    -18.949935
   0.99379    -18.998548    -18.972013
   1.03519    -19.021775    -18.997529
   1.07660    -19.047447    -19.025700
   1.11801    -19.074814    -19.055698
   1.15942    -19.103088    -19.086655
   1.20082    -19.131492    -19.117720
   1.24223    -19.159248    -19.148042
   1.28364    -19.185631    -19.176834
   1.32505    -19.209959    -19.203359
   1.36646    -19.231629    -19.226966
   1.40786    -19.250104    -19.247078
   1.44927    -19.264941    -19.263218
   1.49068    -19.275794    -19.275020
   1.53209    -19.282412    -19.282214
   1.57349    -19.284634    -19.284629
   1.57349    -19.284634    -19.284629
   1.61490    -19.282218    -19.282407
   1.65631    -19.275025    -19.275790
   1.69772    -19.263223    -19.264937
   1.73912    -19.247082    -19.250100
   1.78053    -19.226971    -19.231625
   1.82194    -19.203363    -19.209954
   1.86335    -19.176839    -19.185626
   1.90476    -19.148047    -19.159243
   1.94616    -19.117725    -19.131487
   1.98757    -19.086660    -19.103083
   2.02898    -19.055703    -19.074809
   2.07039    -19.025706    -19.047442
   2.11179    -18.997534    -19.021770
   2.15320    -18.972019    -18.998543
   2.19461    -18.949941    -18.978464
   2.23602    -18.931989    -18.962149
   2.27743    -18.918734    -18.950111
   2.31883    -18.910599    -18.942726
   2.36024    -18.907855    -18.940236
   2.36024    -18.907855    -18.940236
   2.40165    -18.905666    -18.937851
   2.44306    -18.899154    -18.930758
   2.48446    -18.888458    -18.919104
   2.52587    -18.873830    -18.903159
   2.56728    -18.855620    -18.883299
   2.60869    -18.834260    -18.859990
   2.65009    -18.810270    -18.833792
   2.69150    -18.784253    -18.805356
   2.73291    -18.756877    -18.775408
   2.77432    -18.728859    -18.744727
   2.81573    -18.700956    -18.714144
   2.85713    -18.673944    -18.684507
   2.89854    -18.648598    -18.656673
   2.93995    -18.625667    -18.631467
   2.98136    -18.605834    -18.609652
   3.02276    -18.589717    -18.591910
   3.06417    -18.577827    -18.578814
   3.10558    -18.570532    -18.570776
   3.14699    -18.568069    -18.568062
   3.14699    -18.568069    -18.568062
   3.20555    -18.573244    -18.573236
   3.26411    -18.588575    -18.588568
   3.32267    -18.613580    -18.613573
   3.38123    -18.647462    -18.647455
   3.43978    -18.689173    -18.689166
   3.49834    -18.737433    -18.737427
   3.55690    -18.790789    -18.790782
   3.61546    -18.847675    -18.847669
   3.67402    -18.906478    -18.906472
   3.73258    -18.965559    -18.965554
   3.79114    -19.023324    -19.023318
   3.84970    -19.078250    -19.078245
   3.90826    -19.128926    -19.128921
   3.96682    -19.174083    -19.174079
   4.02538    -19.212602    -19.212597
   4.08394    -19.243548    -19.243543
   4.14250    -19.266193    -19.266189
   4.20106    -19.279995    -19.279991
   4.25962    -19.284634    -19.284629
 
# Band-Index    2
   4.25962    -12.245466    -12.245457
   4.20106    -12.241976    -12.241967
   4.14250    -12.231553    -12.231544
   4.08394    -12.214336    -12.214327
   4.02538    -12.190556    -12.190547
   3.96682    -12.160543    -12.160534
   3.90826    -12.124725    -12.124716
   3.84970    -12.083641    -12.083631
   3.79114    -12.037948    -12.037938
   3.73258    -11.988445    -11.988436
   3.67402    -11.936094    -11.936084
   3.61546    -11.882044    -11.882034
   3.55690    -11.827659    -11.827649
   3.49834    -11.774535    -11.774525
   3.43978    -11.724490    -11.724480
   3.38123    -11.679516    -11.679506
   3.32267    -11.641677    -11.641666
   3.26411    -11.612937    -11.612926
   3.20555    -11.594949    -11.594938
   3.14699    -11.588822    -11.588811
   3.14699    -11.588822    -11.588811
   3.10558    -11.592024    -11.591748
   3.06417    -11.601509    -11.600446
   3.02276    -11.616919    -11.614579
   2.98136    -11.637686    -11.633624
   2.93995    -11.663069    -11.656900
   2.89854    -11.692195    -11.683607
   2.85713    -11.724109    -11.712871
   2.81573    -11.757817    -11.743779
   2.77432    -11.792325    -11.775419
   2.73291    -11.826667    -11.806908
   2.69150    -11.859938    -11.837414
   2.65009    -11.891302    -11.866173
   2.60869    -11.920014    -11.892500
   2.56728    -11.945418    -11.915795
   2.52587    -11.966960    -11.935549
   2.48446    -11.984185    -11.951346
   2.44306    -11.996740    -11.962860
   2.40165    -12.004374    -11.969861
   2.36024    -12.006936    -11.972209
   2.36024    -12.006936    -11.972209
   2.31883    -12.008506    -11.974070
   2.27743    -12.013184    -11.979605
   2.23602    -12.020863    -11.988671
   2.19461    -12.031370    -12.001030
   2.15320    -12.044453    -12.016353
   2.11179    -12.059786    -12.034228
   2.07039    -12.076974    -12.054162
   2.02898    -12.095556    -12.075604
   1.98757    -12.115023    -12.097956
   1.94616    -12.134832    -12.120596
   1.90476    -12.154426    -12.142893
   1.86335    -12.173250    -12.164232
   1.82194    -12.190774    -12.184031
   1.78053    -12.206508    -12.201756
   1.73912    -12.220014    -12.216936
   1.69772    -12.230919    -12.229169
   1.65631    -12.238927    -12.238140
   1.61490    -12.243820    -12.243616
   1.57349    -12.245466    -12.245457
   1.57349    -12.245466    -12.245457
   1.53209    -12.243625    -12.243811
   1.49068    -12.238149    -12.238918
   1.44927    -12.229178    -12.230910
   1.40786    -12.216944    -12.220004
   1.36646    -12.201765    -12.206498
   1.32505    -12.184040    -12.190764
   1.28364    -12.164241    -12.173240
   1.24223    -12.142901    -12.154415
   1.20082    -12.120604    -12.134822
   1.15942    -12.097965    -12.115012
   1.11801    -12.075612    -12.095545
   1.07660    -12.054169    -12.076963
   1.03519    -12.034235    -12.059775
   0.99379    -12.016361    -12.044441
   0.95238    -12.001037    -12.031358
   0.91097    -11.988678    -12.020851
   0.86956    -11.979612    -12.013171
   0.82815    -11.974077    -12.008494
   0.78675    -11.972216    -12.006923
   0.78675    -11.972216    -12.006923
   0.74534    -11.969868    -12.004362
   0.70393    -11.962867    -11.996728
   0.66252    -11.951353    -11.984173
   0.62112    -11.935557    -11.966947
   0.57971    -11.915803    -11.945406
   0.53830    -11.892508    -11.920002
   0.49689    -11.866181    -11.891290
   0.45549    -11.837422    -11.859926
   0.41408    -11.806917    -11.826655
   0.37267    -11.775428    -11.792313
