#K-Path(1/A)         Spin-Up(eV)   Spin-down(eV)
# NKPTS & NBANDS: 100  64
# Band-Index    1
   0.00000    -18.662180    -18.662196
   0.04116    -18.664725    -18.664510
   0.08231    -18.672260    -18.671364
   0.12347    -18.684550    -18.682547
   0.16462    -18.701199    -18.697703
   0.20578    -18.721680    -18.716359
   0.24694    -18.745359    -18.737946
   0.28809    -18.771519    -18.761814
   0.32925    -18.799385    -18.787260
   0.37040    -18.828163    -18.813563
   0.41156    -18.857048    -18.839988
   0.45271    -18.885254    -18.865816
   0.49387    -18.912053    -18.890376
   0.53503    -18.936749    -18.913026
   0.57618    -18.958730    -18.933200
   0.61734    -18.977471    -18.950410
   0.65849    -18.992517    -18.964233
   0.69965    -19.003519    -18.974346
   0.74081    -19.010220    -18.980507
   0.78196    -19.012470    -18.982576
   0.78196    -19.012470    -18.982576
   0.82312    -19.014817    -18.985155
   0.86427    -19.021779    -18.992806
   0.90543    -19.033136    -19.005281
   0.94658    -19.048533    -19.022183
   0.98774    -19.067485    -19.042973
   1.02890    -19.089411    -19.067005
   1.07005    -19.113659    -19.093556
   1.11121    -19.139519    -19.121842
   1.15236    -19.166243    -19.151044
   1.19352    -19.193100    -19.180359
   1.23468    -19.219360    -19.208993
   1.27583    -19.244328    -19.236191
   1.31699    -19.267360    -19.261259
   1.35814    -19.287877    -19.283572
   1.39930    -19.305379    -19.302592
   1.44046    -19.319441    -19.317864
   1.48161    -19.329723    -19.329027
   1.52277    -19.335993    -19.335832
   1.56392    -19.338098    -19.338116
   1.56392    -19.338098    -19.338116
   1.60508    -19.335814    -19.336011
   1.64623    -19.329009    -19.329741
   1.68739    -19.317846    -19.319459
   1.72855    -19.302574    -19.305397
   1.76970    -19.283554    -19.287895
   1.81086    -19.261242    -19.267378
   1.85201    -19.236174    -19.244346
   1.89317    -19.208976    -19.219378
   1.93433    -19.180342    -19.193118
   1.97548    -19.151027    -19.166261
   2.01664    -19.121826    -19.139537
   2.05779    -19.093539    -19.113677
   2.09895    -19.066989    -19.089429
   2.14010    -19.042957    -19.067503
   2.18126    -19.022167    -19.048551
   2.22242    -19.005265    -19.033154
   2.26357    -18.992791    -19.021797
   2.30473    -18.985140    -19.014834
   2.34588    -18.982560    -19.012488
   2.34588    -18.982560    -19.012488
   2.38704    -18.980491    -19.010238
   2.42820    -18.974330    -19.003536
   2.46935    -18.964218    -18.992534
   2.51051    -18.950394    -18.977488
   2.55166    -18.933184    -18.958748
   2.59282    -18.913010    -18.936766
   2.63398    -18.890360    -18.912070
   2.67513    -18.865801    -18.885271
   2.71629    -18.839973    -18.857065
   2.75744    -18.813547    -18.828179
