#K-Path(1/A)         Spin-Up(eV)   Spin-down(eV)
# NKPTS & NBANDS: 100  64
# Band-Index    1
   0.00000    -18.719159    -18.719148
   0.04091    -18.721552    -18.721329
   0.08182    -18.728655    -18.727806
   0.12273    -18.740245    -18.738380
   0.16364    -18.755955    -18.752717
   0.20455    -18.775284    -18.770368
   0.24546    -18.797637    -18.790795
   0.28638    -18.822342    -18.813389
   0.32729    -18.848674    -18.837490
   0.36820    -18.875879    -18.862412
   0.40911    -18.903199    -18.887461
   0.45002    -18.929889    -18.911952
   0.49093    -18.955256    -18.935248
   0.53184    -18.978646    -18.956743
   0.57275    -18.999470    -18.975894
   0.61366    -19.017225    -18.992230
   0.65457    -19.031485    -19.005358
   0.69548    -19.041914    -19.014962
   0.73639    -19.048272    -19.020818
   0.77730    -19.050406    -19.022783
   0.77730    -19.050406    -19.022783
   0.81821    -19.052631    -19.025222
   0.85913    -19.059229    -19.032451
   0.90004    -19.069988    -19.044238
   0.94095    -19.084577    -19.060210
   0.98186    -19.102538    -19.079862
   1.02277    -19.123333    -19.102594
   1.06368    -19.146332    -19.127714
   1.10459    -19.170865    -19.154484
   1.14550    -19.196235    -19.182141
   1.18641    -19.221735    -19.209911
   1.22732    -19.246674    -19.237045
   1.26823    -19.270395    -19.262830
   1.30914    -19.292284    -19.286604
   1.35005    -19.311791    -19.307773
   1.39096    -19.328436    -19.325825
   1.43188    -19.341808    -19.340320
   1.47279    -19.351593    -19.350921
   1.51370    -19.357559    -19.357383
   1.55461    -19.359565    -19.359556
   1.55461    -19.359565    -19.359556
   1.59552    -19.357391    -19.357550
   1.63643    -19.350930    -19.351584
   1.67734    -19.340329    -19.341799
   1.71825    -19.325834    -19.328427
   1.75916    -19.307782    -19.311782
   1.80007    -19.286613    -19.292275
   1.84098    -19.262839    -19.270386
   1.88189    -19.237054    -19.246665
   1.92280    -19.209920    -19.221725
   1.96372    -19.182150    -19.196225
   2.00463    -19.154494    -19.170855
   2.04554    -19.127724    -19.146322
   2.08645    -19.102603    -19.123322
   2.12736    -19.079871    -19.102528
   2.16827    -19.060220    -19.084566
   2.20918    -19.044247    -19.069977
   2.25009    -19.032461    -19.059218
   2.29100    -19.025231    -19.052620
   2.33191    -19.022792    -19.050395
   2.33191    -19.022792    -19.050395
   2.37282    -19.020827    -19.048261
   2.41373    -19.014971    -19.041903
   2.45464    -19.005367    -19.031474
   2.49555    -18.992240    -19.017214
   2.53647    -18.975904    -18.999459
   2.57738    -18.956753    -18.978635
   2.61829    -18.935258    -18.955245
   2.65920    -18.911963    -18.929878
   2.70011    -18.887471    -18.903187
   2.74102    -18.862423    -18.875868
   2.78193    -18.837501    -18.848662
   2.82284    -18.813400    -18.822331
   2.86375    -18.790806    -18.797626
   2.90466    -18.770379    -18.775272
   2.94557    -18.752728    -18.755944
   2.98648    -18.738392    -18.740234
   3.02739    -18.727818    -18.728643
   3.06831    -18.721340    -18.721540
   3.10922    -18.719159    -18.719148
   3.10922    -18.719159    -18.719148
   3.16707    -18.723733    -18.723722
   3.22493    -18.737326    -18.737314
   3.28279    -18.759508    -18.759497
   3.34064    -18.789595    -18.789584
   3.39850    -18.826662    -18.826651
   3.45635    -18.869594    -18.869583
   3.51421    -18.917119    -18.917108
   3.57207    -18.967855    -18.967845
   3.62992    -19.020367    -19.020357
   3.68778    -19.073192    -19.073182
