#K-Path(1/A)         Spin-Up(eV)   Spin-down(eV)
# NKPTS & NBANDS: 100  64
# Band-Index    1
   0.00000    -12.618455    -12.618450
   0.03539    -12.621145    -12.620719
   0.07078    -12.629115    -12.627447
   0.10618    -12.642076    -12.638398
   0.14157    -12.659562    -12.653198
   0.17696    -12.680965    -12.671349
   0.21235    -12.705565    -12.692259
   0.24774    -12.732568    -12.715270
   0.28314    -12.761139    -12.739682
   0.31853    -12.790438    -12.764783
   0.35392    -12.819647    -12.789873
   0.38931    -12.847988    -12.814278
   0.42470    -12.874742    -12.837372
   0.46010    -12.899263    -12.858584
   0.49549    -12.920983    -12.877408
   0.53088    -12.939417    -12.893410
   0.56627    -12.954168    -12.906231
   0.60166    -12.964925    -12.915590
   0.63705    -12.971468    -12.921287
   0.67245    -12.973663    -12.923199
   0.67245    -12.973663    -12.923199
   0.70784    -12.986543    -12.941355
   0.74323    -13.019550    -12.982926
   0.77862    -13.063690    -13.033806
   0.81401    -13.113283    -13.088367
   0.84941    -13.165288    -13.144225
   0.88480    -13.217924    -13.200030
   0.92019    -13.269988    -13.254821
   0.95558    -13.320572    -13.307818
   0.99097    -13.368933    -13.358347
   1.02637    -13.414440    -13.405813
   1.06176    -13.456550    -13.449685
   1.09715    -13.494785    -13.489491
   1.13254    -13.528735    -13.524819
   1.16793    -13.558049    -13.555312
   1.20332    -13.582430    -13.580669
   1.23872    -13.601640    -13.600645
   1.27411    -13.615493    -13.615049
   1.30950    -13.623858    -13.623746
   1.34489    -13.626655    -13.626653
   1.34489    -13.626655    -13.626653
   1.38028    -13.623747    -13.623856
   1.41568    -13.615050    -13.615492
   1.45107    -13.600646    -13.601639
   1.48646    -13.580670    -13.582428
   1.52185    -13.555313    -13.558047
   1.55724    -13.524820    -13.528733
   1.59264    -13.489492    -13.494782
   1.62803    -13.449684    -13.456546
   1.66342    -13.405812    -13.414436
   1.69881    -13.358346    -13.368928
   1.73420    -13.307816    -13.320566
   1.76959    -13.254819    -13.269982
   1.80499    -13.200028    -13.217917
   1.84038    -13.144222    -13.165281
   1.87577    -13.088364    -13.113275
   1.91116    -13.033803    -13.063680
   1.94655    -12.982923    -13.019538
   1.98195    -12.941352    -12.986530
   2.01734    -12.923197    -12.973649
   2.01734    -12.923197    -12.973649
   2.05273    -12.921285    -12.971453
   2.08812    -12.915588    -12.964910
   2.12351    -12.906229    -12.954153
   2.15891    -12.893408    -12.939403
   2.19430    -12.877407    -12.920970
   2.22969    -12.858584    -12.899250
   2.26508    -12.837372    -12.874730
   2.30047    -12.814279    -12.847976
   2.33587    -12.789874    -12.819636
   2.37126    -12.764785    -12.790428
   2.40665    -12.739684    -12.761129
   2.44204    -12.715273    -12.732559
   2.47743    -12.692263    -12.705557
   2.51282    -12.671353    -12.680958
   2.54822    -12.653203    -12.659555
   2.58361    -12.638403    -12.642070
   2.61900    -12.627452    -12.629110
   2.65439    -12.620724    -12.621140
   2.68978    -12.618455    -12.618450
   2.68978    -12.618455    -12.618450
   2.73984    -12.624195    -12.624190
   2.78989    -12.645957    -12.645953
   2.83994    -12.685564    -12.685561
   2.88999    -12.739999    -12.739997
   2.94004    -12.806128    -12.806126
   2.99009    -12.880972    -12.880970
   3.04015    -12.961638    -12.961636
   3.09020    -13.045373    -13.045372
   3.14025    -13.129638    -13.129636
   3.19030    -13.212144    -13.212143
   3.24035    -13.290880    -13.290878
   3.29040    -13.364103    -13.364102
   3.34046    -13.430335    -13.430334
   3.39051    -13.488340    -13.488339
   3.44056    -13.537110    -13.537108
   3.49061    -13.575843    -13.575841
   3.54066    -13.603932    -13.603931
   3.59071    -13.620954    -13.620952
   3.64077    -13.626655    -13.626653
 
# Band-Index    2
   3.64077    -12.378383    -12.378385
   3.59071    -12.379963    -12.379965
   3.54066    -12.384650    -12.384652
   3.49061    -12.392297    -12.392299
   3.44056    -12.402667    -12.402669
   3.39051    -12.415438    -12.415440
   3.34046    -12.430223    -12.430226
   3.29040    -12.446583    -12.446585
   3.24035    -12.464036    -12.464039
   3.19030    -12.482084    -12.482087
   3.14025    -12.500221    -12.500224
   3.09020    -12.517946    -12.517949
   3.04015    -12.534778    -12.534781
   2.99009    -12.550257    -12.550260
   2.94004    -12.563945    -12.563949
   2.88999    -12.575402    -12.575406
   2.83994    -12.584096    -12.584101
   2.78989    -12.589145    -12.589151
   2.73984    -12.589366    -12.589373
   2.68978    -12.587786    -12.587793
   2.68978    -12.587786    -12.587793
   2.65439    -12.589070    -12.588887
   2.61900    -12.592881    -12.592133
   2.58361    -12.599100    -12.597431
   2.54822    -12.607528    -12.604615
   2.51282    -12.617906    -12.613468
   2.47743    -12.629916    -12.623721
   2.44204    -12.643198    -12.635071
   2.40665    -12.657365    -12.647189
   2.37126    -12.672011    -12.659729
   2.33587    -12.686729    -12.672345
   2.30047    -12.701122    -12.684694
   2.26508    -12.714807    -12.696447
   2.22969    -12.727435    -12.707301
   2.19430    -12.738687    -12.716981
   2.15891    -12.748284    -12.725243
   2.12351    -12.755996    -12.731885
   2.08812    -12.761638    -12.736746
   2.05273    -12.765076    -12.739710
   2.01734    -12.766231    -12.740705
   2.01734    -12.766231    -12.740705
   1.98195    -12.750241    -12.729794
   1.94655    -12.715108    -12.702644
   1.91116    -12.674759    -12.668092
   1.87577    -12.634536    -12.631568
   1.84038    -12.596427    -12.595764
   1.80499    -12.561292    -12.562026
   1.76959    -12.529523    -12.531046
   1.73420    -12.501261    -12.503161
   1.69881    -12.476499    -12.478491
   1.66342    -12.455122    -12.457018
   1.62803    -12.436945    -12.438627
   1.59264    -12.421739    -12.423141
   1.55724    -12.409247    -12.410345
   1.52185    -12.399212    -12.400012
   1.48646    -12.391388    -12.391918
   1.45107    -12.385552    -12.385859
   1.41568    -12.381522    -12.381662
   1.38028    -12.379161    -12.379198
   1.34489    -12.378383    -12.378385
   1.34489    -12.378383    -12.378385
   1.30950    -12.379196    -12.379163
   1.27411    -12.381660    -12.381524
   1.23872    -12.385857    -12.385554
