#K-Path(1/A)         Spin-Up(eV)   Spin-down(eV)
# NKPTS & NBANDS: 100  64
# Band-Index    1
   0.00000    -14.941655    -14.941656
   0.03217    -14.942149    -14.942293
   0.06433    -14.943619    -14.944188
   0.09650    -14.946020    -14.947283
   0.12867    -14.949283    -14.951487
   0.16084    -14.953315    -14.956679
   0.19300    -14.958001    -14.962709
   0.22517    -14.963209    -14.969404
   0.25734    -14.968792    -14.976575
   0.28950    -14.974595    -14.984023
   0.32167    -14.980459    -14.991540
   0.35384    -14.986223    -14.998923
   0.38600    -14.991732    -15.005974
   0.41817    -14.996840    -15.012504
   0.45034    -15.001409    -15.018343
   0.48251    -15.005322    -15.023339
   0.51467    -15.008475    -15.027363
   0.54684    -15.010787    -15.030312
   0.57901    -15.012199    -15.032112
   0.61117    -15.012673    -15.032717
   0.61117    -15.012673    -15.032717
   0.64334    -15.013562    -15.033456
   0.67551    -15.016204    -15.035654
   0.70767    -15.020515    -15.039243
   0.73984    -15.026363    -15.044114
   0.77201    -15.033569    -15.050123
   0.80418    -15.041919    -15.057094
   0.83634    -15.051167    -15.064825
   0.86851    -15.061043    -15.073092
   0.90068    -15.071268    -15.081665
   0.93284    -15.081560    -15.090305
   0.96501    -15.091638    -15.098778
   0.99718    -15.101234    -15.106858
   1.02934    -15.110100    -15.114332
   1.06151    -15.118009    -15.121006
   1.09368    -15.124762    -15.126711
   1.12585    -15.130191    -15.131302
   1.15801    -15.134167    -15.134665
   1.19018    -15.136591    -15.136717
   1.22235    -15.137405    -15.137406
   1.22235    -15.137405    -15.137406
   1.25451    -15.136716    -15.136591
   1.28668    -15.134664    -15.134168
   1.31885    -15.131301    -15.130192
   1.35102    -15.126710    -15.124762
   1.38318    -15.121005    -15.118009
   1.41535    -15.114331    -15.110101
   1.44752    -15.106857    -15.101235
   1.47968    -15.098777    -15.091638
   1.51185    -15.090303    -15.081560
   1.54402    -15.081663    -15.071269
   1.57618    -15.073090    -15.061043
   1.60835    -15.064823    -15.051166
   1.64052    -15.057092    -15.041919
   1.67269    -15.050121    -15.033569
   1.70485    -15.044112    -15.026362
   1.73702    -15.039240    -15.020514
   1.76919    -15.035652    -15.016203
   1.80135    -15.033454    -15.013562
   1.83352    -15.032714    -15.012672
   1.83352    -15.032714    -15.012672
   1.86569    -15.032109    -15.012198
   1.89785    -15.030309    -15.010787
   1.93002    -15.027360    -15.008475
   1.96219    -15.023336    -15.005322
   1.99436    -15.018341    -15.001409
   2.02652    -15.012502    -14.996839
   2.05869    -15.005972    -14.991732
   2.09086    -14.998921    -14.986223
   2.12302    -14.991538    -14.980459
   2.15519    -14.984021    -14.974595
   2.18736    -14.976574    -14.968792
   2.21952    -14.969403    -14.963209
   2.25169    -14.962707    -14.958002
   2.28386    -14.956678    -14.953316
   2.31603    -14.951486    -14.949284
   2.34819    -14.947282    -14.946020
   2.38036    -14.944187    -14.943619
   2.41253    -14.942293    -14.942150
   2.44469    -14.941655    -14.941656
   2.44469    -14.941655    -14.941656
   2.49018    -14.942791    -14.942792
   2.53568    -14.946186    -14.946186
   2.58117    -14.951799    -14.951800
   2.62666    -14.959561    -14.959562
   2.67215    -14.969357    -14.969358
   2.71764    -14.981023    -14.981023
   2.76313    -14.994335    -14.994335
   2.80862    -15.009005    -15.009006
   2.85411    -15.024680    -15.024681
   2.89960    -15.040949    -15.040949
   2.94510    -15.057349    -15.057349
   2.99059    -15.073389    -15.073390
   3.03608    -15.088567    -15.088568
   3.08157    -15.102391    -15.102392
   3.12706    -15.114405    -15.114406
   3.17255    -15.124203    -15.124204
   3.21804    -15.131452    -15.131453
   3.26353    -15.135904    -15.135905
   3.30902    -15.137405    -15.137406
 
# Band-Index    2
   3.30902    -12.373971    -12.373968
   3.26353    -12.373469    -12.373466
   3.21804    -12.371915    -12.371912
   3.17255    -12.369173    -12.369170
   3.12706    -12.365035    -12.365033
   3.08157    -12.359251    -12.359249
   3.03608    -12.351563    -12.351560
   2.99059    -12.341748    -12.341745
   2.94510    -12.329664    -12.329662
   2.89960    -12.315300    -12.315297
   2.85411    -12.298807    -12.298805
   2.80862    -12.280536    -12.280533
   2.76313    -12.261043    -12.261041
   2.71764    -12.241092    -12.241089
   2.67215    -12.221611    -12.221609
   2.62666    -12.203642    -12.203640
   2.58117    -12.188251    -12.188249
   2.53568    -12.188137    -12.188139
   2.49018    -12.188315    -12.188316
   2.44469    -12.188375    -12.188376
   2.44469    -12.188375    -12.188376
   2.41253    -12.188337    -12.188353
