#K-Path(1/A)         Spin-Up(eV)   Spin-down(eV)
# NKPTS & NBANDS: 100  64
# Band-Index    1
   0.00000    -12.726891    -12.727123
   0.03560    -12.728029    -12.728470
   0.07119    -12.731406    -12.732470
   0.10679    -12.736918    -12.738995
   0.14239    -12.744392    -12.747838
   0.17798    -12.753601    -12.758725
   0.21358    -12.764266    -12.771323
   0.24918    -12.776072    -12.785255
   0.28477    -12.788677    -12.800112
   0.32037    -12.801725    -12.815470
   0.35597    -12.817263    -12.830903
   0.39156    -12.846433    -12.845991
   0.42716    -12.874007    -12.860338
   0.46275    -12.899272    -12.873573
   0.49835    -12.921645    -12.885365
   0.53395    -12.940628    -12.895432
   0.56954    -12.955815    -12.906599
   0.60514    -12.966889    -12.916239
   0.64074    -12.973623    -12.922108
   0.67633    -12.975883    -12.924078
   0.67633    -12.975883    -12.924078
   0.71193    -13.002460    -12.974946
   0.74752    -13.052120    -13.032128
   0.78311    -13.107129    -13.090491
   0.81870    -13.163819    -13.149342
   0.85429    -13.220778    -13.208017
   0.88988    -13.277098    -13.265858
   0.92548    -13.332041    -13.322225
   0.96107    -13.384959    -13.376500
   0.99666    -13.435259    -13.428099
   1.03225    -13.482403    -13.476475
   1.06784    -13.525901    -13.521128
   1.10343    -13.565315    -13.561606
   1.13903    -13.600259    -13.597505
   1.17462    -13.630394    -13.628475
   1.21021    -13.655438    -13.654219
   1.24580    -13.675158    -13.674495
   1.28139    -13.689372    -13.689113
   1.31698    -13.697952    -13.697938
   1.35258    -13.700821    -13.700888
   1.35258    -13.700821    -13.700888
   1.38817    -13.697869    -13.698018
   1.42377    -13.689039    -13.689434
   1.45937    -13.674413    -13.675212
   1.49496    -13.654126    -13.655483
   1.53056    -13.628368    -13.630427
   1.56616    -13.597381    -13.600277
   1.60175    -13.561463    -13.565317
   1.63735    -13.520964    -13.525884
   1.67295    -13.476288    -13.482366
   1.70854    -13.427888    -13.435202
   1.74414    -13.376264    -13.384879
   1.77973    -13.321965    -13.331938
   1.81533    -13.265573    -13.276971
   1.85093    -13.207708    -13.220627
   1.88652    -13.149012    -13.163643
   1.92212    -13.090141    -13.106923
   1.95772    -13.031761    -13.051875
   1.99331    -12.974567    -13.002146
   2.02891    -12.923697    -12.975480
   2.02891    -12.923697    -12.975480
   2.06450    -12.921729    -12.973222
   2.10009    -12.915867    -12.966495
   2.13569    -12.906238    -12.955433
   2.17128    -12.895049    -12.940262
   2.20687    -12.884991    -12.921299
   2.24246    -12.873209    -12.898951
   2.27805    -12.859985    -12.873713
   2.31364    -12.845651    -12.846170
   2.34924    -12.830577    -12.817044
   2.38483    -12.815158    -12.801877
   2.42042    -12.799813    -12.788842
   2.45601    -12.784969    -12.776251
   2.49160    -12.771051    -12.764458
   2.52719    -12.758464    -12.753803
   2.56279    -12.747587    -12.744605
   2.59838    -12.738752    -12.737138
   2.63397    -12.732234    -12.731633
   2.66956    -12.728238    -12.728259
   2.70515    -12.726891    -12.727123
   2.70515    -12.726891    -12.727123
   2.75549    -12.729640    -12.729871
   2.80583    -12.740408    -12.740632
   2.85617    -12.765818    -12.766019
   2.90650    -12.810341    -12.810510
   2.95684    -12.871527    -12.871670
   3.00718    -12.944466    -12.944591
   3.05752    -13.024867    -13.024979
   3.10786    -13.109219    -13.109322
   3.15819    -13.194569    -13.194664
   3.20853    -13.278388    -13.278477
   3.25887    -13.358512    -13.358595
   3.30921    -13.433100    -13.433180
   3.35954    -13.500606    -13.500683
   3.40988    -13.559749    -13.559822
   3.46022    -13.609485    -13.609556
   3.51056    -13.648990    -13.649060
   3.56089    -13.677642    -13.677710
   3.61123    -13.695005    -13.695072
   3.66157    -13.700821    -13.700888
 
# Band-Index    2
   3.66157    -12.469177    -12.469311
   3.61123    -12.470645    -12.470779
   3.56089    -12.475005    -12.475139
   3.51056    -12.482124    -12.482258
   3.46022    -12.491784    -12.491917
   3.40988    -12.503689    -12.503823
   3.35954    -12.517477    -12.517610
   3.30921    -12.532723    -12.532855
   3.25887    -12.548956    -12.549086
   3.20853    -12.565664    -12.565793
   3.15819    -12.582303    -12.582430
   3.10786    -12.598286    -12.598409
   3.05752    -12.612958    -12.613076
   3.00718    -12.625523    -12.625632
   2.95684    -12.634868    -12.634962
   2.90650    -12.639238    -12.639310
   2.85617    -12.636254    -12.636297
   2.80583    -12.625790    -12.625812
   2.75549    -12.614203    -12.614220
   2.70515    -12.609356    -12.609374
   2.70515    -12.609356    -12.609374
   2.66956    -12.611703    -12.612154
   2.63397    -12.618659    -12.620391
   2.59838    -12.629981    -12.633782
   2.56279    -12.645277    -12.651845
   2.52719    -12.664032    -12.673947
   2.49160    -12.685630    -12.699339
   2.45601    -12.709388    -12.727199
   2.42042    -12.734583    -12.756664
   2.38483    -12.760480    -12.786863
   2.34924    -12.786354    -12.814900
   2.31364    -12.811514    -12.827793
   2.27805    -12.835313    -12.840006
   2.24246    -12.857165    -12.851281
   2.20687    -12.876551    -12.861335
   2.17128    -12.893018    -12.869916
   2.13569    -12.903101    -12.876814
   2.10009    -12.909011    -12.881863
   2.06450    -12.912611    -12.884940
   2.02891    -12.913821    -12.885975
   2.02891    -12.913821    -12.885975
   1.99331    -12.865235    -12.861403
   1.95772    -12.814829    -12.817902
   1.92212    -12.767557    -12.773052
   1.88652    -12.723808    -12.730231
   1.85093    -12.683831    -12.690475
   1.81533    -12.647765    -12.654226
   1.77973    -12.615648    -12.621676
   1.74414    -12.587427    -12.592864
   1.70854    -12.562964    -12.567721
   1.67295    -12.542054    -12.546093
   1.63735    -12.524445    -12.527766
   1.60175    -12.509850    -12.512487
   1.56616    -12.497970    -12.499979
   1.53056    -12.488511    -12.489965
   1.49496    -12.481194    -12.482183
   1.45937    -12.475777    -12.476396
   1.42377    -12.472059    -12.472410
   1.38817    -12.469890    -12.470078
   1.35258    -12.469177    -12.469311
   1.35258    -12.469177    -12.469311
   1.31698    -12.469946    -12.470026
   1.28139    -12.472283    -12.472201
   1.24580    -12.476279    -12.475930
   1.21021    -12.482080    -12.481360
   1.17462    -12.489879    -12.488693
   1.13903    -12.499912    -12.498172
