#K-Path(1/A)         Spin-Up(eV)   Spin-down(eV)
# NKPTS & NBANDS: 100  64
# Band-Index    1
   0.00000    -10.227876    -10.227858
   0.03966    -10.231202    -10.231809
   0.07932    -10.241048    -10.243498
   0.11897    -10.257027    -10.262442
   0.15863    -10.278529    -10.287880
   0.19829    -10.304759    -10.318833
   0.23795    -10.334789    -10.354171
   0.27761    -10.367614    -10.392679
   0.31726    -10.402193    -10.433120
   0.35692    -10.437498    -10.474283
   0.39658    -10.472542    -10.515021
   0.43624    -10.506407    -10.554280
   0.47590    -10.538256    -10.591109
   0.51556    -10.567347    -10.624675
   0.55521    -10.593038    -10.654261
   0.59487    -10.614786    -10.679266
   0.63453    -10.632154    -10.699209
   0.67419    -10.644800    -10.713716
   0.71385    -10.652484    -10.722525
   0.75350    -10.655062    -10.725479
   0.75350    -10.655062    -10.725479
   0.79316    -10.659169    -10.728942
   0.83282    -10.671317    -10.739195
   0.87248    -10.691000    -10.755836
   0.91214    -10.717421    -10.778228
   0.95179    -10.749557    -10.805546
   0.99145    -10.786228    -10.836824
   1.03111    -10.826168    -10.871015
   1.07077    -10.868092    -10.907039
   1.11043    -10.910742    -10.943822
   1.15008    -10.952933    -10.980338
   1.18974    -10.993574    -11.015629
   1.22940    -11.031687    -11.048823
   1.26906    -11.066410    -11.079145
   1.30872    -11.097006    -11.105927
   1.34838    -11.122861    -11.128601
   1.38803    -11.143476    -11.146709
   1.42769    -11.158471    -11.159895
   1.46735    -11.167575    -11.167907
   1.50701    -11.170627    -11.170595
   1.50701    -11.170627    -11.170595
   1.54667    -11.167940    -11.167543
   1.58632    -11.159928    -11.158439
   1.62598    -11.146741    -11.143445
   1.66564    -11.128634    -11.122830
   1.70530    -11.105960    -11.096976
   1.74496    -11.079178    -11.066381
   1.78461    -11.048856    -11.031659
   1.82427    -11.015662    -10.993548
   1.86393    -10.980372    -10.952908
   1.90359    -10.943856    -10.910718
   1.94325    -10.907073    -10.868069
   1.98290    -10.871050    -10.826147
   2.02256    -10.836859    -10.786209
   2.06222    -10.805581    -10.749539
   2.10188    -10.778264    -10.717405
   2.14154    -10.755871    -10.690984
   2.18119    -10.739231    -10.671302
   2.22085    -10.728978    -10.659155
   2.26051    -10.725515    -10.655048
   2.26051    -10.725515    -10.655048
   2.30017    -10.722561    -10.652470
   2.33983    -10.713752    -10.644786
   2.37949    -10.699244    -10.632140
   2.41914    -10.679301    -10.614772
   2.45880    -10.654294    -10.593023
   2.49846    -10.624708    -10.567332
   2.53812    -10.591141    -10.538241
   2.57778    -10.554310    -10.506392
   2.61743    -10.515050    -10.472527
   2.65709    -10.474310    -10.437482
   2.69675    -10.433146    -10.402177
   2.73641    -10.392704    -10.367597
   2.77607    -10.354194    -10.334772
   2.81572    -10.318855    -10.304741
   2.85538    -10.287900    -10.278512
   2.89504    -10.262461    -10.257010
   2.93470    -10.243517    -10.241030
   2.97436    -10.231828    -10.231184
   3.01401    -10.227876    -10.227858
   3.01401    -10.227876    -10.227858
   3.07010    -10.235154    -10.235136
   3.12618    -10.256706    -10.256687
   3.18227    -10.291701    -10.291682
   3.23835    -10.338824    -10.338804
   3.29444    -10.396361    -10.396340
   3.35052    -10.462308    -10.462285
   3.40661    -10.534477    -10.534453
   3.46269    -10.610604    -10.610580
   3.51878    -10.688437    -10.688412
   3.57486    -10.765805    -10.765778
   3.63095    -10.840674    -10.840646
   3.68703    -10.911184    -10.911155
   3.74312    -10.975672    -10.975643
   3.79920    -11.032692    -11.032661
   3.85529    -11.081015    -11.080984
   3.91137    -11.119637    -11.119606
   3.96746    -11.147780    -11.147748
   4.02354    -11.164888    -11.164856
   4.07963    -11.170627    -11.170595
 
# Band-Index    2
   4.07963    -10.403411    -10.403394
   4.02354    -10.400530    -10.400514
   3.96746    -10.391967    -10.391951
   3.91137    -10.377952    -10.377936
   3.85529    -10.358866    -10.358850
   3.79920    -10.335230    -10.335214
   3.74312    -10.307695    -10.307680
   3.68703    -10.277027    -10.277012
   3.63095    -10.244082    -10.244068
   3.57486    -10.209787    -10.209773
   3.51878    -10.175104    -10.175091
   3.46269    -10.141007    -10.140994
   3.40661    -10.108440    -10.108428
   3.35052    -10.078294    -10.078282
   3.29444    -10.051373    -10.051362
   3.23835    -10.028379    -10.028368
   3.18227    -10.009892    -10.009881
   3.12618     -9.996365     -9.996355
   3.07010     -9.988121     -9.988110
   3.01401     -9.985352     -9.985342
   3.01401     -9.985352     -9.985342
   2.97436     -9.986662     -9.986798
   2.93470     -9.990551     -9.991121
   2.89504     -9.996895     -9.998169
   2.85538    -10.005492    -10.007714
   2.81572    -10.016074    -10.019453
   2.77607    -10.028318    -10.033021
   2.73641    -10.041855    -10.048005
   2.69675    -10.056289    -10.063961
   2.65709    -10.071207    -10.080431
   2.61743    -10.086192    -10.096956
   2.57778    -10.100840    -10.113089
   2.53812    -10.114765    -10.128407
   2.49846    -10.127609    -10.142520
   2.45880    -10.139049    -10.155079
   2.41914    -10.148804    -10.165780
   2.37949    -10.156641    -10.174370
   2.33983    -10.162373    -10.180650
   2.30017    -10.165866    -10.184476
   2.26051    -10.167039    -10.185761
   2.26051    -10.167039    -10.185761
   2.22085    -10.168783    -10.187354
   2.18119    -10.173954    -10.192080
   2.14154    -10.182378    -10.199782
   2.10188    -10.193771    -10.210206
   2.06222    -10.207759    -10.223016
   2.02256    -10.223895    -10.237808
   1.98290    -10.241676    -10.254127
   1.94325    -10.260569    -10.271487
   1.90359    -10.280023    -10.289385
   1.86393    -10.299497    -10.307323
   1.82427    -10.318466    -10.324816
   1.78461    -10.336438    -10.341409
   1.74496    -10.352964    -10.356682
   1.70530    -10.367645    -10.370262
   1.66564    -10.380135    -10.381825
   1.62598    -10.390149    -10.391101
   1.58632    -10.397463    -10.397880
   1.54667    -10.401916    -10.402008
   1.50701    -10.403411    -10.403394
   1.50701    -10.403411    -10.403394
   1.46735    -10.402024    -10.401899
   1.42769    -10.397896    -10.397446
   1.38803    -10.391117    -10.390132
   1.34838    -10.381841    -10.380118
   1.30872    -10.370278    -10.367629
   1.26906    -10.356698    -10.352948
   1.22940    -10.341424    -10.336423
   1.18974    -10.324831    -10.318451
   1.15008    -10.307338    -10.299482
   1.11043    -10.289399    -10.280008
   1.07077    -10.271501    -10.260554
   1.03111    -10.254141    -10.241662
   0.99145    -10.237822    -10.223880
   0.95179    -10.223030    -10.207745
   0.91214    -10.210219    -10.193757
   0.87248    -10.199795    -10.182364
   0.83282    -10.192093    -10.173941
   0.79316    -10.187367    -10.168769
   0.75350    -10.185774    -10.167025
   0.75350    -10.185774    -10.167025
   0.71385    -10.184489    -10.165852
   0.67419    -10.180663    -10.162359
   0.63453    -10.174383    -10.156627
   0.59487    -10.165792    -10.148791
   0.55521    -10.155091    -10.139035
   0.51556    -10.142532    -10.127596
   0.47590    -10.128419    -10.114753
   0.43624    -10.113101    -10.100828
   0.39658    -10.096968    -10.086180
   0.35692    -10.080443    -10.071194
   0.31726    -10.063972    -10.056277
   0.27761    -10.048016    -10.041844
   0.23795    -10.033032    -10.028307
   0.19829    -10.019464    -10.016063
   0.15863    -10.007725    -10.005481
   0.11897     -9.998179     -9.996884
   0.07932     -9.991131     -9.990540
   0.03966     -9.986809     -9.986652
   0.00000     -9.985352     -9.985342
 
# Band-Index    3
   0.00000     -3.814413     -3.814241
   0.03966     -3.817436     -3.801428
   0.07932     -3.826418     -3.763268
   0.11897     -3.841096     -3.705072
   0.15863     -3.861033     -3.711702
   0.19829     -3.885634     -3.721193
   0.23795     -3.914168     -3.732513
   0.27761     -3.945791     -3.745425
   0.31726     -3.979580     -3.759643
   0.35692     -4.014562     -3.774819
   0.39658     -4.049749     -3.790545
   0.43624     -4.084172     -3.806374
   0.47590     -4.116907     -3.821831
   0.51556     -4.147100     -3.836432
   0.55521     -4.173989     -3.849709
   0.59487     -4.196910     -3.861229
   0.63453     -4.215314     -3.870611
   0.67419     -4.228771     -3.877546
   0.71385     -4.236969     -3.881800
   0.75350     -4.239722     -3.883235
   0.75350     -4.239722     -3.883235
   0.79316     -4.226638     -3.872563
   0.83282     -4.187712     -3.841538
   0.87248     -4.123963     -3.794137
   0.91214     -4.037287     -3.742241
   0.95179     -3.931087     -3.713455
   0.99145     -3.812686     -3.723026
   1.03111     -3.703626     -3.754509
   1.07077     -3.659788     -3.795305
   1.11043     -3.695739     -3.840000
   1.15008     -3.760211     -3.885741
   1.18974     -3.829160     -3.930616
   1.22940     -3.895088     -3.973164
   1.26906     -3.954970     -4.012207
   1.30872     -4.007240     -4.046775
   1.34838     -4.050953     -4.076084
   1.38803     -4.085485     -4.099508
   1.42769     -4.110417     -4.116572
   1.46735     -4.125479     -4.126941
   1.50701     -4.130516     -4.130420
   1.50701     -4.130516     -4.130420
   1.54667     -4.127037     -4.125383
   1.58632     -4.116668     -4.110322
   1.62598     -4.099605     -4.085390
   1.66564     -4.076182     -4.050859
   1.70530     -4.046875     -4.007148
   1.74496     -4.012308     -3.954880
   1.78461     -3.973268     -3.895000
   1.82427     -3.930721     -3.829075
   1.86393     -3.885849     -3.760129
   1.90359     -3.840110     -3.695660
   1.94325     -3.795416     -3.659701
   1.98290     -3.754619     -3.703509
   2.02256     -3.723127     -3.812547
   2.06222     -3.713531     -3.930938
   2.10188     -3.742280     -4.037133
   2.14154     -3.794158     -4.123807
   2.18119     -3.841553     -4.187554
   2.22085     -3.872575     -4.226479
   2.26051     -3.883246     -4.239563
   2.26051     -3.883246     -4.239563
   2.30017     -3.881812     -4.236809
   2.33983     -3.877557     -4.228611
   2.37949     -3.870623     -4.215154
   2.41914     -3.861241     -4.196750
   2.45880     -3.849722     -4.173829
   2.49846     -3.836446     -4.146940
   2.53812     -3.821846     -4.116746
   2.57778     -3.806390     -4.084010
   2.61743     -3.790563     -4.049587
   2.65709     -3.774837     -4.014399
   2.69675     -3.759663     -3.979416
   2.73641     -3.745447     -3.945626
   2.77607     -3.732536     -3.914001
   2.81572     -3.721217     -3.885466
   2.85538     -3.711728     -3.860864
   2.89504     -3.705128     -3.840926
   2.93470     -3.763439     -3.826247
   2.97436     -3.801599     -3.817265
   3.01401     -3.814413     -3.814241
   3.01401     -3.814413     -3.814241
   3.07010     -3.804698     -3.804526
   3.12618     -3.775920     -3.775750
   3.18227     -3.729227     -3.729060
   3.23835     -3.666694     -3.666536
   3.29444     -3.591754     -3.591609
   3.35052     -3.510676     -3.510552
   3.40661     -3.437943     -3.437846
