#K-Path(1/A)         Spin-Up(eV)   Spin-down(eV)
# NKPTS & NBANDS: 100  64
# Band-Index    1
   0.00000    -17.003655    -17.003618
   0.04070    -17.004718    -17.004793
   0.08141    -17.007873    -17.008282
   0.12211    -17.013027    -17.013980
   0.16282    -17.020025    -17.021714
   0.20352    -17.028658    -17.031253
   0.24423    -17.038672    -17.042315
   0.28493    -17.049778    -17.054578
   0.32564    -17.061657    -17.067689
   0.36634    -17.073975    -17.081279
   0.40705    -17.086393    -17.094973
   0.44775    -17.098570    -17.108397
   0.48846    -17.110184    -17.121194
   0.52916    -17.120926    -17.133027
   0.56987    -17.130520    -17.143591
   0.61057    -17.138720    -17.152618
   0.65128    -17.145320    -17.159881
   0.69198    -17.150155    -17.165201
   0.73269    -17.153104    -17.168446
   0.77339    -17.154094    -17.169536
   0.77339    -17.154094    -17.169536
   0.81409    -17.155343    -17.170671
   0.85480    -17.159051    -17.174042
   0.89550    -17.165103    -17.179546
   0.93621    -17.173319    -17.187019
   0.97691    -17.183451    -17.196238
   1.01762    -17.195197    -17.206931
   1.05832    -17.208217    -17.218788
   1.09903    -17.222135    -17.231469
   1.13973    -17.236559    -17.244619
   1.18044    -17.251088    -17.257871
   1.22114    -17.265329    -17.270866
   1.26185    -17.278902    -17.283258
   1.30255    -17.291450    -17.294720
   1.34326    -17.302651    -17.304955
   1.38396    -17.312222    -17.313703
   1.42467    -17.319922    -17.320744
   1.46537    -17.325561    -17.325901
   1.50608    -17.329000    -17.329046
   1.54678    -17.330156    -17.330104
   1.54678    -17.330156    -17.330104
   1.58748    -17.329098    -17.328948
   1.62819    -17.325952    -17.325509
   1.66889    -17.320795    -17.319871
   1.70960    -17.313754    -17.312171
   1.75030    -17.305005    -17.302601
   1.79101    -17.294769    -17.291400
   1.83171    -17.283306    -17.278853
   1.87242    -17.270914    -17.265281
   1.91312    -17.257917    -17.251041
   1.95383    -17.244664    -17.236512
   1.99453    -17.231514    -17.222089
   2.03524    -17.218831    -17.208172
   2.07594    -17.206973    -17.195153
   2.11665    -17.196279    -17.183407
   2.15735    -17.187059    -17.173276
   2.19806    -17.179586    -17.165061
   2.23876    -17.174082    -17.159008
   2.27946    -17.170711    -17.155301
   2.32017    -17.169575    -17.154052
   2.32017    -17.169575    -17.154052
   2.36087    -17.168485    -17.153062
   2.40158    -17.165240    -17.150113
   2.44228    -17.159920    -17.145278
   2.48299    -17.152657    -17.138679
   2.52369    -17.143630    -17.130479
   2.56440    -17.133065    -17.120885
   2.60510    -17.121232    -17.110143
   2.64581    -17.108435    -17.098530
   2.68651    -17.095011    -17.086353
   2.72722    -17.081317    -17.073936
   2.76792    -17.067727    -17.061618
   2.80863    -17.054615    -17.049739
   2.84933    -17.042353    -17.038634
   2.89004    -17.031290    -17.028620
   2.93074    -17.021751    -17.019987
   2.97145    -17.014017    -17.012990
   3.01215    -17.008319    -17.007836
   3.05285    -17.004830    -17.004681
   3.09356    -17.003655    -17.003618
   3.09356    -17.003655    -17.003618
   3.15112    -17.005893    -17.005856
   3.20869    -17.012546    -17.012509
   3.26626    -17.023430    -17.023393
   3.32382    -17.038245    -17.038207
   3.38139    -17.056582    -17.056543
   3.43895    -17.077934    -17.077895
   3.49652    -17.101714    -17.101674
   3.55408    -17.127269    -17.127228
   3.61165    -17.153895    -17.153853
   3.66921    -17.180864    -17.180820
   3.72678    -17.207439    -17.207394
   3.78434    -17.232896    -17.232850
   3.84191    -17.256543    -17.256496
   3.89947    -17.277743    -17.277695
   3.95704    -17.295924    -17.295874
   4.01460    -17.310595    -17.310544
   4.07217    -17.321364    -17.321313
   4.12973    -17.327943    -17.327891
   4.18730    -17.330156    -17.330104
 
# Band-Index    2
   4.18730    -17.001482    -17.001436
   4.12973    -17.000608    -17.000562
   4.07217    -16.998015    -16.997969
   4.01460    -16.993779    -16.993733
   3.95704    -16.988030    -16.987985
   3.89947    -16.980938    -16.980893
   3.84191    -16.972715    -16.972671
   3.78434    -16.963600    -16.963557
   3.72678    -16.953860    -16.953818
   3.66921    -16.943771    -16.943730
   3.61165    -16.933617    -16.933576
   3.55408    -16.923675    -16.923635
   3.49652    -16.914213    -16.914174
   3.43895    -16.905478    -16.905439
   3.38139    -16.897693    -16.897655
   3.32382    -16.891053    -16.891015
   3.26626    -16.885717    -16.885680
   3.20869    -16.881815    -16.881778
   3.15112    -16.879438    -16.879401
   3.09356    -16.878640    -16.878603
   3.09356    -16.878640    -16.878603
   3.05285    -16.879038    -16.879002
   3.01215    -16.880222    -16.880190
   2.97145    -16.882158    -16.882132
   2.93074    -16.884791    -16.884774
   2.89004    -16.888046    -16.888041
   2.84933    -16.891833    -16.891839
   2.80863    -16.896044    -16.896064
   2.76792    -16.900562    -16.900597
   2.72722    -16.905263    -16.905313
   2.68651    -16.910018    -16.910083
   2.64581    -16.914695    -16.914775
   2.60510    -16.919170    -16.919264
   2.56440    -16.923322    -16.923429
   2.52369    -16.927041    -16.927159
   2.48299    -16.930226    -16.930354
   2.44228    -16.932795    -16.932930
   2.40158    -16.934679    -16.934820
   2.36087    -16.935830    -16.935974
   2.32017    -16.936216    -16.936362
   2.32017    -16.936216    -16.936362
   2.27946    -16.936669    -16.936814
   2.23876    -16.938015    -16.938155
   2.19806    -16.940215    -16.940348
   2.15735    -16.943207    -16.943330
   2.11665    -16.946904    -16.947016
   2.07594    -16.951203    -16.951302
   2.03524    -16.955983    -16.956067
   1.99453    -16.961109    -16.961177
   1.95383    -16.966440    -16.966492
   1.91312    -16.971828    -16.971865
   1.87242    -16.977128    -16.977150
   1.83171    -16.982197    -16.982203
   1.79101    -16.986896    -16.986890
   1.75030    -16.991104    -16.991085
   1.70960    -16.994707    -16.994679
   1.66889    -16.997613    -16.997577
   1.62819    -16.999744    -16.999702
   1.58748    -17.001045    -17.000999
   1.54678    -17.001482    -17.001436
   1.54678    -17.001482    -17.001436
   1.50608    -17.001046    -17.000998
   1.46537    -16.999748    -16.999697
   1.42467    -16.997623    -16.997567
   1.38396    -16.994725    -16.994662
   1.34326    -16.991131    -16.991058
   1.30255    -16.986935    -16.986852
   1.26185    -16.982248    -16.982153
   1.22114    -16.977194    -16.977085
   1.18044    -16.971909    -16.971785
   1.13973    -16.966536    -16.966397
   1.09903    -16.961221    -16.961067
   1.05832    -16.956110    -16.955942
   1.01762    -16.951345    -16.951163
   0.97691    -16.947059    -16.946865
   0.93621    -16.943373    -16.943167
   0.89550    -16.940390    -16.940176
   0.85480    -16.938197    -16.937976
   0.81409    -16.936855    -16.936631
   0.77339    -16.936403    -16.936178
   0.77339    -16.936403    -16.936178
   0.73269    -16.936016    -16.935791
   0.69198    -16.934862    -16.934641
   0.65128    -16.932972    -16.932757
   0.61057    -16.930395    -16.930188
   0.56987    -16.927200    -16.927002
   0.52916    -16.923470    -16.923284
   0.48846    -16.919305    -16.919132
   0.44775    -16.914815    -16.914657
   0.40705    -16.910122    -16.909980
