#K-Path(1/A)         Spin-Up(eV)   Spin-down(eV)
# NKPTS & NBANDS: 100  64
# Band-Index    1
   0.00000    -14.080775    -14.080798
   0.03941    -14.082483    -14.082704
   0.07882    -14.087551    -14.088357
   0.11823    -14.095812    -14.097570
   0.15764    -14.106999    -14.110038
   0.19705    -14.120754    -14.125357
   0.23646    -14.136647    -14.143044
   0.27587    -14.154195    -14.162553
   0.31528    -14.172876    -14.183303
   0.35469    -14.192153    -14.204694
   0.39410    -14.211489    -14.226129
   0.43351    -14.230361    -14.247030
   0.47292    -14.248276    -14.266852
   0.51233    -14.264778    -14.285097
   0.55174    -14.279460    -14.301317
   0.59114    -14.291968    -14.315127
   0.63055    -14.302007    -14.326206
   0.66996    -14.309346    -14.334302
   0.70937    -14.313816    -14.339232
   0.74878    -14.315318    -14.340888
   0.74878    -14.315318    -14.340888
   0.78819    -14.317322    -14.342690
   0.82760    -14.323265    -14.348040
   0.86701    -14.332948    -14.356758
   0.90642    -14.346050    -14.368562
   0.94583    -14.362143    -14.383073
   0.98524    -14.380715    -14.399835
   1.02465    -14.401193    -14.418336
   1.06406    -14.422963    -14.438027
   1.10347    -14.445395    -14.458339
   1.14288    -14.467863    -14.478706
   1.18229    -14.489762    -14.498579
   1.22170    -14.510523    -14.517438
   1.26111    -14.529624    -14.534805
   1.30052    -14.546601    -14.550253
   1.33993    -14.561050    -14.563411
   1.37934    -14.572640    -14.573971
   1.41875    -14.581107    -14.581689
   1.45816    -14.586263    -14.586390
   1.49757    -14.587994    -14.587969
   1.49757    -14.587994    -14.587969
   1.53698    -14.586415    -14.586238
   1.57639    -14.581713    -14.581081
   1.61580    -14.573994    -14.572614
   1.65521    -14.563432    -14.561024
   1.69462    -14.550272    -14.546573
   1.73402    -14.534821    -14.529596
   1.77343    -14.517451    -14.510494
   1.81284    -14.498589    -14.489732
   1.85225    -14.478712    -14.467831
   1.89166    -14.458341    -14.445362
   1.93107    -14.438026    -14.422928
   1.97048    -14.418332    -14.401157
   2.00989    -14.399827    -14.380678
   2.04930    -14.383062    -14.362104
   2.08871    -14.368548    -14.346010
   2.12812    -14.356742    -14.332908
   2.16753    -14.348022    -14.323224
   2.20694    -14.342672    -14.317280
   2.24635    -14.340868    -14.315276
   2.24635    -14.340868    -14.315276
   2.28576    -14.339213    -14.313775
   2.32517    -14.334282    -14.309305
   2.36458    -14.326187    -14.301968
   2.40399    -14.315107    -14.291932
   2.44340    -14.301297    -14.279427
   2.48281    -14.285077    -14.264749
   2.52222    -14.266832    -14.248252
   2.56163    -14.247009    -14.230342
   2.60104    -14.226107    -14.211474
   2.64045    -14.204672    -14.192144
   2.67986    -14.183281    -14.172872
   2.71927    -14.162531    -14.154196
   2.75868    -14.143022    -14.136654
   2.79809    -14.125335    -14.120765
   2.83750    -14.110015    -14.107014
   2.87690    -14.097547    -14.095830
   2.91631    -14.088335    -14.087572
   2.95572    -14.082681    -14.082505
   2.99513    -14.080775    -14.080798
   2.99513    -14.080775    -14.080798
   3.05087    -14.084390    -14.084412
   3.10660    -14.095122    -14.095142
   3.16233    -14.112641    -14.112659
   3.21807    -14.136411    -14.136426
   3.27380    -14.165711    -14.165722
   3.32954    -14.199666    -14.199673
   3.38527    -14.237274    -14.237276
   3.44100    -14.277446    -14.277445
   3.49674    -14.319043    -14.319037
   3.55247    -14.360908    -14.360898
   3.60820    -14.401902    -14.401889
   3.66394    -14.440935    -14.440919
   3.71967    -14.476990    -14.476972
   3.77541    -14.509147    -14.509127
   3.83114    -14.536602    -14.536579
   3.88687    -14.558676    -14.558652
